date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,AMD,3.12,3.15,3.05,3.08,12974994,3.12,3.15,3.05,3.08,12974994,0.0,1.0
2015-02-13 00:00:00+00:00,AMD,3.15,3.18,3.11,3.13,9627555,3.15,3.18,3.11,3.13,9627555,0.0,1.0
2015-02-17 00:00:00+00:00,AMD,3.11,3.17,3.08,3.16,8678124,3.11,3.17,3.08,3.16,8678124,0.0,1.0
2015-02-18 00:00:00+00:00,AMD,3.08,3.135,3.06,3.11,7286117,3.08,3.135,3.06,3.11,7286117,0.0,1.0
2015-02-19 00:00:00+00:00,AMD,3.055,3.08,3.01,3.06,6573575,3.055,3.08,3.01,3.06,6573575,0.0,1.0
2015-02-20 00:00:00+00:00,AMD,3.06,3.13,3.02,3.03,10667514,3.06,3.13,3.02,3.03,10667514,0.0,1.0
2015-02-23 00:00:00+00:00,AMD,3.06,3.1,3.03,3.05,6323536,3.06,3.1,3.03,3.05,6323536,0.0,1.0
2015-02-24 00:00:00+00:00,AMD,3.11,3.115,3.02,3.06,10916320,3.11,3.115,3.02,3.06,10916320,0.0,1.0
2015-02-25 00:00:00+00:00,AMD,3.1,3.14,3.06,3.08,6151341,3.1,3.14,3.06,3.08,6151341,0.0,1.0
2015-02-26 00:00:00+00:00,AMD,3.08,3.125,3.06,3.1,8680872,3.08,3.125,3.06,3.1,8680872,0.0,1.0
2015-02-27 00:00:00+00:00,AMD,3.11,3.12,3.07,3.07,7150249,3.11,3.12,3.07,3.07,7150249,0.0,1.0
2015-03-02 00:00:00+00:00,AMD,3.21,3.23,3.11,3.13,15638083,3.21,3.23,3.11,3.13,15638083,0.0,1.0
2015-03-03 00:00:00+00:00,AMD,3.14,3.23,3.13,3.2,8645029,3.14,3.23,3.13,3.2,8645029,0.0,1.0
2015-03-04 00:00:00+00:00,AMD,3.05,3.14,3.01,3.14,12122102,3.05,3.14,3.01,3.14,12122102,0.0,1.0
2015-03-05 00:00:00+00:00,AMD,2.98,3.1,2.98,3.1,11472270,2.98,3.1,2.98,3.1,11472270,0.0,1.0
2015-03-06 00:00:00+00:00,AMD,2.92,2.99,2.83,2.96,16785236,2.92,2.99,2.83,2.96,16785236,0.0,1.0
2015-03-09 00:00:00+00:00,AMD,2.93,2.98,2.9,2.92,12405937,2.93,2.98,2.9,2.92,12405937,0.0,1.0
2015-03-10 00:00:00+00:00,AMD,2.92,2.98,2.92,2.97,10312381,2.92,2.98,2.92,2.97,10312381,0.0,1.0
2015-03-11 00:00:00+00:00,AMD,2.84,2.945,2.8,2.92,11772832,2.84,2.945,2.8,2.92,11772832,0.0,1.0
2015-03-12 00:00:00+00:00,AMD,2.76,2.79,2.715,2.76,13847187,2.76,2.79,2.715,2.76,13847187,0.0,1.0
2015-03-13 00:00:00+00:00,AMD,2.75,2.78,2.71,2.74,8099030,2.75,2.78,2.71,2.74,8099030,0.0,1.0
2015-03-16 00:00:00+00:00,AMD,2.76,2.81,2.75,2.75,6132875,2.76,2.81,2.75,2.75,6132875,0.0,1.0
2015-03-17 00:00:00+00:00,AMD,2.77,2.795,2.7399,2.75,7742219,2.77,2.795,2.7399,2.75,7742219,0.0,1.0
2015-03-18 00:00:00+00:00,AMD,2.75,2.82,2.72,2.77,11385190,2.75,2.82,2.72,2.77,11385190,0.0,1.0
2015-03-19 00:00:00+00:00,AMD,2.74,2.78,2.73,2.76,8819433,2.74,2.78,2.73,2.76,8819433,0.0,1.0
2015-03-20 00:00:00+00:00,AMD,2.8,2.8,2.74,2.76,10764776,2.8,2.8,2.74,2.76,10764776,0.0,1.0
2015-03-23 00:00:00+00:00,AMD,2.84,2.85,2.8,2.81,7450247,2.84,2.85,2.8,2.81,7450247,0.0,1.0
2015-03-24 00:00:00+00:00,AMD,2.79,2.85,2.76,2.85,8724501,2.79,2.85,2.76,2.85,8724501,0.0,1.0
2015-03-25 00:00:00+00:00,AMD,2.63,2.79,2.56,2.78,26985252,2.63,2.79,2.56,2.78,26985252,0.0,1.0
2015-03-26 00:00:00+00:00,AMD,2.65,2.7,2.53,2.59,28286331,2.65,2.7,2.53,2.59,28286331,0.0,1.0
2015-03-27 00:00:00+00:00,AMD,2.72,2.8,2.63,2.7,16844090,2.72,2.8,2.63,2.7,16844090,0.0,1.0
2015-03-30 00:00:00+00:00,AMD,2.7,2.76,2.655,2.73,8558207,2.7,2.76,2.655,2.73,8558207,0.0,1.0
2015-03-31 00:00:00+00:00,AMD,2.68,2.7,2.65,2.66,7025016,2.68,2.7,2.65,2.66,7025016,0.0,1.0
2015-04-01 00:00:00+00:00,AMD,2.69,2.75,2.65,2.66,11240503,2.69,2.75,2.65,2.66,11240503,0.0,1.0
2015-04-02 00:00:00+00:00,AMD,2.69,2.7,2.65,2.66,7047568,2.69,2.7,2.65,2.66,7047568,0.0,1.0
