date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,ANTM,142.0,142.56,140.78,142.56,1515774,131.8892047101,132.4093311512,130.7560721062,132.4093311512,1515774,0.0,1.0
2015-02-13 00:00:00+00:00,ANTM,141.05,141.735,140.6801,141.37,1447132,131.0068473546,131.6430734478,130.6632852643,131.3040624638,1447132,0.0,1.0
2015-02-17 00:00:00+00:00,ANTM,141.76,141.94,140.0,140.56,1091037,131.6662933782,131.8334768771,130.0316102775,130.5517367187,1091037,0.0,1.0
2015-02-18 00:00:00+00:00,ANTM,141.84,142.77,141.04,141.76,1300021,131.7405971555,132.6043785666,130.9975593825,131.6662933782,1300021,0.0,1.0
2015-02-19 00:00:00+00:00,ANTM,142.65,142.9,141.69,141.99,1192455,132.4929229007,132.7251222047,131.601277573,131.8799167379,1192455,0.0,1.0
2015-02-20 00:00:00+00:00,ANTM,144.59,144.74,141.8,141.88,1622117,134.2947895002,134.4341090827,131.7034452668,131.7777490441,1622117,0.0,1.0
2015-02-23 00:00:00+00:00,ANTM,147.35,147.48,145.3,145.5,2219033,136.8582698171,136.9790134552,134.9542355238,135.139994967,2219033,0.0,1.0
2015-02-24 00:00:00+00:00,ANTM,147.28,148.76,147.0,147.35,1998170,136.793254012,138.1678738921,136.5331907914,136.8582698171,1998170,0.0,1.0
2015-02-25 00:00:00+00:00,ANTM,146.97,148.0,146.555,147.5,1228614,136.5053268749,137.4619880077,136.1198760302,136.9975893996,1228614,0.0,1.0
2015-02-26 00:00:00+00:00,ANTM,146.72,147.335,146.23,146.63,1129374,136.2731275709,136.8443378589,135.8180169349,136.1895358214,1129374,0.0,1.0
2015-02-27 00:00:00+00:00,ANTM,146.45,147.43,146.24,146.72,1523476,136.0223523225,136.9325735944,135.8273049071,136.2731275709,1523476,0.0,1.0
2015-03-02 00:00:00+00:00,ANTM,146.93,147.71,146.3006,146.45,1339118,136.4681749863,137.192636815,135.8835900184,136.0223523225,1339118,0.0,1.0
2015-03-03 00:00:00+00:00,ANTM,145.99,147.07,144.62,146.06,1478903,135.595105603,136.5982065966,134.3226534167,135.6601214081,1478903,0.0,1.0
2015-03-04 00:00:00+00:00,ANTM,146.55,147.3033,144.2,144.78,1847885,136.1152320441,136.8148949871,133.9325585859,134.4712609713,1847885,0.0,1.0
2015-03-05 00:00:00+00:00,ANTM,146.85,147.7,146.26,146.5,1175695,136.393871209,137.1833488428,135.8458808514,136.0687921833,1175695,0.0,1.0
2015-03-06 00:00:00+00:00,ANTM,145.16,146.8699,144.9,145.12,1494112,135.4047021737,136.9996904641,135.1621751513,135.3673903241,1494112,0.625,1.0
2015-03-09 00:00:00+00:00,ANTM,146.75,146.93,145.03,145.16,970709,136.887848195,137.0557515182,135.2834386625,135.4047021737,970709,0.0,1.0
2015-03-10 00:00:00+00:00,ANTM,144.28,145.89,144.28,145.33,1495269,134.5838414826,136.0856434287,134.5838414826,135.5632775344,1495269,0.0,1.0
2015-03-11 00:00:00+00:00,ANTM,144.38,145.86,144.28,145.35,1246363,134.6771211066,136.0576595415,134.5838414826,135.5819334592,1246363,0.0,1.0
2015-03-12 00:00:00+00:00,ANTM,147.46,147.56,145.12,145.28,1836593,137.5501335253,137.6434131493,135.3673903241,135.5166377224,1836593,0.0,1.0
2015-03-13 00:00:00+00:00,ANTM,150.01,150.03,146.4,146.83,2124513,139.9287639368,139.9474198616,136.5613695111,136.9624718942,2124513,0.0,1.0
2015-03-16 00:00:00+00:00,ANTM,153.25,154.84,150.08,150.08,2959327,142.9510237539,144.4341697752,139.9940596736,139.9940596736,2959327,0.0,1.0
2015-03-17 00:00:00+00:00,ANTM,153.3,153.56,152.39,152.65,2678664,142.9976635659,143.2401905882,142.1488189876,142.39134601,2678664,0.0,1.0
2015-03-18 00:00:00+00:00,ANTM,157.39,157.98,153.03,153.03,2275177,146.8128001868,147.3631499683,142.7458085811,142.7458085811,2275177,0.0,1.0
2015-03-19 00:00:00+00:00,ANTM,157.32,158.1,156.41,157.78,2341882,146.74750445,147.4750855171,145.8986598717,147.1765907203,2341882,0.0,1.0
2015-03-20 00:00:00+00:00,ANTM,158.38,160.64,157.7501,158.75,2497635,147.7362684642,149.8443879662,147.1487001127,148.0814030729,2497635,0.0,1.0
2015-03-23 00:00:00+00:00,ANTM,157.57,158.88,157.04,158.2,1571079,146.9807035099,148.2026665841,146.4863215028,147.568365141,1571079,0.0,1.0
2015-03-24 00:00:00+00:00,ANTM,157.6,158.29,156.85,156.85,1611343,147.0086873971,147.6523168026,146.3090902173,146.3090902173,1611343,0.0,1.0
2015-03-25 00:00:00+00:00,ANTM,154.42,159.54,154.39,159.54,1457756,144.0423953545,148.8183121024,144.0144114673,148.8183121024,1457756,0.0,1.0
2015-03-26 00:00:00+00:00,ANTM,152.82,154.42,152.64,154.18,1966784,142.5499213708,144.0423953545,142.3820180476,143.8185242569,1966784,0.0,1.0
2015-03-27 00:00:00+00:00,ANTM,156.27,157.58,154.13,154.13,1548700,145.7680683982,146.9900314723,143.7718844449,143.7718844449,1548700,0.0,1.0
2015-03-30 00:00:00+00:00,ANTM,156.85,158.45,156.54,157.31,1430967,146.3090902173,147.801564201,146.0199233829,146.7381764876,1430967,0.0,1.0
2015-03-31 00:00:00+00:00,ANTM,154.41,156.8,154.31,155.81,1466027,144.0330673921,146.2624504053,143.9397877681,145.3389821278,1466027,0.0,1.0
2015-04-01 00:00:00+00:00,ANTM,153.99,154.39,152.53,154.08,1595425,143.6412929714,144.0144114673,142.2794104612,143.7252446329,1595425,0.0,1.0
2015-04-02 00:00:00+00:00,ANTM,153.95,155.08,153.54,154.18,1628355,143.6039811218,144.6580408728,143.2215346634,143.8185242569,1628355,0.0,1.0
2015-04-06 00:00:00+00:00,ANTM,155.43,156.07,152.9,152.9,1373023,144.9845195567,145.5815091502,142.6245450699,142.6245450699,1373023,0.0,1.0
2015-04-07 00:00:00+00:00,ANTM,155.19,157.56,154.84,156.7,1199930,144.7606484592,146.9713755475,144.4341697752,146.1691707813,1199930,0.0,1.0
2015-04-08 00:00:00+00:00,ANTM,154.64,155.98,154.02,155.0,880019,144.2476105272,145.4975574886,143.6692768586,144.5834171736,880019,0.0,1.0
2015-04-09 00:00:00+00:00,ANTM,153.49,154.72,152.74,154.37,1249254,143.1748948514,144.3222342264,142.4752976716,143.9957555425,1249254,0.0,1.0
2015-04-10 00:00:00+00:00,ANTM,153.92,154.27,152.97,154.12,1371248,143.5759972346,143.9024759185,142.6898408067,143.7625564825,1371248,0.0,1.0
2015-04-13 00:00:00+00:00,ANTM,153.51,155.82,153.5,154.5,1220591,143.1935507762,145.3483100902,143.1842228138,144.1170190537,1220591,0.0,1.0
2015-04-14 00:00:00+00:00,ANTM,154.25,154.99,153.45,154.52,1019780,143.8838199937,144.5740892112,143.1375830018,144.1356749785,1019780,0.0,1.0
2015-04-15 00:00:00+00:00,ANTM,151.3,155.0,150.61,154.3,1701577,141.1320710862,144.5834171736,140.4884416807,143.9304598057,1701577,0.0,1.0
2015-04-16 00:00:00+00:00,ANTM,154.93,155.43,153.955,155.35,1602908,144.5181214368,144.9845195567,143.608645103,144.9098958575,1602908,0.0,1.0
2015-04-17 00:00:00+00:00,ANTM,152.48,154.31,151.37,153.81,1103263,142.2327706492,143.9397877681,141.197366823,143.4733896482,1103263,0.0,1.0
2015-04-20 00:00:00+00:00,ANTM,152.87,154.1,152.7303,153.3,693778,142.5965611827,143.7439005577,142.466249548,142.9976635659,693778,0.0,1.0
2015-04-21 00:00:00+00:00,ANTM,152.88,153.63,152.55,153.05,795710,142.6058891451,143.305486325,142.298066386,142.7644645059,795710,0.0,1.0
2015-04-22 00:00:00+00:00,ANTM,152.84,153.49,152.04,153.0,701037,142.5685772956,143.1748948514,141.8223403037,142.7178246939,701037,0.0,1.0
2015-04-23 00:00:00+00:00,ANTM,154.2,154.53,152.05,152.3,889076,143.8371801817,144.1450029409,141.8316682661,142.064867326,889076,0.0,1.0
2015-04-24 00:00:00+00:00,ANTM,154.28,154.58,153.55,154.04,758346,143.9118038809,144.1916427529,143.2308626258,143.6879327833,758346,0.0,1.0
2015-04-27 00:00:00+00:00,ANTM,151.02,154.89,150.67,154.49,1585635,140.8708881391,144.4808095872,140.5444094551,144.1076910913,1585635,0.0,1.0
2015-04-28 00:00:00+00:00,ANTM,154.22,154.52,149.19,150.15,2249379,143.8558361065,144.1356749785,139.1638710202,140.0593554104,2249379,0.0,1.0
2015-04-29 00:00:00+00:00,ANTM,151.07,157.0,148.29,155.96,3196897,140.9175279511,146.4490096532,138.3243544043,145.4789015638,3196897,0.0,1.0
2015-04-30 00:00:00+00:00,ANTM,150.93,154.22,150.46,151.83,2032829,140.7869364775,143.8558361065,140.3485222448,141.6264530933,2032829,0.0,1.0
2015-05-01 00:00:00+00:00,ANTM,153.23,153.28,151.49,151.92,1362021,142.9323678291,142.9790076411,141.3093023718,141.7104047549,1362021,0.0,1.0
2015-05-04 00:00:00+00:00,ANTM,155.84,156.17,153.01,153.45,1865167,145.366966015,145.6747887742,142.7271526563,143.1375830018,1865167,0.0,1.0
2015-05-05 00:00:00+00:00,ANTM,154.2,155.7,153.91,154.67,1552425,143.8371801817,145.2363745415,143.5666692722,144.2755944144,1552425,0.0,1.0
2015-05-06 00:00:00+00:00,ANTM,159.85,159.85,154.03,154.97,6746497,149.1074789368,149.1074789368,143.6786048209,144.5554332864,6746497,0.0,1.0
2015-05-07 00:00:00+00:00,ANTM,155.8,159.45,155.58,158.91,3969144,145.3296541654,148.7343604408,145.1244389927,148.2306504713,3969144,0.0,1.0
2015-05-08 00:00:00+00:00,ANTM,158.4,158.595,156.36,157.21,1969104,147.754924389,147.9368196558,145.8520200598,146.6448968636,1969104,0.0,1.0
2015-05-11 00:00:00+00:00,ANTM,158.81,160.53,158.08,158.24,1398790,148.1373708473,149.7417803798,147.4564295923,147.6056769906,1398790,0.0,1.0
2015-05-12 00:00:00+00:00,ANTM,158.47,159.69,157.33,157.92,1714785,147.8202201258,148.9582315384,146.7568324124,147.3071821939,1714785,0.0,1.0
2015-05-13 00:00:00+00:00,ANTM,158.79,160.63,158.3,159.41,2027845,148.1187149225,149.8350600038,147.661644765,148.6970485912,2027845,0.0,1.0
2015-05-14 00:00:00+00:00,ANTM,160.0,160.91,158.88,160.13,2106470,149.2473983727,150.096242951,148.2026665841,149.3686618839,2106470,0.0,1.0
2015-05-15 00:00:00+00:00,ANTM,161.37,161.38,159.9,160.35,1191233,150.5253292213,150.5346571837,149.1541187487,149.5738770567,1191233,0.0,1.0
2015-05-18 00:00:00+00:00,ANTM,163.25,163.43,161.43,162.0,1495003,152.2789861522,152.4468894753,150.5812969957,151.1129908524,1495003,0.0,1.0
2015-05-19 00:00:00+00:00,ANTM,164.44,165.3291,163.25,163.37,1250392,153.3890136776,154.2183628144,152.2789861522,152.390921701,1250392,0.0,1.0
2015-05-20 00:00:00+00:00,ANTM,163.57,164.45,162.68,164.45,2315531,152.5774809489,153.39834164,151.7472922955,153.39834164,2315531,0.0,1.0
2015-05-21 00:00:00+00:00,ANTM,164.62,164.855,162.5,163.0,1123552,153.5569170007,153.7761241171,151.5793889723,152.0457870922,1123552,0.0,1.0
2015-05-22 00:00:00+00:00,ANTM,164.19,165.47,163.46,164.13,1337263,153.1558146176,154.3497938046,152.4748733625,153.0998468432,1337263,0.0,1.0
2015-05-26 00:00:00+00:00,ANTM,162.34,164.01,162.18,164.01,910739,151.4301415739,152.9879112944,151.2808941756,152.9879112944,910739,0.0,1.0
2015-05-27 00:00:00+00:00,ANTM,163.38,164.17,162.35,162.96,1535065,152.4002496634,153.1371586928,151.4394695363,152.0084752426,1535065,0.0,1.0
2015-05-28 00:00:00+00:00,ANTM,164.22,164.25,162.57,162.84,1251025,153.1837985048,153.211782392,151.6446847091,151.8965396938,1251025,0.0,1.0
2015-05-29 00:00:00+00:00,ANTM,167.85,170.98,162.5116,164.66,5196050,156.5698488554,159.4895010861,151.5902094087,153.5942288503,5196050,0.0,1.0
2015-06-01 00:00:00+00:00,ANTM,168.07,169.0,166.78,168.97,1747129,156.7750640282,157.6425645312,155.5717568788,157.614580644,1747129,0.0,1.0
2015-06-02 00:00:00+00:00,ANTM,164.14,168.22,164.015,167.46,1910020,153.1091748056,156.9149834641,152.9925752756,156.2060583219,1910020,0.0,1.0
2015-06-03 00:00:00+00:00,ANTM,163.76,165.11,162.23,164.45,2181874,152.7547122345,154.0139871583,151.3275339876,153.39834164,2181874,0.0,1.0
2015-06-04 00:00:00+00:00,ANTM,161.45,163.45,160.97,162.54,1174138,150.5999529205,152.4655454001,150.1522107254,151.6167008219,1174138,0.0,1.0
2015-06-05 00:00:00+00:00,ANTM,162.82,163.38,159.65,161.4,1367340,151.8778837691,152.4002496634,148.9209196888,150.5533131085,1367340,0.0,1.0
2015-06-08 00:00:00+00:00,ANTM,161.89,163.9,161.71,162.54,1097377,151.5933809159,153.4755397623,151.4248293774,152.2020392493,1097377,0.625,1.0
2015-06-09 00:00:00+00:00,ANTM,162.59,162.94,161.59,162.34,1080879,152.2488591211,152.5765982237,151.3124616851,152.0147597621,1080879,0.0,1.0
2015-06-10 00:00:00+00:00,ANTM,164.37,164.56,162.43,163.13,1146011,153.9156465572,154.0935620701,152.0990355314,152.7545137366,1146011,0.0,1.0
2015-06-11 00:00:00+00:00,ANTM,163.97,165.33,163.74,164.53,1200762,153.5410875828,154.8145880958,153.3257161725,154.065470147,1200762,0.0,1.0
2015-06-12 00:00:00+00:00,ANTM,160.71,163.8,160.65,163.31,1567478,150.4884319414,153.3819000187,150.4322480952,152.923065275,1567478,0.0,1.0
2015-06-15 00:00:00+00:00,ANTM,164.46,167.2,160.36,161.45,3500529,153.9999223265,156.5656513011,150.1606928388,151.1813660441,3500529,0.0,1.0
2015-06-16 00:00:00+00:00,ANTM,166.85,167.85,164.26,164.31,1505708,156.2379121985,157.1743096345,153.8126428393,153.8594627111,1505708,0.0,1.0
2015-06-17 00:00:00+00:00,ANTM,165.16,167.98,164.6,167.5,1170005,154.6554005317,157.2960413012,154.1310179675,156.8465705319,1170005,0.0,1.0
2015-06-18 00:00:00+00:00,ANTM,165.24,167.06,164.95,165.49,1275588,154.7303123265,156.4345556601,154.4587570701,154.9644116855,1275588,0.0,1.0
2015-06-19 00:00:00+00:00,ANTM,165.06,165.86,164.45,165.1,1326619,154.5617607881,155.3108787369,153.9905583521,154.5992166855,1326619,0.0,1.0
2015-06-22 00:00:00+00:00,ANTM,171.04,173.59,168.72,170.5,5005951,160.1614174554,162.5492309172,157.9889754039,159.65576284,5005951,0.0,1.0
2015-06-23 00:00:00+00:00,ANTM,170.0,170.74,162.02,170.74,3527588,159.187564122,159.8804982246,151.7151125826,159.8804982246,3527588,0.0,1.0
2015-06-24 00:00:00+00:00,ANTM,167.97,170.91,167.47,170.06,1915636,157.2866773269,160.0396857887,156.8184786088,159.2437479681,1915636,0.0,1.0
2015-06-25 00:00:00+00:00,ANTM,170.34,170.58,165.9,167.73,2724549,159.5059392502,159.7306746348,155.3483346343,157.0619419422,2724549,0.0,1.0
2015-06-26 00:00:00+00:00,ANTM,164.68,171.0,164.68,170.53,4343151,154.2059297624,160.123961558,154.2059297624,159.683854763,4343151,0.0,1.0
2015-06-29 00:00:00+00:00,ANTM,163.06,165.38,162.44,165.25,2083716,152.688965916,154.8614079676,152.1083995057,154.7396763009,2083716,0.0,1.0
2015-06-30 00:00:00+00:00,ANTM,164.14,165.85,163.69,163.8,1791623,153.7002751469,155.3015147625,153.2788963007,153.3819000187,1791623,0.0,1.0
2015-07-01 00:00:00+00:00,ANTM,165.22,165.93,164.02,165.62,1140648,154.7115843778,155.3764265574,153.5879074546,155.0861433522,1140648,0.0,1.0
2015-07-02 00:00:00+00:00,ANTM,163.14,165.79,162.62,165.79,1559205,152.7638777109,155.2453309163,152.2769510442,155.2453309163,1559205,0.0,1.0
2015-07-06 00:00:00+00:00,ANTM,161.6,162.43,157.37,160.82,2772791,151.3218256595,152.0990355314,147.3608645051,150.5914356594,2772791,0.0,1.0
2015-07-07 00:00:00+00:00,ANTM,160.33,162.66,158.09,162.49,2611148,150.1326009157,152.3144069416,148.0350706591,152.1552193775,2611148,0.0,1.0
2015-07-08 00:00:00+00:00,ANTM,159.39,160.55,159.0,159.5,1312481,149.2523873259,150.3386083516,148.8871923258,149.3553910438,1312481,0.0,1.0
2015-07-09 00:00:00+00:00,ANTM,158.58,161.98,158.58,161.29,1675326,148.4939054027,151.6776566851,148.4939054027,151.0315424543,1675326,0.0,1.0
2015-07-10 00:00:00+00:00,ANTM,159.73,161.005,159.3,159.67,1539059,149.5707624541,150.764669185,149.1681115566,149.514578608,1539059,0.0,1.0
2015-07-13 00:00:00+00:00,ANTM,156.45,160.8216,155.0701,160.2,2716201,146.499378864,150.5929338953,145.207244042,150.010869249,2716201,0.0,1.0
2015-07-14 00:00:00+00:00,ANTM,159.97,160.81,156.41,156.57,1823305,149.7954978388,150.582071685,146.4619229666,146.6117465563,1823305,0.0,1.0
2015-07-15 00:00:00+00:00,ANTM,159.6,161.8,158.82,160.1,1292624,149.4490307874,151.5091051467,148.7186407873,149.9172295054,1292624,0.0,1.0
2015-07-16 00:00:00+00:00,ANTM,157.6,160.06,157.01,159.43,1551337,147.5762359154,149.879773608,147.0237614282,149.2898432233,1551337,0.0,1.0
2015-07-17 00:00:00+00:00,ANTM,158.59,158.61,157.05,157.67,1469595,148.5032693771,148.5219973258,147.0612173256,147.6417837359,1469595,0.0,1.0
2015-07-20 00:00:00+00:00,ANTM,156.59,158.84,154.5,158.555,2109669,146.630474505,148.7373687361,144.6734038638,148.4704954668,2109669,0.0,1.0
2015-07-21 00:00:00+00:00,ANTM,155.78,157.0,154.39,156.35,1448557,145.8719925819,147.0143974538,144.5704001458,146.4057391204,1448557,0.0,1.0
2015-07-22 00:00:00+00:00,ANTM,155.1,156.79,154.77,155.61,1092133,145.2352423254,146.8177539922,144.9262311715,145.7128050178,1092133,0.0,1.0
2015-07-23 00:00:00+00:00,ANTM,155.21,157.12,154.01,156.6,2284446,145.3382460433,147.1267651461,144.2145691201,146.6398384794,2284446,0.0,1.0
2015-07-24 00:00:00+00:00,ANTM,150.86,154.15,148.78,152.31,4747563,141.2649171967,144.3456647612,139.3172105298,142.6226934789,4747563,0.0,1.0
2015-07-27 00:00:00+00:00,ANTM,151.5,152.03,149.89,150.8,2481103,141.8642115557,142.3605021968,140.3566116838,141.2087333505,2481103,0.0,1.0
2015-07-28 00:00:00+00:00,ANTM,154.2,155.0,151.0,152.43,3244521,144.392484633,145.1416025818,141.3960128377,142.7350611712,3244521,0.0,1.0
2015-07-29 00:00:00+00:00,ANTM,155.27,156.995,151.73,155.85,3495214,145.3944298895,147.0097154666,142.079582966,145.9375404024,3495214,0.0,1.0
2015-07-30 00:00:00+00:00,ANTM,154.89,157.05,152.62,156.03,3408137,145.0385988638,147.0612173256,142.9129766841,146.1060919409,3408137,0.0,1.0
2015-07-31 00:00:00+00:00,ANTM,154.27,156.12,153.64,155.86,2615967,144.4580324535,146.1903677101,143.8681020688,145.9469043768,2615967,0.0,1.0
2015-08-03 00:00:00+00:00,ANTM,152.78,155.27,152.05,154.28,1868093,143.0628002738,145.3944298895,142.3792301455,144.4673964279,1868093,0.0,1.0
2015-08-04 00:00:00+00:00,ANTM,152.5,154.0,151.77,153.8,1449088,142.8006089918,144.2052051458,142.1170388635,144.0179256586,1449088,0.0,1.0
2015-08-05 00:00:00+00:00,ANTM,154.95,155.01,152.38,153.44,2209179,145.09478271,145.1509665561,142.6882412994,143.6808225816,2209179,0.0,1.0
2015-08-06 00:00:00+00:00,ANTM,152.44,155.95,152.18,154.72,1423151,142.7444251456,146.031180146,142.5009618122,144.8794112997,1423151,0.0,1.0
2015-08-07 00:00:00+00:00,ANTM,152.63,153.0,151.89,152.29,1864580,142.9223406584,143.2688077098,142.2294065558,142.6039655302,1864580,0.0,1.0
2015-08-10 00:00:00+00:00,ANTM,152.33,153.7699,152.2,152.6,997835,142.6414214276,143.9897400957,142.519689761,142.8942487354,997835,0.0,1.0
2015-08-11 00:00:00+00:00,ANTM,152.42,152.76,151.43,152.0,1153541,142.7256971969,143.0440723251,141.7986637352,142.3324102738,1153541,0.0,1.0
2015-08-12 00:00:00+00:00,ANTM,149.47,152.0,148.8,151.58,2005484,139.9633247606,142.3324102738,139.3359384785,141.9391233506,2005484,0.0,1.0
2015-08-13 00:00:00+00:00,ANTM,149.69,150.61,148.45,149.97,1542790,140.1693321966,141.0308178377,139.0081993759,140.4315234786,1542790,0.0,1.0
2015-08-14 00:00:00+00:00,ANTM,149.3,150.45,148.44,149.69,1687575,139.8041371965,140.8809942479,138.9988354015,140.1693321966,1687575,0.0,1.0
2015-08-17 00:00:00+00:00,ANTM,151.9,152.25,149.27,149.39,1860194,142.2387705301,142.5665096328,139.7760452734,139.8884129658,1860194,0.0,1.0
2015-08-18 00:00:00+00:00,ANTM,153.3,154.4997,151.87,152.18,1996937,143.5497269406,144.6731229445,142.2106786071,142.5009618122,1996937,0.0,1.0
2015-08-19 00:00:00+00:00,ANTM,151.95,152.87,150.78,152.43,1354901,142.2855904019,143.1470760431,141.1900054018,142.7350611712,1354901,0.0,1.0
2015-08-20 00:00:00+00:00,ANTM,147.86,151.625,147.72,150.54,1939650,138.4557248887,141.9812612352,138.3246292476,140.9652700172,1939650,0.0,1.0
2015-08-21 00:00:00+00:00,ANTM,146.62,147.5,144.77,145.67,3752818,137.294592068,138.1186218117,135.5622568114,136.4050145038,3752818,0.0,1.0
