date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,APTV,78.06,78.426,77.84,78.24,2486914,60.5811455209,60.8651923985,60.4104069607,60.7208407066,3000620,0.0,1.0
2015-02-13 00:00:00+00:00,APTV,78.7,78.75,77.71,77.9,1592172,61.2718606057,61.3107880902,60.5010964125,60.6490208536,1921057,0.25,1.0
2015-02-17 00:00:00+00:00,APTV,78.5,79.02,78.0,78.78,1557714,61.1161506676,61.5209965065,60.7268758226,61.3341445809,1879481,0.0,1.0
2015-02-18 00:00:00+00:00,APTV,78.44,78.66,78.0,78.33,1455972,61.0694376862,61.2407186181,60.7268758226,60.9837972203,1756723,0.0,1.0
2015-02-19 00:00:00+00:00,APTV,79.41,79.8,78.422,78.53,1723808,61.8246308856,62.1282652647,61.0554237918,61.1395071583,2079884,0.0,1.0
2015-02-20 00:00:00+00:00,APTV,79.27,79.32,77.84,79.1,2017144,61.715633929,61.7545614135,60.6023078722,61.5832804817,2433812,0.0,1.0
2015-02-23 00:00:00+00:00,APTV,79.2,79.39,78.84,78.92,1312411,61.6611354507,61.8090598918,61.3808575623,61.4431415375,1583507,0.0,1.0
2015-02-24 00:00:00+00:00,APTV,78.84,79.45,78.81,79.16,1011472,61.3808575623,61.8557728732,61.3575010716,61.6299934631,1220405,0.0,1.0
2015-02-25 00:00:00+00:00,APTV,79.85,80.15,78.92,78.92,1705748,62.1671927492,62.4007576562,61.4431415375,61.4431415375,2058093,0.0,1.0
2015-02-26 00:00:00+00:00,APTV,79.06,79.81,78.94,79.58,879088,61.5521384941,62.1360507616,61.4587125313,61.9569843329,1060675,0.0,1.0
2015-02-27 00:00:00+00:00,APTV,78.84,79.34,78.58,79.04,935210,61.3808575623,61.7701324073,61.1784346429,61.5365675003,1128390,0.0,1.0
2015-03-02 00:00:00+00:00,APTV,80.14,80.54,79.05,79.25,1546001,62.3929721593,62.7043920353,61.5443529972,61.7000629352,1865348,0.0,1.0
2015-03-03 00:00:00+00:00,APTV,80.02,80.22,79.255,79.98,1632975,62.2995461965,62.4552561345,61.7039556836,62.2684042089,1970288,0.0,1.0
2015-03-04 00:00:00+00:00,APTV,80.78,82.24,79.74,81.53,3238402,62.8912439609,64.0279265084,62.0815522833,63.4751562285,3907338,0.0,1.0
2015-03-05 00:00:00+00:00,APTV,80.13,80.79,79.7101,80.62,1287569,62.3851866624,62.8990294578,62.0582736476,62.7666760105,1553534,0.0,1.0
2015-03-06 00:00:00+00:00,APTV,79.09,79.93,78.92,79.58,1515229,61.5754949848,62.2294767244,61.4431415375,61.9569843329,1828220,0.0,1.0
2015-03-09 00:00:00+00:00,APTV,78.98,79.24,78.285,78.42,1865045,61.4898545189,61.6922774383,60.9487624843,61.0538666924,2250295,0.0,1.0
2015-03-10 00:00:00+00:00,APTV,77.64,78.25,77.06,78.09,1881224,60.4465979342,60.9215132451,59.995039114,60.7969452947,2269816,0.0,1.0
