date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,ATO,53.17,53.81,52.97,53.59,1461405,47.3285270482,47.8982140392,47.1504998635,47.702384136,1461405,0.0,1.0
2015-02-13 00:00:00+00:00,ATO,52.52,53.32,52.21,53.2,957265,46.749938698,47.4620474367,46.4739965617,47.3552311259,957265,0.0,1.0
2015-02-17 00:00:00+00:00,ATO,52.54,52.83,52.05,52.39,1557802,46.7677414164,47.0258808342,46.331574814,46.6342210279,1557802,0.0,1.0
2015-02-18 00:00:00+00:00,ATO,53.53,53.5925,52.21,52.42,1703623,47.6489759806,47.7046094758,46.4739965617,46.6609251056,1703623,0.0,1.0
2015-02-19 00:00:00+00:00,ATO,52.86,53.33,52.73,53.14,695831,47.3997379221,47.8211884863,47.2831664894,47.6508148539,695831,0.39,1.0
2015-02-20 00:00:00+00:00,ATO,52.93,53.08,52.27,52.91,822525,47.462507155,47.5970126543,46.8706829585,47.4445730885,822525,0.0,1.0
2015-02-23 00:00:00+00:00,ATO,53.13,53.2399,52.7,52.93,393308,47.6418478207,47.7403955164,47.2562653896,47.462507155,393308,0.0,1.0
2015-02-24 00:00:00+00:00,ATO,53.33,53.61,53.02,53.25,394033,47.8211884863,48.0722654181,47.5432104546,47.74945222,394033,0.0,1.0
2015-02-25 00:00:00+00:00,ATO,53.15,53.55,52.97,53.4,735609,47.6597818872,48.0184632184,47.4983752882,47.8839577192,735609,0.0,1.0
2015-02-26 00:00:00+00:00,ATO,52.49,53.304,52.47,53.23,489305,47.0679576907,47.7978741997,47.0500236241,47.7315181535,489305,0.0,1.0
2015-02-27 00:00:00+00:00,ATO,53.04,53.21,52.44,52.67,797985,47.5611445211,47.7135840869,47.0231225243,47.2293642897,797985,0.0,1.0
2015-03-02 00:00:00+00:00,ATO,52.12,53.13,51.26,52.94,848138,46.7361774593,47.6418478207,45.9650125972,47.4714741883,848138,0.0,1.0
