date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,BAX,70.08,70.13,69.57,69.82,2097099,36.0670382501,36.0927710114,35.8045640848,35.9332278913,3820756,0.0,1.0
2015-02-13 00:00:00+00:00,BAX,70.39,70.47,69.48,69.75,2172335,36.2265813702,36.2677537883,35.7582451144,35.8972020255,3957831,0.0,1.0
2015-02-17 00:00:00+00:00,BAX,69.79,70.08,69.45,69.93,3215523,35.9177882345,36.0670382501,35.7428054576,35.9898399662,5858441,0.0,1.0
2015-02-18 00:00:00+00:00,BAX,68.4,69.0,67.87,69.0,5725136,35.2024174702,35.5112106059,34.9296502003,35.5112106059,10430767,0.0,1.0
2015-02-19 00:00:00+00:00,BAX,67.42,68.24,67.34,68.19,5890853,34.6980553485,35.120072634,34.6568829304,35.0943398727,10732691,0.0,1.0
2015-02-20 00:00:00+00:00,BAX,67.9,67.96,65.945,67.3,10749504,34.9450898571,34.9759691706,33.9389388899,34.6362967214,19584788,0.0,1.0
2015-02-23 00:00:00+00:00,BAX,68.64,69.1,67.945,68.04,4017236,35.3259347244,35.5626761285,34.9682493422,35.0171415887,7319102,0.0,1.0
2015-02-24 00:00:00+00:00,BAX,69.06,69.13,68.51,68.64,4882240,35.5420899194,35.5781157853,35.259029545,35.3259347244,8895074,0.0,1.0
2015-02-25 00:00:00+00:00,BAX,68.86,69.19,68.62,69.0,3021217,35.4391588742,35.6089950988,35.3156416199,35.5112106059,5504430,0.0,1.0
2015-02-26 00:00:00+00:00,BAX,68.67,69.15,68.53,68.7,2370863,35.3413743812,35.5884088898,35.2693226496,35.356814038,4319534,0.0,1.0
2015-02-27 00:00:00+00:00,BAX,69.15,69.44,68.63,68.77,3292272,35.5884088898,35.7376589054,35.3207881722,35.3928399038,5998272,0.0,1.0
2015-03-02 00:00:00+00:00,BAX,69.96,70.03,69.06,69.12,3600060,36.005279623,36.0413054888,35.5420899194,35.572969233,6559038,0.0,1.0
2015-03-03 00:00:00+00:00,BAX,69.42,69.8,69.12,69.75,2420246,35.7273658008,35.9229347868,35.572969233,35.8972020255,4409506,0.0,1.0
2015-03-04 00:00:00+00:00,BAX,69.25,69.6,68.881,69.42,2178117,35.6398744124,35.8200037416,35.4499666339,35.7273658008,3968365,0.0,1.0
2015-03-05 00:00:00+00:00,BAX,69.21,69.62,68.96,69.5,2034085,35.6192882034,35.8302968461,35.4906243968,35.7685382189,3705950,0.0,1.0
2015-03-06 00:00:00+00:00,BAX,67.73,68.92,67.58,68.9,3946660,34.8575984686,35.4700381878,34.7804001847,35.4597450832,7190517,0.0,1.0
2015-03-09 00:00:00+00:00,BAX,67.7,67.93,67.21,67.61,2919261,35.1097795294,35.2290594304,34.8556614797,35.0631047856,5318674,0.52,1.0
2015-03-10 00:00:00+00:00,BAX,67.7,68.1,67.23,67.37,3785231,35.1097795294,35.3172228354,34.866033645,34.938638802,6896406,0.0,1.0
2015-03-11 00:00:00+00:00,BAX,67.01,67.99,66.89,67.99,3628168,34.7519398267,35.2601759262,34.6897068349,35.2601759262,6610249,0.0,1.0
2015-03-12 00:00:00+00:00,BAX,67.0,67.42,66.93,67.15,3322848,34.7467537441,34.9645692153,34.7104511655,34.8245449838,6053979,0.0,1.0
2015-03-13 00:00:00+00:00,BAX,67.36,67.47,66.76,66.99,3879137,34.9334527194,34.9904996285,34.6222877605,34.7415676614,7067496,0.0,1.0
2015-03-16 00:00:00+00:00,BAX,68.43,68.48,67.75,67.76,2966202,35.4883635628,35.514293976,35.1357099427,35.1408960253,5404197,0.0,1.0
2015-03-17 00:00:00+00:00,BAX,68.47,68.86,67.95,68.11,3403680,35.5091078934,35.7113651167,35.2394315956,35.322408918,6201249,0.0,1.0
2015-03-18 00:00:00+00:00,BAX,68.55,68.88,67.53,68.29,4415376,35.5505965546,35.7217372819,35.0216161244,35.4157584057,8044483,0.0,1.0
2015-03-19 00:00:00+00:00,BAX,67.98,68.64,67.75,68.48,4725828,35.2549898436,35.5972712984,35.1357099427,35.514293976,8610103,0.0,1.0
