date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,BIIB,392.11,395.0,386.14,394.69,1755141,392.11,395.0,386.14,394.69,1755141,0.0,1.0
2015-02-13 00:00:00+00:00,BIIB,391.66,394.39,387.24,391.68,1180115,391.66,394.39,387.24,391.68,1180115,0.0,1.0
2015-02-17 00:00:00+00:00,BIIB,397.91,402.29,388.67,389.11,1321114,397.91,402.29,388.67,389.11,1321114,0.0,1.0
2015-02-18 00:00:00+00:00,BIIB,401.12,401.87,396.52,396.83,782821,401.12,401.87,396.52,396.83,782821,0.0,1.0
2015-02-19 00:00:00+00:00,BIIB,406.73,408.24,400.56,401.04,1144305,406.73,408.24,400.56,401.04,1144305,0.0,1.0
2015-02-20 00:00:00+00:00,BIIB,408.05,409.03,403.36,406.4,945924,408.05,409.03,403.36,406.4,945924,0.0,1.0
2015-02-23 00:00:00+00:00,BIIB,408.58,411.32,406.23,408.25,955238,408.58,411.32,406.23,408.25,955238,0.0,1.0
2015-02-24 00:00:00+00:00,BIIB,404.89,410.74,402.83,410.25,854226,404.89,410.74,402.83,410.25,854226,0.0,1.0
2015-02-25 00:00:00+00:00,BIIB,408.94,412.02,400.57,405.32,1114813,408.94,412.02,400.57,405.32,1114813,0.0,1.0
2015-02-26 00:00:00+00:00,BIIB,410.1,411.77,406.065,408.82,863782,410.1,411.77,406.065,408.82,863782,0.0,1.0
2015-02-27 00:00:00+00:00,BIIB,409.59,411.31,405.8,410.23,1371021,409.59,411.31,405.8,410.23,1371021,0.0,1.0
2015-03-02 00:00:00+00:00,BIIB,415.79,416.82,406.4,410.67,1347278,415.79,416.82,406.4,410.67,1347278,0.0,1.0
2015-03-03 00:00:00+00:00,BIIB,412.79,415.17,407.12,415.0,1236017,412.79,415.17,407.12,415.0,1236017,0.0,1.0
2015-03-04 00:00:00+00:00,BIIB,414.13,417.18,406.1,410.95,1524051,414.13,417.18,406.1,410.95,1524051,0.0,1.0
2015-03-05 00:00:00+00:00,BIIB,425.61,425.7,417.09,417.42,1847295,425.61,425.7,417.09,417.42,1847295,0.0,1.0
2015-03-06 00:00:00+00:00,BIIB,417.63,424.23,416.24,424.23,1643719,417.63,424.23,416.24,424.23,1643719,0.0,1.0
2015-03-09 00:00:00+00:00,BIIB,415.51,417.65,411.6,417.23,1516214,415.51,417.65,411.6,417.23,1516214,0.0,1.0
2015-03-10 00:00:00+00:00,BIIB,414.2,420.44,409.61,409.67,1400677,414.2,420.44,409.61,409.67,1400677,0.0,1.0
2015-03-11 00:00:00+00:00,BIIB,408.11,416.24,407.51,415.31,1426806,408.11,416.24,407.51,415.31,1426806,0.0,1.0
2015-03-12 00:00:00+00:00,BIIB,407.64,411.49,406.02,411.49,1553494,407.64,411.49,406.02,411.49,1553494,0.0,1.0
2015-03-13 00:00:00+00:00,BIIB,413.35,416.6999,407.09,407.09,1745275,413.35,416.6999,407.09,407.09,1745275,0.0,1.0
2015-03-16 00:00:00+00:00,BIIB,421.32,422.3663,414.2201,415.46,1564535,421.32,422.3663,414.2201,415.46,1564535,0.0,1.0
2015-03-17 00:00:00+00:00,BIIB,426.12,426.48,417.5,420.1,1968927,426.12,426.48,417.5,420.1,1968927,0.0,1.0
2015-03-18 00:00:00+00:00,BIIB,427.93,431.0,417.05,425.0,2030270,427.93,431.0,417.05,425.0,2030270,0.0,1.0
2015-03-19 00:00:00+00:00,BIIB,433.65,439.9,431.33,434.795,2471896,433.65,439.9,431.33,434.795,2471896,0.0,1.0
2015-03-20 00:00:00+00:00,BIIB,475.98,480.18,456.06,475.92,10643242,475.98,480.18,456.06,475.92,10643242,0.0,1.0
2015-03-23 00:00:00+00:00,BIIB,463.73,474.0,460.5,466.07,3712598,463.73,474.0,460.5,466.07,3712598,0.0,1.0
2015-03-24 00:00:00+00:00,BIIB,452.71,467.64,452.01,462.99,2481382,452.71,467.64,452.01,462.99,2481382,0.0,1.0
2015-03-25 00:00:00+00:00,BIIB,431.63,450.25,431.39,449.06,3743694,431.63,450.25,431.39,449.06,3743694,0.0,1.0
2015-03-26 00:00:00+00:00,BIIB,428.93,432.88,420.41,427.8,3354325,428.93,432.88,420.41,427.8,3354325,0.0,1.0
2015-03-27 00:00:00+00:00,BIIB,429.87,436.67,429.36,430.12,1859181,429.87,436.67,429.36,430.12,1859181,0.0,1.0
2015-03-30 00:00:00+00:00,BIIB,431.62,437.0,428.6,433.68,1600075,431.62,437.0,428.6,433.68,1600075,0.0,1.0
2015-03-31 00:00:00+00:00,BIIB,422.24,433.98,422.1,430.16,1808665,422.24,433.98,422.1,430.16,1808665,0.0,1.0
2015-04-01 00:00:00+00:00,BIIB,413.81,423.47,407.55,423.2,2711733,413.81,423.47,407.55,423.2,2711733,0.0,1.0
2015-04-02 00:00:00+00:00,BIIB,412.44,416.48,410.64,415.4,1701777,412.44,416.48,410.64,415.4,1701777,0.0,1.0
2015-04-06 00:00:00+00:00,BIIB,413.42,420.09,408.21,408.75,1873805,413.42,420.09,408.21,408.75,1873805,0.0,1.0
2015-04-07 00:00:00+00:00,BIIB,418.09,425.37,415.125,415.5,1571945,418.09,425.37,415.125,415.5,1571945,0.0,1.0
2015-04-08 00:00:00+00:00,BIIB,425.36,427.505,418.1,419.3,1540055,425.36,427.505,418.1,419.3,1540055,0.0,1.0
2015-04-09 00:00:00+00:00,BIIB,426.63,431.78,419.48,424.6,1341609,426.63,431.78,419.48,424.6,1341609,0.0,1.0
2015-04-10 00:00:00+00:00,BIIB,425.65,428.83,420.5,426.16,1063127,425.65,428.83,420.5,426.16,1063127,0.0,1.0
2015-04-13 00:00:00+00:00,BIIB,423.36,432.47,422.52,426.7,1263254,423.36,432.47,422.52,426.7,1263254,0.0,1.0
2015-04-14 00:00:00+00:00,BIIB,423.57,426.48,417.71,423.99,1365123,423.57,426.48,417.71,423.99,1365123,0.0,1.0
2015-04-15 00:00:00+00:00,BIIB,430.96,432.74,424.57,430.76,2038080,430.96,432.74,424.57,430.76,2038080,0.0,1.0
2015-04-16 00:00:00+00:00,BIIB,428.65,432.88,428.0,428.14,1109018,428.65,432.88,428.0,428.14,1109018,0.0,1.0
2015-04-17 00:00:00+00:00,BIIB,419.44,426.99,416.84,424.0,1837610,419.44,426.99,416.84,424.0,1837610,0.0,1.0
2015-04-20 00:00:00+00:00,BIIB,422.92,424.77,419.0,424.66,1183283,422.92,424.77,419.0,424.66,1183283,0.0,1.0
2015-04-21 00:00:00+00:00,BIIB,422.11,426.17,420.17,425.19,1224628,422.11,426.17,420.17,425.19,1224628,0.0,1.0
2015-04-22 00:00:00+00:00,BIIB,423.57,425.96,418.55,423.88,1298164,423.57,425.96,418.55,423.88,1298164,0.0,1.0
2015-04-23 00:00:00+00:00,BIIB,430.28,431.8408,421.0,423.0,1938171,430.28,431.8408,421.0,423.0,1938171,0.0,1.0
2015-04-24 00:00:00+00:00,BIIB,401.71,410.87,395.0,410.0,6084406,401.71,410.87,395.0,410.0,6084406,0.0,1.0
2015-04-27 00:00:00+00:00,BIIB,389.27,403.45,388.08,401.75,3431994,389.27,403.45,388.08,401.75,3431994,0.0,1.0
2015-04-28 00:00:00+00:00,BIIB,374.68,391.87,374.36,388.8,4923876,374.68,391.87,374.36,388.8,4923876,0.0,1.0
2015-04-29 00:00:00+00:00,BIIB,383.78,388.45,376.0,377.97,3255638,383.78,388.45,376.0,377.97,3255638,0.0,1.0
2015-04-30 00:00:00+00:00,BIIB,373.93,383.83,368.88,380.89,2685872,373.93,383.83,368.88,380.89,2685872,0.0,1.0
2015-05-01 00:00:00+00:00,BIIB,386.22,388.14,377.52,377.52,2738394,386.22,388.14,377.52,377.52,2738394,0.0,1.0
