date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-04-02 00:00:00+00:00,BRK-B,143.56,143.9,143.15,143.59,2336262,143.56,143.9,143.15,143.59,2336262,0.0,1.0
2015-04-06 00:00:00+00:00,BRK-B,143.76,144.45,142.57,143.0,2447414,143.76,144.45,142.57,143.0,2447414,0.0,1.0
2015-04-07 00:00:00+00:00,BRK-B,143.06,144.02,143.0,143.56,2760153,143.06,144.02,143.0,143.56,2760153,0.0,1.0
2015-04-08 00:00:00+00:00,BRK-B,143.28,143.78,142.82,143.1,4775656,143.28,143.78,142.82,143.1,4775656,0.0,1.0
2015-04-09 00:00:00+00:00,BRK-B,143.65,143.7,142.78,143.02,2820821,143.65,143.7,142.78,143.02,2820821,0.0,1.0
2015-04-10 00:00:00+00:00,BRK-B,143.5,143.74,143.03,143.42,1047561,143.5,143.74,143.03,143.42,1047561,0.0,1.0
2015-04-13 00:00:00+00:00,BRK-B,143.46,143.95,143.33,143.52,763889,143.46,143.95,143.33,143.52,763889,0.0,1.0
2015-04-14 00:00:00+00:00,BRK-B,142.75,143.77,142.12,143.65,2929734,142.75,143.77,142.12,143.65,2929734,0.0,1.0
2015-04-15 00:00:00+00:00,BRK-B,142.71,143.48,142.58,142.73,2620707,142.71,143.48,142.58,142.73,2620707,0.0,1.0
2015-04-16 00:00:00+00:00,BRK-B,142.1,142.8,141.7,142.5,2693075,142.1,142.8,141.7,142.5,2693075,0.0,1.0
2015-04-17 00:00:00+00:00,BRK-B,140.7,141.54,140.33,141.2,4613459,140.7,141.54,140.33,141.2,4613459,0.0,1.0
2015-04-20 00:00:00+00:00,BRK-B,142.09,142.41,141.51,141.69,2669747,142.09,142.41,141.51,141.69,2669747,0.0,1.0
2015-04-21 00:00:00+00:00,BRK-B,141.14,142.47,141.12,142.4,3008180,141.14,142.47,141.12,142.4,3008180,0.0,1.0
2015-04-22 00:00:00+00:00,BRK-B,141.99,142.22,141.09,141.41,2629420,141.99,142.22,141.09,141.41,2629420,0.0,1.0
2015-04-23 00:00:00+00:00,BRK-B,142.43,143.02,141.63,141.95,2631172,142.43,143.02,141.63,141.95,2631172,0.0,1.0
2015-04-24 00:00:00+00:00,BRK-B,142.09,142.55,141.75,142.0,2255676,142.09,142.55,141.75,142.0,2255676,0.0,1.0
2015-04-27 00:00:00+00:00,BRK-B,141.09,142.36,140.87,142.28,3210536,141.09,142.36,140.87,142.28,3210536,0.0,1.0
2015-04-28 00:00:00+00:00,BRK-B,142.52,142.63,140.59,140.81,2564705,142.52,142.63,140.59,140.81,2564705,0.0,1.0
2015-04-29 00:00:00+00:00,BRK-B,142.41,142.76,141.57,141.63,3126943,142.41,142.76,141.57,141.63,3126943,0.0,1.0
2015-04-30 00:00:00+00:00,BRK-B,141.21,142.57,140.93,141.78,3554638,141.21,142.57,140.93,141.78,3554638,0.0,1.0
2015-05-01 00:00:00+00:00,BRK-B,143.36,143.36,141.79,142.0,2797857,143.36,143.36,141.79,142.0,2797857,0.0,1.0
2015-05-04 00:00:00+00:00,BRK-B,146.15,146.33,144.0,144.95,4224305,146.15,146.33,144.0,144.95,4224305,0.0,1.0
2015-05-05 00:00:00+00:00,BRK-B,144.56,146.42,144.51,145.91,2992904,144.56,146.42,144.51,145.91,2992904,0.0,1.0
2015-05-06 00:00:00+00:00,BRK-B,143.78,145.44,142.94,145.0,3320503,143.78,145.44,142.94,145.0,3320503,0.0,1.0
2015-05-07 00:00:00+00:00,BRK-B,145.31,145.52,143.36,143.41,3314764,145.31,145.52,143.36,143.41,3314764,0.0,1.0
2015-05-08 00:00:00+00:00,BRK-B,148.31,148.42,146.4,146.56,5277804,148.31,148.42,146.4,146.56,5277804,0.0,1.0
2015-05-11 00:00:00+00:00,BRK-B,146.17,148.57,146.0,148.5,3815599,146.17,148.57,146.0,148.5,3815599,0.0,1.0
2015-05-12 00:00:00+00:00,BRK-B,144.79,145.39,144.03,145.35,2822260,144.79,145.39,144.03,145.35,2822260,0.0,1.0
2015-05-13 00:00:00+00:00,BRK-B,144.26,144.73,144.02,144.16,2622401,144.26,144.73,144.02,144.16,2622401,0.0,1.0
2015-05-14 00:00:00+00:00,BRK-B,145.78,145.83,144.52,145.22,2326428,145.78,145.83,144.52,145.22,2326428,0.0,1.0
2015-05-15 00:00:00+00:00,BRK-B,145.26,146.09,144.65,145.93,2423977,145.26,146.09,144.65,145.93,2423977,0.0,1.0
