date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,BSX,14.74,14.81,14.57,14.65,6392228,14.74,14.81,14.57,14.65,6392228,0.0,1.0
2015-02-13 00:00:00+00:00,BSX,14.98,15.0,14.67,14.7,6731386,14.98,15.0,14.67,14.7,6731386,0.0,1.0
2015-02-17 00:00:00+00:00,BSX,14.84,14.89,14.69,14.81,9939656,14.84,14.89,14.69,14.81,9939656,0.0,1.0
2015-02-18 00:00:00+00:00,BSX,16.68,16.71,16.09,16.32,55379961,16.68,16.71,16.09,16.32,55379961,0.0,1.0
2015-02-19 00:00:00+00:00,BSX,16.45,16.56,16.275,16.56,20098648,16.45,16.56,16.275,16.56,20098648,0.0,1.0
2015-02-20 00:00:00+00:00,BSX,16.47,16.56,16.24,16.44,13707202,16.47,16.56,16.24,16.44,13707202,0.0,1.0
2015-02-23 00:00:00+00:00,BSX,16.31,16.555,16.255,16.4,11848968,16.31,16.555,16.255,16.4,11848968,0.0,1.0
2015-02-24 00:00:00+00:00,BSX,16.62,16.71,16.13,16.29,25563870,16.62,16.71,16.13,16.29,25563870,0.0,1.0
2015-02-25 00:00:00+00:00,BSX,16.92,16.965,16.53,16.63,18525775,16.92,16.965,16.53,16.63,18525775,0.0,1.0
2015-02-26 00:00:00+00:00,BSX,16.82,16.88,16.64,16.84,11324182,16.82,16.88,16.64,16.84,11324182,0.0,1.0
2015-02-27 00:00:00+00:00,BSX,16.9,17.01,16.75,16.83,11291042,16.9,17.01,16.75,16.83,11291042,0.0,1.0
2015-03-02 00:00:00+00:00,BSX,17.06,17.26,16.63,17.02,16094917,17.06,17.26,16.63,17.02,16094917,0.0,1.0
2015-03-03 00:00:00+00:00,BSX,16.76,17.08,16.66,17.05,10133569,16.76,17.08,16.66,17.05,10133569,0.0,1.0
2015-03-04 00:00:00+00:00,BSX,16.79,16.93,16.68,16.76,8162231,16.79,16.93,16.68,16.76,8162231,0.0,1.0
2015-03-05 00:00:00+00:00,BSX,16.97,17.069,16.8,16.82,9624110,16.97,17.069,16.8,16.82,9624110,0.0,1.0
2015-03-06 00:00:00+00:00,BSX,16.56,16.905,16.48,16.9,10105199,16.56,16.905,16.48,16.9,10105199,0.0,1.0
2015-03-09 00:00:00+00:00,BSX,16.6,16.69,16.42,16.54,6748133,16.6,16.69,16.42,16.54,6748133,0.0,1.0
2015-03-10 00:00:00+00:00,BSX,16.42,16.6,16.4,16.48,10594239,16.42,16.6,16.4,16.48,10594239,0.0,1.0
2015-03-11 00:00:00+00:00,BSX,16.58,16.67,16.375,16.56,7045134,16.58,16.67,16.375,16.56,7045134,0.0,1.0
2015-03-12 00:00:00+00:00,BSX,16.89,16.94,16.63,16.68,9202731,16.89,16.94,16.63,16.68,9202731,0.0,1.0
2015-03-13 00:00:00+00:00,BSX,16.61,16.91,16.441,16.84,7261860,16.61,16.91,16.441,16.84,7261860,0.0,1.0
2015-03-16 00:00:00+00:00,BSX,17.24,17.42,17.03,17.11,20808740,17.24,17.42,17.03,17.11,20808740,0.0,1.0
2015-03-17 00:00:00+00:00,BSX,17.4,17.81,17.27,17.42,22619968,17.4,17.81,17.27,17.42,22619968,0.0,1.0
2015-03-18 00:00:00+00:00,BSX,17.76,17.84,17.3,17.32,15151248,17.76,17.84,17.3,17.32,15151248,0.0,1.0
2015-03-19 00:00:00+00:00,BSX,17.81,17.84,17.59,17.8,9668259,17.81,17.84,17.59,17.8,9668259,0.0,1.0
2015-03-20 00:00:00+00:00,BSX,17.84,18.17,17.8,17.95,18358664,17.84,18.17,17.8,17.95,18358664,0.0,1.0
2015-03-23 00:00:00+00:00,BSX,17.98,18.06,17.76,17.87,7467637,17.98,18.06,17.76,17.87,7467637,0.0,1.0
2015-03-24 00:00:00+00:00,BSX,17.83,18.13,17.815,18.05,7673720,17.83,18.13,17.815,18.05,7673720,0.0,1.0
2015-03-25 00:00:00+00:00,BSX,17.52,17.99,17.5,17.82,9581757,17.52,17.99,17.5,17.82,9581757,0.0,1.0
2015-03-26 00:00:00+00:00,BSX,17.44,17.63,17.34,17.44,7598262,17.44,17.63,17.34,17.44,7598262,0.0,1.0
2015-03-27 00:00:00+00:00,BSX,17.83,17.875,17.52,17.57,6516489,17.83,17.875,17.52,17.57,6516489,0.0,1.0
2015-03-30 00:00:00+00:00,BSX,18.07,18.16,17.845,17.94,8078628,18.07,18.16,17.845,17.94,8078628,0.0,1.0
2015-03-31 00:00:00+00:00,BSX,17.75,17.955,17.7,17.95,8294660,17.75,17.955,17.7,17.95,8294660,0.0,1.0
2015-04-01 00:00:00+00:00,BSX,17.65,17.82,17.31,17.75,9809989,17.65,17.82,17.31,17.75,9809989,0.0,1.0
2015-04-02 00:00:00+00:00,BSX,17.72,17.83,17.54,17.66,5569950,17.72,17.83,17.54,17.66,5569950,0.0,1.0
2015-04-06 00:00:00+00:00,BSX,17.68,17.83,17.58,17.62,11406143,17.68,17.83,17.58,17.62,11406143,0.0,1.0
2015-04-07 00:00:00+00:00,BSX,17.69,17.91,17.665,17.73,6549194,17.69,17.91,17.665,17.73,6549194,0.0,1.0
2015-04-08 00:00:00+00:00,BSX,17.89,17.92,17.68,17.7,10918282,17.89,17.92,17.68,17.7,10918282,0.0,1.0
2015-04-09 00:00:00+00:00,BSX,18.1,18.13,17.76,17.76,7349298,18.1,18.13,17.76,17.76,7349298,0.0,1.0
2015-04-10 00:00:00+00:00,BSX,18.1,18.24,18.015,18.1,7935388,18.1,18.24,18.015,18.1,7935388,0.0,1.0
2015-04-13 00:00:00+00:00,BSX,17.8,18.23,17.77,18.1,6675172,17.8,18.23,17.77,18.1,6675172,0.0,1.0
2015-04-14 00:00:00+00:00,BSX,17.9,17.91,17.615,17.77,8542447,17.9,17.91,17.615,17.77,8542447,0.0,1.0
2015-04-15 00:00:00+00:00,BSX,18.04,18.15,17.89,17.98,8319832,18.04,18.15,17.89,17.98,8319832,0.0,1.0
2015-04-16 00:00:00+00:00,BSX,18.16,18.17,17.99,18.0,7440752,18.16,18.17,17.99,18.0,7440752,0.0,1.0
2015-04-17 00:00:00+00:00,BSX,18.4,18.4,17.87,18.04,17765905,18.4,18.4,17.87,18.04,17765905,0.0,1.0
2015-04-20 00:00:00+00:00,BSX,18.19,18.435,18.14,18.42,9604192,18.19,18.435,18.14,18.42,9604192,0.0,1.0
2015-04-21 00:00:00+00:00,BSX,18.31,18.32,18.13,18.24,9914466,18.31,18.32,18.13,18.24,9914466,0.0,1.0
2015-04-22 00:00:00+00:00,BSX,18.41,18.44,18.225,18.28,7415350,18.41,18.44,18.225,18.28,7415350,0.0,1.0
