date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CAH,86.04,86.68,85.24,86.64,1533799,74.6466834912,75.2019354372,73.9526185587,75.1672321906,1533799,0.0,1.0
2015-02-13 00:00:00+00:00,CAH,86.08,86.11,85.34,86.04,1253185,74.6813867379,74.7074141728,74.0393766753,74.6466834912,1253185,0.0,1.0
2015-02-17 00:00:00+00:00,CAH,86.41,86.72,85.75,86.1,1309002,74.9676885225,75.2366386839,74.3950849532,74.6987383612,1309002,0.0,1.0
2015-02-18 00:00:00+00:00,CAH,86.22,86.47,85.66,86.33,1420265,74.8028481011,75.0197433925,74.3170026483,74.8982820293,1420265,0.0,1.0
2015-02-19 00:00:00+00:00,CAH,86.17,86.54,85.87,86.26,834214,74.7594690428,75.0804740741,74.4991946931,74.8375513477,834214,0.0,1.0
2015-02-20 00:00:00+00:00,CAH,87.06,87.06,85.65,85.96,1213276,75.5316162802,75.5316162802,74.3083268366,74.577276998,1213276,0.0,1.0
2015-02-23 00:00:00+00:00,CAH,88.1,88.15,86.9557,87.15,1894590,76.4339006925,76.4772797507,75.4411275646,75.6096985851,1894590,0.0,1.0
2015-02-24 00:00:00+00:00,CAH,89.25,89.31,87.78,88.11,2442843,77.4316190329,77.4836739029,76.1562747194,76.4425765041,2442843,0.0,1.0
2015-02-25 00:00:00+00:00,CAH,88.3,89.43,88.22,88.91,1678987,76.6074169256,77.5877836427,76.5380104323,77.1366414366,1678987,0.0,1.0
2015-02-26 00:00:00+00:00,CAH,88.17,88.82,87.73,88.16,1145138,76.494631374,77.0585591317,76.1128956612,76.4859555624,1145138,0.0,1.0
2015-02-27 00:00:00+00:00,CAH,87.99,88.75,87.89,88.06,1502298,76.3384667642,76.9978284501,76.2517086477,76.3991974458,1502298,0.0,1.0
2015-03-02 00:00:00+00:00,CAH,89.52,90.49,88.64,88.71,3820289,77.6658659477,78.5074196783,76.9023945219,76.9631252035,3820289,0.0,1.0
2015-03-03 00:00:00+00:00,CAH,88.43,89.93,87.62,89.93,1942264,76.7202024771,78.0215742256,76.0174617329,78.0215742256,1942264,0.0,1.0
2015-03-04 00:00:00+00:00,CAH,89.03,89.1,87.48,88.09,1620657,77.2407511765,77.3014818581,75.8960003698,76.4252248808,1620657,0.0,1.0
2015-03-05 00:00:00+00:00,CAH,88.95,89.63,88.6,89.21,1504219,77.1713446832,77.7612998759,76.8676912753,77.3969157863,1504219,0.0,1.0
2015-03-06 00:00:00+00:00,CAH,87.01,88.72,86.75,88.72,1501425,75.4882372219,76.9718010151,75.2626661188,76.9718010151,1501425,0.0,1.0
2015-03-09 00:00:00+00:00,CAH,87.98,88.15,87.03,87.26,1244101,76.3297909526,76.4772797507,75.5055888452,75.7051325133,1244101,0.0,1.0
2015-03-10 00:00:00+00:00,CAH,86.94,87.33,85.94,87.03,1785056,75.4275065403,75.7658631949,74.5599253747,75.5055888452,1785056,0.0,1.0
2015-03-11 00:00:00+00:00,CAH,87.27,87.63,86.5,87.18,1172138,75.713808325,76.0261375446,75.0457708274,75.6357260201,1172138,0.0,1.0
2015-03-12 00:00:00+00:00,CAH,88.48,88.71,87.74,87.74,1197755,76.7635815354,76.9631252035,76.1215714728,76.1215714728,1197755,0.0,1.0
2015-03-13 00:00:00+00:00,CAH,88.12,88.57,87.33,88.22,1172372,76.4512523158,76.8416638403,75.7658631949,76.5380104323,1172372,0.0,1.0
2015-03-16 00:00:00+00:00,CAH,89.98,89.995,88.64,88.73,1368101,78.0649532838,78.0779670013,76.9023945219,76.9804768268,1368101,0.0,1.0
2015-03-17 00:00:00+00:00,CAH,89.55,89.72,88.94,89.46,1343728,77.6918933826,77.8393821808,77.1626688716,77.6138110777,1343728,0.0,1.0
2015-03-18 00:00:00+00:00,CAH,90.38,90.63,88.6,89.33,1896937,78.4119857501,78.6288810415,76.8676912753,77.5010255262,1896937,0.0,1.0
2015-03-19 00:00:00+00:00,CAH,89.92,90.4,89.27,90.4,1627407,78.0128984139,78.4293373734,77.4489706562,78.4293373734,1627407,0.0,1.0
2015-03-20 00:00:00+00:00,CAH,91.25,91.45,90.2,90.32,2488232,79.1667813642,79.3402975973,78.2558211403,78.3599308802,2488232,0.0,1.0
2015-03-23 00:00:00+00:00,CAH,90.32,91.59,90.29,91.42,1904597,78.3599308802,79.4617589605,78.3339034452,79.3142701624,1904597,0.0,1.0
2015-03-24 00:00:00+00:00,CAH,89.45,90.68,89.38,90.42,1705775,77.6051352661,78.6722600998,77.5444045845,78.4466889967,1705775,0.0,1.0
2015-03-25 00:00:00+00:00,CAH,89.01,90.64,88.86,89.73,2177868,77.2233995532,78.6375568532,77.0932623783,77.8480579924,2177868,0.0,1.0
2015-03-26 00:00:00+00:00,CAH,89.14,90.07,88.11,88.75,1611582,77.3361851047,78.1430355888,76.4425765041,76.9978284501,1611582,0.0,1.0
2015-03-27 00:00:00+00:00,CAH,90.09,90.21,89.07,89.2,1672604,78.1603872121,78.2644969519,77.2754544231,77.3882399746,1672604,0.0,1.0
2015-03-30 00:00:00+00:00,CAH,90.8,91.02,89.81,89.96,1416619,79.0735163889,79.2651042039,78.2113712212,78.3419992769,1416619,0.3425,1.0
2015-03-31 00:00:00+00:00,CAH,90.27,91.42,90.16,90.57,2290088,78.6119639254,79.6134456858,78.5161700179,78.8732200368,2290088,0.0,1.0
2015-04-01 00:00:00+00:00,CAH,88.85,90.235,88.16,90.21,2131659,77.3753516647,78.5814840457,76.7744626084,78.5597127031,2131659,0.0,1.0
2015-04-02 00:00:00+00:00,CAH,89.6,89.83,88.43,89.25,1257296,78.0284919432,78.2287882953,77.0095931087,77.7236931466,1257296,0.0,1.0
2015-04-06 00:00:00+00:00,CAH,89.93,90.47,88.742,88.97,1400863,78.3158736658,78.7861346663,77.2812994646,77.4798541093,1400863,0.0,1.0
2015-04-07 00:00:00+00:00,CAH,89.94,90.52,89.885,89.9,1180308,78.3245822028,78.8296773516,78.2766852491,78.2897480546,1180308,0.0,1.0
2015-04-08 00:00:00+00:00,CAH,90.19,90.43,89.54,90.09,1623236,78.542295629,78.7513005181,77.9762407209,78.4552102585,1623236,0.0,1.0
2015-04-09 00:00:00+00:00,CAH,89.89,90.61,89.48,89.9,1490847,78.2810395176,78.908054185,77.9239894987,78.2897480546,1490847,0.0,1.0
2015-04-10 00:00:00+00:00,CAH,90.52,90.6,89.51,89.76,1909383,78.8296773516,78.899345648,77.9501151098,78.167828536,1909383,0.0,1.0
2015-04-13 00:00:00+00:00,CAH,89.62,91.24,89.38,90.48,1822893,78.0459090173,79.456692019,77.8369041282,78.7948432034,1822893,0.0,1.0
2015-04-14 00:00:00+00:00,CAH,90.3,90.52,89.0,90.29,1368796,78.6380895365,78.8296773516,77.5059797204,78.6293809995,1368796,0.0,1.0
2015-04-15 00:00:00+00:00,CAH,90.15,91.12,90.09,90.56,1502864,78.5074614808,79.3521895744,78.4552102585,78.8645114998,1502864,0.0,1.0
2015-04-16 00:00:00+00:00,CAH,89.66,90.16,89.43,90.15,1151123,78.0807431655,78.5161700179,77.8804468134,78.5074614808,1151123,0.0,1.0
2015-04-17 00:00:00+00:00,CAH,89.55,89.73,88.59,89.16,1460353,77.984949258,78.1417029248,77.1489297015,77.6453163131,1460353,0.0,1.0
2015-04-20 00:00:00+00:00,CAH,90.14,90.83,89.61,89.93,1425908,78.4987529438,79.099642,78.0372004803,78.3158736658,1425908,0.0,1.0
2015-04-21 00:00:00+00:00,CAH,90.35,90.9,90.17,90.4,1000929,78.6816322218,79.1606017594,78.5248785549,78.725174907,1000929,0.0,1.0
2015-04-22 00:00:00+00:00,CAH,91.5,91.62,90.31,90.46,1788974,79.6831139822,79.7876164268,78.6467980736,78.7774261293,1788974,0.0,1.0
2015-04-23 00:00:00+00:00,CAH,91.5,91.89,90.68,91.09,1488625,79.6831139822,80.022746927,78.9690139443,79.3260639633,1488625,0.0,1.0
2015-04-24 00:00:00+00:00,CAH,91.38,91.78,90.9,91.41,1317588,79.5786115376,79.9269530195,79.1606017594,79.6047371488,1317588,0.0,1.0
2015-04-27 00:00:00+00:00,CAH,89.53,91.91,89.44,91.72,1943220,77.9675321839,80.0401640011,77.8891553505,79.8747017972,1943220,0.0,1.0
2015-04-28 00:00:00+00:00,CAH,90.48,90.57,88.52,89.28,2225849,78.7948432034,78.8732200368,77.0879699421,77.7498187577,2225849,0.0,1.0
2015-04-29 00:00:00+00:00,CAH,88.9,90.36,88.24,89.86,2618076,77.4188943499,78.6903407588,76.8441309048,78.2549139065,2618076,0.0,1.0
2015-04-30 00:00:00+00:00,CAH,84.34,88.9,83.85,88.9,5378085,73.4478014564,77.4188943499,73.0210831411,77.4188943499,5378085,0.0,1.0
2015-05-01 00:00:00+00:00,CAH,85.55,85.77,84.09,84.53,2945726,74.5015344391,74.6931222541,73.2300880302,73.6132636603,2945726,0.0,1.0
2015-05-04 00:00:00+00:00,CAH,85.63,86.23,85.19,85.77,2065301,74.5712027355,75.0937149583,74.1880271054,74.6931222541,2065301,0.0,1.0
2015-05-05 00:00:00+00:00,CAH,84.57,86.0,84.34,85.7,1991026,73.6480978085,74.8934186062,73.4478014564,74.6321624948,1991026,0.0,1.0
2015-05-06 00:00:00+00:00,CAH,84.76,85.2645,84.23,84.99,2190479,73.8135600124,74.2529057064,73.3520075489,74.0138563645,2190479,0.0,1.0
2015-05-07 00:00:00+00:00,CAH,84.99,85.63,84.72,84.8,2153963,74.0138563645,74.5712027355,73.7787258642,73.8483941606,2153963,0.0,1.0
