date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CE,57.76,58.25,57.56,57.88,752600,52.5815500411,53.0276192849,52.399480962,52.6907914885,752600,0.25,1.0
2015-02-13 00:00:00+00:00,CE,57.98,58.39,57.72,57.78,986463,52.7818260281,53.1550676402,52.5451362253,52.599756949,986463,0.0,1.0
2015-02-17 00:00:00+00:00,CE,57.84,58.16,57.21,57.66,823081,52.6543776727,52.9456881993,52.0808600736,52.4905155015,823081,0.0,1.0
2015-02-18 00:00:00+00:00,CE,57.99,57.99,57.36,57.6,589368,52.790929482,52.790929482,52.2174118829,52.4358947778,589368,0.0,1.0
2015-02-19 00:00:00+00:00,CE,58.01,58.44,57.13,57.49,575302,52.8091363899,53.20058491,52.008032442,52.3357567843,575302,0.0,1.0
2015-02-20 00:00:00+00:00,CE,57.55,57.9099,56.82,57.77,750510,52.390377508,52.7180108159,51.7258253694,52.590653495,750510,0.0,1.0
2015-02-23 00:00:00+00:00,CE,58.33,58.33,57.37,57.55,660953,53.1004469165,53.1004469165,52.2265153369,52.390377508,660953,0.0,1.0
2015-02-24 00:00:00+00:00,CE,57.89,58.55,57.69,58.34,621913,52.6998949425,53.3007229035,52.5178258634,53.1095503704,621913,0.0,1.0
2015-02-25 00:00:00+00:00,CE,57.84,58.12,57.49,57.9,392580,52.6543776727,52.9092743834,52.3357567843,52.7089983965,392580,0.0,1.0
2015-02-26 00:00:00+00:00,CE,57.21,58.05,57.15,57.55,553321,52.0808600736,52.8455502058,52.0262393499,52.390377508,553321,0.0,1.0
2015-02-27 00:00:00+00:00,CE,57.11,57.6,56.79,57.12,587981,51.989825534,52.4358947778,51.6985150075,51.998928988,587981,0.0,1.0
2015-03-02 00:00:00+00:00,CE,58.25,58.27,56.53,57.03,771898,53.0276192849,53.0458261928,51.4618252047,51.9169979024,771898,0.0,1.0
2015-03-03 00:00:00+00:00,CE,57.97,59.12,57.83,58.1,918222,52.7727225741,53.8196197789,52.6452742188,52.8910674755,918222,0.0,1.0
2015-03-04 00:00:00+00:00,CE,59.0,59.24,57.32,57.85,1041830,53.7103783314,53.9288612264,52.1809980671,52.6634811267,1041830,0.0,1.0
2015-03-05 00:00:00+00:00,CE,58.47,59.52,58.24,59.52,970068,53.2278952719,54.1837579371,53.0185158309,54.1837579371,970068,0.0,1.0
2015-03-06 00:00:00+00:00,CE,57.62,58.69,57.29,57.97,1040952,52.4541016857,53.4281712589,52.1536877052,52.7727225741,1040952,0.0,1.0
2015-03-09 00:00:00+00:00,CE,57.73,58.0,57.43,57.75,969869,52.5542396792,52.800032936,52.2811360606,52.5724465871,969869,0.0,1.0
2015-03-10 00:00:00+00:00,CE,56.32,57.26,56.01,57.26,1323444,51.2706526716,52.1263773434,50.9884455991,52.1263773434,1323444,0.0,1.0
2015-03-11 00:00:00+00:00,CE,56.69,57.21,56.27,56.32,951779,51.607480468,52.0808600736,51.2251354019,51.2706526716,951779,0.0,1.0
2015-03-12 00:00:00+00:00,CE,57.21,57.6194,56.76,57.01,825293,52.0808600736,52.4535554785,51.6712046456,51.8987909945,825293,0.0,1.0
2015-03-13 00:00:00+00:00,CE,55.81,57.03,55.42,56.81,1072564,50.80637652,51.9169979024,50.4513418157,51.7167219154,1072564,0.0,1.0
2015-03-16 00:00:00+00:00,CE,55.53,56.01,55.18,55.84,894565,50.5514798092,50.9884455991,50.2328589208,50.8336868818,894565,0.0,1.0
2015-03-17 00:00:00+00:00,CE,55.01,55.36,54.41,55.15,832241,50.0781002036,50.396721092,49.5318929663,50.205548559,832241,0.0,1.0
2015-03-18 00:00:00+00:00,CE,56.18,56.53,54.12,54.71,1093407,51.1432043163,51.4618252047,49.2678928017,49.804996585,1093407,0.0,1.0
2015-03-19 00:00:00+00:00,CE,55.47,55.86,55.05,55.58,577565,50.4968590855,50.8518937897,50.1145140194,50.596997079,577565,0.0,1.0
2015-03-20 00:00:00+00:00,CE,56.18,56.23,55.54,55.75,695145,51.1432043163,51.1887215861,50.5605832632,50.7517557962,695145,0.0,1.0
2015-03-23 00:00:00+00:00,CE,55.55,56.27,55.55,56.06,577946,50.5696867171,51.2251354019,50.5696867171,51.0339628688,577946,0.0,1.0
2015-03-24 00:00:00+00:00,CE,55.61,55.87,54.88,55.46,841276,50.6243074409,50.8609972437,49.9597553022,50.4877556316,841276,0.0,1.0
2015-03-25 00:00:00+00:00,CE,55.17,56.28,55.14,55.79,699105,50.2237554669,51.2342388558,50.196445105,50.7881696121,699105,0.0,1.0
