date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CNC,118.19,119.84,116.78,119.84,665224,29.5475,29.96,29.195,29.96,2660896,0.0,1.0
2015-02-13 00:00:00+00:00,CNC,118.18,119.395,117.01,117.72,637783,29.545,29.84875,29.2525,29.43,2551132,0.0,1.0
2015-02-17 00:00:00+00:00,CNC,120.23,120.849,118.2,118.4,460796,30.0575,30.21225,29.55,29.6,1843184,0.0,1.0
2015-02-18 00:00:00+00:00,CNC,120.37,120.9999,119.27,120.23,562454,30.0925,30.249975,29.8175,30.0575,2249816,0.0,1.0
2015-02-19 00:00:00+00:00,CNC,120.67,121.08,119.5,120.38,418372,30.1675,30.27,29.875,30.095,1673488,0.0,1.0
2015-02-20 00:00:00+00:00,CNC,59.85,61.0,59.68,60.09,1420688,29.925,30.5,29.84,30.045,2841376,0.0,2.0
2015-02-23 00:00:00+00:00,CNC,61.99,62.26,59.86,59.86,1293175,30.995,31.13,29.93,29.93,2586350,0.0,1.0
2015-02-24 00:00:00+00:00,CNC,61.36,62.27,61.26,62.16,1106804,30.68,31.135,30.63,31.08,2213608,0.0,1.0
2015-02-25 00:00:00+00:00,CNC,61.65,62.03,61.32,61.44,669893,30.825,31.015,30.66,30.72,1339786,0.0,1.0
2015-02-26 00:00:00+00:00,CNC,61.18,61.85,60.8,61.53,796442,30.59,30.925,30.4,30.765,1592884,0.0,1.0
2015-02-27 00:00:00+00:00,CNC,61.46,61.94,61.02,61.02,852919,30.73,30.97,30.51,30.51,1705838,0.0,1.0
2015-03-02 00:00:00+00:00,CNC,62.14,62.19,61.03,61.41,752829,31.07,31.095,30.515,30.705,1505658,0.0,1.0
2015-03-03 00:00:00+00:00,CNC,62.16,62.2,61.01,61.85,1051218,31.08,31.1,30.505,30.925,2102436,0.0,1.0
2015-03-04 00:00:00+00:00,CNC,62.28,62.53,61.35,62.15,1086510,31.14,31.265,30.675,31.075,2173020,0.0,1.0
2015-03-05 00:00:00+00:00,CNC,63.25,63.46,62.29,62.3,1018472,31.625,31.73,31.145,31.15,2036944,0.0,1.0
2015-03-06 00:00:00+00:00,CNC,62.83,63.26,62.5,63.26,722392,31.415,31.63,31.25,31.63,1444784,0.0,1.0
2015-03-09 00:00:00+00:00,CNC,63.38,63.7,63.0,63.25,805512,31.69,31.85,31.5,31.625,1611024,0.0,1.0
2015-03-10 00:00:00+00:00,CNC,62.95,63.38,62.5305,62.97,1492297,31.475,31.69,31.26525,31.485,2984594,0.0,1.0
2015-03-11 00:00:00+00:00,CNC,64.15,64.2,62.8572,63.4,1268305,32.075,32.1,31.4286,31.7,2536610,0.0,1.0
2015-03-12 00:00:00+00:00,CNC,64.89,65.1,64.21,64.38,997595,32.445,32.55,32.105,32.19,1995190,0.0,1.0
2015-03-13 00:00:00+00:00,CNC,65.39,65.93,64.615,64.91,1117352,32.695,32.965,32.3075,32.455,2234704,0.0,1.0
2015-03-16 00:00:00+00:00,CNC,67.35,67.97,65.89,65.89,1438846,33.675,33.985,32.945,32.945,2877692,0.0,1.0
2015-03-17 00:00:00+00:00,CNC,67.38,67.47,66.41,67.25,841642,33.69,33.735,33.205,33.625,1683284,0.0,1.0
2015-03-18 00:00:00+00:00,CNC,69.48,69.75,67.16,67.54,1262523,34.74,34.875,33.58,33.77,2525046,0.0,1.0
2015-03-19 00:00:00+00:00,CNC,70.59,70.99,69.02,69.58,1599297,35.295,35.495,34.51,34.79,3198594,0.0,1.0
2015-03-20 00:00:00+00:00,CNC,70.25,71.0,70.2,70.96,1580180,35.125,35.5,35.1,35.48,3160360,0.0,1.0
2015-03-23 00:00:00+00:00,CNC,70.51,71.25,69.93,70.28,907890,35.255,35.625,34.965,35.14,1815780,0.0,1.0
2015-03-24 00:00:00+00:00,CNC,70.11,71.06,69.98,70.51,807923,35.055,35.53,34.99,35.255,1615846,0.0,1.0
2015-03-25 00:00:00+00:00,CNC,68.83,71.03,68.71,70.35,845637,34.415,35.515,34.355,35.175,1691274,0.0,1.0
2015-03-26 00:00:00+00:00,CNC,68.19,68.59,65.23,68.17,1756538,34.095,34.295,32.615,34.085,3513076,0.0,1.0
2015-03-27 00:00:00+00:00,CNC,69.22,69.53,68.41,68.41,725172,34.61,34.765,34.205,34.205,1450344,0.0,1.0
2015-03-30 00:00:00+00:00,CNC,71.23,71.66,70.57,70.96,1038355,35.615,35.83,35.285,35.48,2076710,0.0,1.0
2015-03-31 00:00:00+00:00,CNC,70.69,71.25,70.45,71.0,990230,35.345,35.625,35.225,35.5,1980460,0.0,1.0
2015-04-01 00:00:00+00:00,CNC,70.47,70.74,69.1,70.56,861722,35.235,35.37,34.55,35.28,1723444,0.0,1.0
2015-04-02 00:00:00+00:00,CNC,70.36,70.98,70.08,70.46,996835,35.18,35.49,35.04,35.23,1993670,0.0,1.0
2015-04-06 00:00:00+00:00,CNC,70.6,70.895,69.77,70.18,1546829,35.3,35.4475,34.885,35.09,3093658,0.0,1.0
2015-04-07 00:00:00+00:00,CNC,70.52,71.83,70.48,71.18,679782,35.26,35.915,35.24,35.59,1359564,0.0,1.0
2015-04-08 00:00:00+00:00,CNC,71.32,71.48,70.58,70.66,886629,35.66,35.74,35.29,35.33,1773258,0.0,1.0
