date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-04-02 00:00:00+00:00,DISH,70.96,71.28,69.38,69.8,840906,70.96,71.28,69.38,69.8,840906,0.0,1.0
2015-04-06 00:00:00+00:00,DISH,71.15,71.77,70.12,70.25,883736,71.15,71.77,70.12,70.25,883736,0.0,1.0
2015-04-07 00:00:00+00:00,DISH,70.6,71.6699,70.57,71.26,527735,70.6,71.6699,70.57,71.26,527735,0.0,1.0
2015-04-08 00:00:00+00:00,DISH,71.18,71.27,70.0705,70.52,1022367,71.18,71.27,70.0705,70.52,1022367,0.0,1.0
2015-04-09 00:00:00+00:00,DISH,71.615,71.74,70.91,71.06,885352,71.615,71.74,70.91,71.06,885352,0.0,1.0
2015-04-10 00:00:00+00:00,DISH,71.83,72.2,71.77,71.88,500656,71.83,72.2,71.77,71.88,500656,0.0,1.0
2015-04-13 00:00:00+00:00,DISH,70.45,72.05,70.32,71.97,1558631,70.45,72.05,70.32,71.97,1558631,0.0,1.0
2015-04-14 00:00:00+00:00,DISH,69.8,70.695,69.59,69.63,1826205,69.8,70.695,69.59,69.63,1826205,0.0,1.0
2015-04-15 00:00:00+00:00,DISH,69.85,70.37,69.08,70.14,1581731,69.85,70.37,69.08,70.14,1581731,0.0,1.0
2015-04-16 00:00:00+00:00,DISH,69.815,70.31,69.53,69.86,988893,69.815,70.31,69.53,69.86,988893,0.0,1.0
2015-04-17 00:00:00+00:00,DISH,69.255,69.55,68.6,69.14,1456922,69.255,69.55,68.6,69.14,1456922,0.0,1.0
2015-04-20 00:00:00+00:00,DISH,69.22,69.88,69.01,69.5,1513573,69.22,69.88,69.01,69.5,1513573,0.0,1.0
2015-04-21 00:00:00+00:00,DISH,69.775,70.26,69.3,69.43,772941,69.775,70.26,69.3,69.43,772941,0.0,1.0
2015-04-22 00:00:00+00:00,DISH,69.845,70.49,69.6,70.17,472388,69.845,70.49,69.6,70.17,472388,0.0,1.0
2015-04-23 00:00:00+00:00,DISH,69.605,70.26,69.4,69.75,1239794,69.605,70.26,69.4,69.75,1239794,0.0,1.0
2015-04-24 00:00:00+00:00,DISH,69.91,70.74,69.34,69.96,1549111,69.91,70.74,69.34,69.96,1549111,0.0,1.0
2015-04-27 00:00:00+00:00,DISH,69.68,70.47,69.21,70.22,2106277,69.68,70.47,69.21,70.22,2106277,0.0,1.0
2015-04-28 00:00:00+00:00,DISH,68.43,69.25,67.58,68.9,2293687,68.43,69.25,67.58,68.9,2293687,0.0,1.0
2015-04-29 00:00:00+00:00,DISH,68.54,68.8,68.08,68.09,1004837,68.54,68.8,68.08,68.09,1004837,0.0,1.0
2015-04-30 00:00:00+00:00,DISH,67.66,68.67,67.3825,68.0,1550303,67.66,68.67,67.3825,68.0,1550303,0.0,1.0
2015-05-01 00:00:00+00:00,DISH,68.52,68.6,67.45,67.62,1290009,68.52,68.6,67.45,67.62,1290009,0.0,1.0
