date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-04-02 00:00:00+00:00,DLTR,81.12,81.55,80.77,81.33,1796666,81.12,81.55,80.77,81.33,1796666,0.0,1.0
2015-04-06 00:00:00+00:00,DLTR,80.98,81.7825,80.16,80.36,2243274,80.98,81.7825,80.16,80.36,2243274,0.0,1.0
2015-04-07 00:00:00+00:00,DLTR,80.58,81.82,80.57,81.07,2076822,80.58,81.82,80.57,81.07,2076822,0.0,1.0
2015-04-08 00:00:00+00:00,DLTR,83.53,83.53,80.51,81.32,2398390,83.53,83.53,80.51,81.32,2398390,0.0,1.0
2015-04-09 00:00:00+00:00,DLTR,82.75,84.0,82.45,83.9,2589975,82.75,84.0,82.45,83.9,2589975,0.0,1.0
2015-04-10 00:00:00+00:00,DLTR,82.87,83.19,82.5,82.71,1276160,82.87,83.19,82.5,82.71,1276160,0.0,1.0
2015-04-13 00:00:00+00:00,DLTR,81.82,83.25,81.67,82.84,1279017,81.82,83.25,81.67,82.84,1279017,0.0,1.0
2015-04-14 00:00:00+00:00,DLTR,81.05,82.1599,80.99,81.62,1577907,81.05,82.1599,80.99,81.62,1577907,0.0,1.0
2015-04-15 00:00:00+00:00,DLTR,81.21,81.76,81.08,81.2,2254014,81.21,81.76,81.08,81.2,2254014,0.0,1.0
2015-04-16 00:00:00+00:00,DLTR,81.03,81.48,80.75,81.2,2419884,81.03,81.48,80.75,81.2,2419884,0.0,1.0
2015-04-17 00:00:00+00:00,DLTR,79.14,81.0,78.7,80.48,2281492,79.14,81.0,78.7,80.48,2281492,0.0,1.0
2015-04-20 00:00:00+00:00,DLTR,79.71,79.79,78.75,79.79,1817228,79.71,79.79,78.75,79.79,1817228,0.0,1.0
2015-04-21 00:00:00+00:00,DLTR,80.78,80.97,80.09,80.47,1506991,80.78,80.97,80.09,80.47,1506991,0.0,1.0
2015-04-22 00:00:00+00:00,DLTR,80.565,80.95,80.106,80.67,2275197,80.565,80.95,80.106,80.67,2275197,0.0,1.0
2015-04-23 00:00:00+00:00,DLTR,81.01,81.26,80.23,80.23,1155977,81.01,81.26,80.23,80.23,1155977,0.0,1.0
2015-04-24 00:00:00+00:00,DLTR,81.14,81.38,80.4501,81.14,1394535,81.14,81.38,80.4501,81.14,1394535,0.0,1.0
2015-04-27 00:00:00+00:00,DLTR,80.42,81.89,79.99,81.89,1859903,80.42,81.89,79.99,81.89,1859903,0.0,1.0
2015-04-28 00:00:00+00:00,DLTR,79.97,80.46,79.55,80.21,1244895,79.97,80.46,79.55,80.21,1244895,0.0,1.0
2015-04-29 00:00:00+00:00,DLTR,77.47,80.15,77.41,79.79,3176848,77.47,80.15,77.41,79.79,3176848,0.0,1.0
2015-04-30 00:00:00+00:00,DLTR,76.41,77.795,76.141,77.32,3134241,76.41,77.795,76.141,77.32,3134241,0.0,1.0
2015-05-01 00:00:00+00:00,DLTR,77.73,77.8825,76.14,76.37,2097672,77.73,77.8825,76.14,76.37,2097672,0.0,1.0
2015-05-04 00:00:00+00:00,DLTR,77.31,77.81,76.83,77.73,2038082,77.31,77.81,76.83,77.73,2038082,0.0,1.0
2015-05-05 00:00:00+00:00,DLTR,76.34,77.48,76.18,76.92,2097955,76.34,77.48,76.18,76.92,2097955,0.0,1.0
2015-05-06 00:00:00+00:00,DLTR,77.15,77.32,76.1,76.38,1811895,77.15,77.32,76.1,76.38,1811895,0.0,1.0
2015-05-07 00:00:00+00:00,DLTR,78.005,78.35,76.88,77.3,1804446,78.005,78.35,76.88,77.3,1804446,0.0,1.0
2015-05-08 00:00:00+00:00,DLTR,79.18,79.75,78.42,78.61,1771758,79.18,79.75,78.42,78.61,1771758,0.0,1.0
2015-05-11 00:00:00+00:00,DLTR,78.98,79.37,78.64,79.05,1879449,78.98,79.37,78.64,79.05,1879449,0.0,1.0
2015-05-12 00:00:00+00:00,DLTR,79.21,79.68,78.44,78.61,1640664,79.21,79.68,78.44,78.61,1640664,0.0,1.0
2015-05-13 00:00:00+00:00,DLTR,77.85,79.47,77.67,79.18,1917695,77.85,79.47,77.67,79.18,1917695,0.0,1.0
2015-05-14 00:00:00+00:00,DLTR,76.97,78.4,76.82,78.15,2213277,76.97,78.4,76.82,78.15,2213277,0.0,1.0
2015-05-15 00:00:00+00:00,DLTR,78.37,78.4,76.82,77.14,2279883,78.37,78.4,76.82,77.14,2279883,0.0,1.0
2015-05-18 00:00:00+00:00,DLTR,78.42,78.52,77.66,78.43,1959257,78.42,78.52,77.66,78.43,1959257,0.0,1.0
2015-05-19 00:00:00+00:00,DLTR,77.55,78.65,77.43,78.39,2138493,77.55,78.65,77.43,78.39,2138493,0.0,1.0
2015-05-20 00:00:00+00:00,DLTR,76.26,77.7,76.03,77.66,3496880,76.26,77.7,76.03,77.66,3496880,0.0,1.0
2015-05-21 00:00:00+00:00,DLTR,78.68,80.22,74.5123,75.05,8598454,78.68,80.22,74.5123,75.05,8598454,0.0,1.0
2015-05-22 00:00:00+00:00,DLTR,77.18,78.49,76.97,78.25,3717685,77.18,78.49,76.97,78.25,3717685,0.0,1.0
2015-05-26 00:00:00+00:00,DLTR,75.5,77.52,75.35,77.14,2928615,75.5,77.52,75.35,77.14,2928615,0.0,1.0
