date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,DVA,76.39,76.53,75.78,76.15,1156828,76.39,76.53,75.78,76.15,1156828,0.0,1.0
2015-02-13 00:00:00+00:00,DVA,73.1,75.64,71.89,75.0,6205636,73.1,75.64,71.89,75.0,6205636,0.0,1.0
2015-02-17 00:00:00+00:00,DVA,72.78,73.4,72.19,72.98,2259782,72.78,73.4,72.19,72.98,2259782,0.0,1.0
2015-02-18 00:00:00+00:00,DVA,73.28,73.69,72.61,72.61,1603791,73.28,73.69,72.61,72.61,1603791,0.0,1.0
2015-02-19 00:00:00+00:00,DVA,73.24,73.31,72.52,72.59,1567217,73.24,73.31,72.52,72.59,1567217,0.0,1.0
2015-02-20 00:00:00+00:00,DVA,73.76,73.94,72.88,73.02,2844425,73.76,73.94,72.88,73.02,2844425,0.0,1.0
2015-02-23 00:00:00+00:00,DVA,73.86,74.41,73.52,73.65,1890902,73.86,74.41,73.52,73.65,1890902,0.0,1.0
2015-02-24 00:00:00+00:00,DVA,72.93,74.0,72.55,73.75,1579951,72.93,74.0,72.55,73.75,1579951,0.0,1.0
2015-02-25 00:00:00+00:00,DVA,73.93,74.31,72.92,73.11,1148733,73.93,74.31,72.92,73.11,1148733,0.0,1.0
2015-02-26 00:00:00+00:00,DVA,74.3,74.43,73.78,74.04,881654,74.3,74.43,73.78,74.04,881654,0.0,1.0
2015-02-27 00:00:00+00:00,DVA,74.6,74.64,73.9,74.11,1312278,74.6,74.64,73.9,74.11,1312278,0.0,1.0
2015-03-02 00:00:00+00:00,DVA,75.56,75.64,74.44,74.56,1372827,75.56,75.64,74.44,74.56,1372827,0.0,1.0
2015-03-03 00:00:00+00:00,DVA,75.89,75.97,74.95,75.39,2088603,75.89,75.97,74.95,75.39,2088603,0.0,1.0
2015-03-04 00:00:00+00:00,DVA,76.75,77.26,75.22,75.71,1978139,76.75,77.26,75.22,75.71,1978139,0.0,1.0
2015-03-05 00:00:00+00:00,DVA,76.93,77.005,76.02,76.53,1549164,76.93,77.005,76.02,76.53,1549164,0.0,1.0
2015-03-06 00:00:00+00:00,DVA,77.63,77.75,76.39,76.69,2518783,77.63,77.75,76.39,76.69,2518783,0.0,1.0
2015-03-09 00:00:00+00:00,DVA,78.0,78.3,77.36,77.58,2078195,78.0,78.3,77.36,77.58,2078195,0.0,1.0
2015-03-10 00:00:00+00:00,DVA,78.1,78.36,76.94,77.14,2141263,78.1,78.36,76.94,77.14,2141263,0.0,1.0
2015-03-11 00:00:00+00:00,DVA,79.41,79.54,77.9,78.39,1921217,79.41,79.54,77.9,78.39,1921217,0.0,1.0
2015-03-12 00:00:00+00:00,DVA,79.7,79.75,79.18,79.7,1083779,79.7,79.75,79.18,79.7,1083779,0.0,1.0
2015-03-13 00:00:00+00:00,DVA,80.81,80.95,79.73,79.8,1556631,80.81,80.95,79.73,79.8,1556631,0.0,1.0
2015-03-16 00:00:00+00:00,DVA,81.41,81.81,80.871,81.08,992583,81.41,81.81,80.871,81.08,992583,0.0,1.0
2015-03-17 00:00:00+00:00,DVA,81.11,81.23,80.69,81.0,889202,81.11,81.23,80.69,81.0,889202,0.0,1.0
2015-03-18 00:00:00+00:00,DVA,81.64,81.66,80.55,81.18,1762199,81.64,81.66,80.55,81.18,1762199,0.0,1.0
2015-03-19 00:00:00+00:00,DVA,81.44,81.79,81.27,81.42,707813,81.44,81.79,81.27,81.42,707813,0.0,1.0
2015-03-20 00:00:00+00:00,DVA,81.86,82.17,81.541,81.92,1327596,81.86,82.17,81.541,81.92,1327596,0.0,1.0
2015-03-23 00:00:00+00:00,DVA,82.84,83.04,81.618,81.9,1347022,82.84,83.04,81.618,81.9,1347022,0.0,1.0
2015-03-24 00:00:00+00:00,DVA,82.19,82.97,81.93,82.59,1045996,82.19,82.97,81.93,82.59,1045996,0.0,1.0
2015-03-25 00:00:00+00:00,DVA,81.05,82.48,80.95,82.29,1219670,81.05,82.48,80.95,82.29,1219670,0.0,1.0
2015-03-26 00:00:00+00:00,DVA,81.07,81.55,80.38,80.87,864260,81.07,81.55,80.38,80.87,864260,0.0,1.0
2015-03-27 00:00:00+00:00,DVA,81.83,81.87,80.89,81.0,913674,81.83,81.87,80.89,81.0,913674,0.0,1.0
2015-03-30 00:00:00+00:00,DVA,82.17,82.5,81.7,82.31,979874,82.17,82.5,81.7,82.31,979874,0.0,1.0
2015-03-31 00:00:00+00:00,DVA,81.28,82.0,81.23,81.76,814081,81.28,82.0,81.23,81.76,814081,0.0,1.0
2015-04-01 00:00:00+00:00,DVA,80.05,81.44,79.83,81.25,2375547,80.05,81.44,79.83,81.25,2375547,0.0,1.0
2015-04-02 00:00:00+00:00,DVA,80.59,80.78,80.1,80.31,1048135,80.59,80.78,80.1,80.31,1048135,0.0,1.0
2015-04-06 00:00:00+00:00,DVA,81.47,81.84,80.15,80.57,969403,81.47,81.84,80.15,80.57,969403,0.0,1.0
2015-04-07 00:00:00+00:00,DVA,81.86,82.48,81.75,81.75,1000633,81.86,82.48,81.75,81.75,1000633,0.0,1.0
2015-04-08 00:00:00+00:00,DVA,81.74,82.63,81.63,82.14,715728,81.74,82.63,81.63,82.14,715728,0.0,1.0
2015-04-09 00:00:00+00:00,DVA,81.52,81.94,80.95,81.61,1168392,81.52,81.94,80.95,81.61,1168392,0.0,1.0
2015-04-10 00:00:00+00:00,DVA,81.9,82.32,81.48,81.48,720279,81.9,82.32,81.48,81.48,720279,0.0,1.0
2015-04-13 00:00:00+00:00,DVA,81.76,82.39,81.66,81.9,650075,81.76,82.39,81.66,81.9,650075,0.0,1.0
2015-04-14 00:00:00+00:00,DVA,82.01,82.3,81.59,82.0,932173,82.01,82.3,81.59,82.0,932173,0.0,1.0
2015-04-15 00:00:00+00:00,DVA,81.61,82.49,81.54,82.07,740265,81.61,82.49,81.54,82.07,740265,0.0,1.0
2015-04-16 00:00:00+00:00,DVA,82.13,82.25,81.66,81.72,596884,82.13,82.25,81.66,81.72,596884,0.0,1.0
2015-04-17 00:00:00+00:00,DVA,81.26,81.89,80.77,81.5,624676,81.26,81.89,80.77,81.5,624676,0.0,1.0
2015-04-20 00:00:00+00:00,DVA,81.84,82.08,81.51,81.71,691669,81.84,82.08,81.51,81.71,691669,0.0,1.0
2015-04-21 00:00:00+00:00,DVA,83.12,83.3,81.955,82.24,952632,83.12,83.3,81.955,82.24,952632,0.0,1.0
2015-04-22 00:00:00+00:00,DVA,83.22,83.58,82.63,83.14,583073,83.22,83.58,82.63,83.14,583073,0.0,1.0
