date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,ED,65.61,66.16,65.36,66.01,3100053,54.622265511,55.080156778,54.4141331168,54.9552773415,3100053,0.0,1.0
2015-02-13 00:00:00+00:00,ED,63.92,65.04,63.35,64.95,3403300,53.7564347514,54.6983497533,53.2770672951,54.622660155,3403300,0.65,1.0
2015-02-17 00:00:00+00:00,ED,63.82,64.76,63.2,63.72,3654769,53.6723351977,54.4628710029,53.1509179645,53.588235644,3654769,0.0,1.0
2015-02-18 00:00:00+00:00,ED,65.41,65.56,63.81,64.15,2326758,55.0095181022,55.1356674328,53.6639252423,53.949863725,2326758,0.0,1.0
2015-02-19 00:00:00+00:00,ED,64.8,65.6,64.37,65.45,2532665,54.4965108244,55.1693072543,54.1348827433,55.0431579237,2532665,0.0,1.0
2015-02-20 00:00:00+00:00,ED,63.75,64.79,62.3744,64.16,5134739,53.6134655101,54.488100869,52.4565920488,53.9582736804,5134739,0.0,1.0
2015-02-23 00:00:00+00:00,ED,64.27,64.29,63.49,64.06,2700839,54.0507831895,54.0676031003,53.3948066704,53.8741741267,2700839,0.0,1.0
2015-02-24 00:00:00+00:00,ED,65.26,66.0,64.31,64.36,3250874,54.8833687716,55.5057054693,54.084423011,54.1264727879,3250874,0.0,1.0
2015-02-25 00:00:00+00:00,ED,63.79,65.37,63.7,65.36,1979264,53.6471053316,54.9758782807,53.5714157332,54.9674683253,1979264,0.0,1.0
2015-02-26 00:00:00+00:00,ED,63.06,64.1,63.0,63.81,1832962,53.0331785893,53.9078139482,52.982718857,53.6639252423,1832962,0.0,1.0
2015-02-27 00:00:00+00:00,ED,63.14,63.43,62.79,63.09,1634884,53.1004582323,53.3443469381,52.8061097942,53.0584084554,1634884,0.0,1.0
2015-03-02 00:00:00+00:00,ED,61.82,63.07,61.51,63.06,2561749,51.9903441229,53.0415885446,51.7296355063,53.0331785893,2561749,0.0,1.0
2015-03-03 00:00:00+00:00,ED,62.17,62.32,61.32,61.83,1754675,52.284692561,52.4108418916,51.5698463542,51.9987540783,1754675,0.0,1.0
2015-03-04 00:00:00+00:00,ED,61.87,62.12,61.69,62.12,1261126,52.0323938997,52.2426427841,51.881014703,52.2426427841,1261126,0.0,1.0
2015-03-05 00:00:00+00:00,ED,62.32,62.49,61.81,62.09,1185228,52.4108418916,52.5538111329,51.9819341675,52.217412918,1185228,0.0,1.0
2015-03-06 00:00:00+00:00,ED,59.98,61.39,59.67,61.39,3635751,50.442912334,51.6287160418,50.1822037174,51.6287160418,3635751,0.0,1.0
2015-03-09 00:00:00+00:00,ED,60.42,60.63,60.0,60.0,1578505,50.8129503705,50.9895594334,50.4597322448,50.4597322448,1578505,0.0,1.0
2015-03-10 00:00:00+00:00,ED,60.08,61.06,60.07,60.35,2520394,50.5270118878,51.3511875144,50.5186019324,50.7540806829,2520394,0.0,1.0
2015-03-11 00:00:00+00:00,ED,59.72,60.31,59.51,60.24,2007652,50.2242534943,50.7204408614,50.0476444315,50.6615711738,2007652,0.0,1.0
2015-03-12 00:00:00+00:00,ED,61.4,61.66,60.0,60.0,2768417,51.6371259972,51.8557848369,50.4597322448,50.4597322448,2768417,0.0,1.0
2015-03-13 00:00:00+00:00,ED,60.84,61.38,60.27,61.38,2289270,51.1661684962,51.6203060864,50.6868010399,51.6203060864,2289270,0.0,1.0
2015-03-16 00:00:00+00:00,ED,61.72,62.19,61.27,61.27,2598355,51.9062445691,52.3015124717,51.5277965773,51.5277965773,2598355,0.0,1.0
2015-03-17 00:00:00+00:00,ED,61.17,61.95,61.038,61.79,1686449,51.4436970236,52.0996735427,51.3326856126,51.9651142568,1686449,0.0,1.0
2015-03-18 00:00:00+00:00,ED,62.09,62.67,60.65,61.18,4258799,52.217412918,52.7051903297,51.0063793441,51.4521069789,4258799,0.0,1.0
2015-03-19 00:00:00+00:00,ED,60.84,62.0,60.71,61.8,3766799,51.1661684962,52.1417233196,51.0568390763,51.9735242121,3766799,0.0,1.0
2015-03-20 00:00:00+00:00,ED,61.47,61.78,60.83,61.21,4196363,51.6959956848,51.9567043014,51.1577585408,51.4773368451,4196363,0.0,1.0
2015-03-23 00:00:00+00:00,ED,61.53,62.05,61.34,61.47,1538282,51.746455417,52.1837730965,51.5866662649,51.6959956848,1538282,0.0,1.0
2015-03-24 00:00:00+00:00,ED,60.88,61.9,60.74,61.39,1730179,51.1998083177,52.0576237659,51.0820689425,51.6287160418,1730179,0.0,1.0
2015-03-25 00:00:00+00:00,ED,60.58,61.4999,60.56,61.02,2194620,50.9475096565,51.7211414514,50.9306897457,51.3175476929,2194620,0.0,1.0
2015-03-26 00:00:00+00:00,ED,58.8,60.93,58.65,60.6,5881914,49.4505375999,51.2418580946,49.3243882693,50.9643295672,5881914,0.0,1.0
2015-03-27 00:00:00+00:00,ED,59.8,60.59,59.4,59.44,4756655,50.2915331373,50.9559196119,49.9551349223,49.9887747438,4756655,0.0,1.0
2015-03-30 00:00:00+00:00,ED,60.79,60.87,59.77,59.85,2895477,51.1241187193,51.1913983623,50.2663032712,50.3335829142,2895477,0.0,1.0
2015-03-31 00:00:00+00:00,ED,61.0,61.55,60.58,60.79,2434999,51.3007277822,51.7632753278,50.9475096565,51.1241187193,2434999,0.0,1.0
2015-04-01 00:00:00+00:00,ED,61.15,61.42,60.31,60.97,2220698,51.4268771128,51.6539459079,50.7204408614,51.2754979161,2220698,0.0,1.0
2015-04-02 00:00:00+00:00,ED,60.95,61.34,60.82,61.07,1985742,51.2586780053,51.5866662649,51.1493485855,51.3595974698,1985742,0.0,1.0
2015-04-06 00:00:00+00:00,ED,61.55,61.96,61.04,61.04,1602069,51.7632753278,52.1080834981,51.3343676037,51.3343676037,1602069,0.0,1.0
2015-04-07 00:00:00+00:00,ED,60.59,61.699,60.525,61.5,1321238,50.9559196119,51.8885836628,50.9012549019,51.7212255509,1321238,0.0,1.0
2015-04-08 00:00:00+00:00,ED,60.6,60.8,60.08,60.65,1567189,50.9643295672,51.1325286747,50.5270118878,51.0063793441,1567189,0.0,1.0
2015-04-09 00:00:00+00:00,ED,60.26,60.54,59.91,60.51,1715025,50.6783910845,50.913869835,50.3840426464,50.8886399689,1715025,0.0,1.0
2015-04-10 00:00:00+00:00,ED,60.86,61.19,60.33,60.51,389817,51.182988407,51.4605169343,50.7372607721,50.8886399689,389817,0.0,1.0
2015-04-13 00:00:00+00:00,ED,60.46,61.1,60.41,60.91,374003,50.846590192,51.3848273359,50.8045404151,51.2250381838,374003,0.0,1.0
2015-04-14 00:00:00+00:00,ED,60.82,61.0702,60.5,60.61,942730,51.1493485855,51.3597656689,50.8802300135,50.9727395226,942730,0.0,1.0
2015-04-15 00:00:00+00:00,ED,60.76,61.42,60.69,60.81,1143669,51.0988888532,51.6539459079,51.0400191656,51.1409386301,1143669,0.0,1.0
2015-04-16 00:00:00+00:00,ED,60.91,61.03,60.15,60.69,1756605,51.2250381838,51.3259576483,50.5858815754,51.0400191656,1756605,0.0,1.0
2015-04-17 00:00:00+00:00,ED,60.94,61.48,60.62,60.73,2314553,51.25026805,51.7044056402,50.981149478,51.0736589871,2314553,0.0,1.0
2015-04-20 00:00:00+00:00,ED,61.8,62.27,61.13,61.15,1590986,51.9735242121,52.3687921147,51.4100572021,51.4268771128,1590986,0.0,1.0
