date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,KMX,66.58,66.67,65.506,66.04,1066382,66.58,66.67,65.506,66.04,1066382,0.0,1.0
2015-02-13 00:00:00+00:00,KMX,67.68,67.73,66.51,66.51,1284003,67.68,67.73,66.51,66.51,1284003,0.0,1.0
2015-02-17 00:00:00+00:00,KMX,67.48,68.08,67.01,67.66,1013351,67.48,68.08,67.01,67.66,1013351,0.0,1.0
2015-02-18 00:00:00+00:00,KMX,67.51,67.685,66.89,67.17,1041225,67.51,67.685,66.89,67.17,1041225,0.0,1.0
2015-02-19 00:00:00+00:00,KMX,68.3,68.41,67.34,67.55,1081883,68.3,68.41,67.34,67.55,1081883,0.0,1.0
2015-02-20 00:00:00+00:00,KMX,68.13,68.325,66.98,68.22,1143772,68.13,68.325,66.98,68.22,1143772,0.0,1.0
2015-02-23 00:00:00+00:00,KMX,67.61,68.33,67.26,68.2,584941,67.61,68.33,67.26,68.2,584941,0.0,1.0
2015-02-24 00:00:00+00:00,KMX,67.28,67.67,65.87,66.6,876109,67.28,67.67,65.87,66.6,876109,0.0,1.0
2015-02-25 00:00:00+00:00,KMX,68.1,68.15,67.4,67.41,686525,68.1,68.15,67.4,67.41,686525,0.0,1.0
2015-02-26 00:00:00+00:00,KMX,67.73,68.3,67.57,68.12,870420,67.73,68.3,67.57,68.12,870420,0.0,1.0
2015-02-27 00:00:00+00:00,KMX,67.11,67.98,66.99,67.75,878880,67.11,67.98,66.99,67.75,878880,0.0,1.0
2015-03-02 00:00:00+00:00,KMX,67.77,68.23,67.15,67.32,1394803,67.77,68.23,67.15,67.32,1394803,0.0,1.0
2015-03-03 00:00:00+00:00,KMX,67.39,67.69,66.95,67.69,896128,67.39,67.69,66.95,67.69,896128,0.0,1.0
2015-03-04 00:00:00+00:00,KMX,64.69,66.0,64.54,65.86,1739882,64.69,66.0,64.54,65.86,1739882,0.0,1.0
2015-03-05 00:00:00+00:00,KMX,64.62,65.02,64.53,64.69,1296591,64.62,65.02,64.53,64.69,1296591,0.0,1.0
2015-03-06 00:00:00+00:00,KMX,63.0,64.63,62.89,64.12,2098793,63.0,64.63,62.89,64.12,2098793,0.0,1.0
2015-03-09 00:00:00+00:00,KMX,63.2,63.45,62.46,62.84,1646239,63.2,63.45,62.46,62.84,1646239,0.0,1.0
2015-03-10 00:00:00+00:00,KMX,62.15,62.995,62.15,62.72,1753801,62.15,62.995,62.15,62.72,1753801,0.0,1.0
2015-03-11 00:00:00+00:00,KMX,62.0,62.45,61.98,62.23,1633685,62.0,62.45,61.98,62.23,1633685,0.0,1.0
2015-03-12 00:00:00+00:00,KMX,62.45,62.95,62.15,62.3,2225547,62.45,62.95,62.15,62.3,2225547,0.0,1.0
2015-03-13 00:00:00+00:00,KMX,63.32,63.42,62.31,62.67,1460891,63.32,63.42,62.31,62.67,1460891,0.0,1.0
