date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,ADSK,59.07,59.1,58.4301,58.69,855517,59.07,59.1,58.4301,58.69,855517,0.0,1.0
2015-02-13 00:00:00+00:00,ADSK,60.67,60.76,59.095,59.24,2028496,60.67,60.76,59.095,59.24,2028496,0.0,1.0
2015-02-17 00:00:00+00:00,ADSK,61.13,61.14,60.3,60.58,1464177,61.13,61.14,60.3,60.58,1464177,0.0,1.0
2015-02-18 00:00:00+00:00,ADSK,61.11,61.5,60.5,60.8,2517144,61.11,61.5,60.5,60.8,2517144,0.0,1.0
2015-02-19 00:00:00+00:00,ADSK,61.46,61.9,61.08,61.15,2167425,61.46,61.9,61.08,61.15,2167425,0.0,1.0
2015-02-20 00:00:00+00:00,ADSK,62.37,62.41,60.96,61.16,1797997,62.37,62.41,60.96,61.16,1797997,0.0,1.0
2015-02-23 00:00:00+00:00,ADSK,61.95,62.42,61.38,62.42,1858232,61.95,62.42,61.38,62.42,1858232,0.0,1.0
2015-02-24 00:00:00+00:00,ADSK,62.07,62.25,61.51,61.89,1479590,62.07,62.25,61.51,61.89,1479590,0.0,1.0
2015-02-25 00:00:00+00:00,ADSK,62.01,62.57,61.82,62.15,1788106,62.01,62.57,61.82,62.15,1788106,0.0,1.0
2015-02-26 00:00:00+00:00,ADSK,61.01,62.95,60.691,62.09,3911009,61.01,62.95,60.691,62.09,3911009,0.0,1.0
2015-02-27 00:00:00+00:00,ADSK,64.24,65.0,62.59,63.05,5326364,64.24,65.0,62.59,63.05,5326364,0.0,1.0
2015-03-02 00:00:00+00:00,ADSK,64.0,64.72,63.65,64.05,2927592,64.0,64.72,63.65,64.05,2927592,0.0,1.0
2015-03-03 00:00:00+00:00,ADSK,62.7,63.96,62.67,63.47,3196901,62.7,63.96,62.67,63.47,3196901,0.0,1.0
2015-03-04 00:00:00+00:00,ADSK,62.52,62.69,61.13,62.48,2588828,62.52,62.69,61.13,62.48,2588828,0.0,1.0
2015-03-05 00:00:00+00:00,ADSK,62.95,63.15,61.99,62.5,2201368,62.95,63.15,61.99,62.5,2201368,0.0,1.0
