date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,AKAM,67.59,67.7,63.8,64.25,4207819,67.59,67.7,63.8,64.25,4207819,0.0,1.0
2015-02-13 00:00:00+00:00,AKAM,68.77,69.1,67.34,67.61,2862582,68.77,69.1,67.34,67.61,2862582,0.0,1.0
2015-02-17 00:00:00+00:00,AKAM,70.36,70.86,68.0,68.89,3549750,70.36,70.86,68.0,68.89,3549750,0.0,1.0
2015-02-18 00:00:00+00:00,AKAM,70.29,70.58,69.67,70.1,1631028,70.29,70.58,69.67,70.1,1631028,0.0,1.0
2015-02-19 00:00:00+00:00,AKAM,71.56,71.72,70.0,70.08,1903677,71.56,71.72,70.0,70.08,1903677,0.0,1.0
2015-02-20 00:00:00+00:00,AKAM,71.62,71.83,70.98,71.6,1401542,71.62,71.83,70.98,71.6,1401542,0.0,1.0
2015-02-23 00:00:00+00:00,AKAM,70.24,71.8,70.03,71.7,1705098,70.24,71.8,70.03,71.7,1705098,0.0,1.0
2015-02-24 00:00:00+00:00,AKAM,70.12,70.83,69.77,70.0,1086785,70.12,70.83,69.77,70.0,1086785,0.0,1.0
2015-02-25 00:00:00+00:00,AKAM,69.45,70.52,69.2,70.01,1711200,69.45,70.52,69.2,70.01,1711200,0.0,1.0
2015-02-26 00:00:00+00:00,AKAM,69.555,70.27,69.044,69.54,991724,69.555,70.27,69.044,69.54,991724,0.0,1.0
2015-02-27 00:00:00+00:00,AKAM,69.51,69.75,68.8,69.41,1434958,69.51,69.75,68.8,69.41,1434958,0.0,1.0
2015-03-02 00:00:00+00:00,AKAM,71.13,71.15,69.56,69.8,2072675,71.13,71.15,69.56,69.8,2072675,0.0,1.0
2015-03-03 00:00:00+00:00,AKAM,69.86,70.63,69.69,69.91,1209903,69.86,70.63,69.69,69.91,1209903,0.0,1.0
2015-03-04 00:00:00+00:00,AKAM,71.05,71.05,69.28,69.42,2362191,71.05,71.05,69.28,69.42,2362191,0.0,1.0
2015-03-05 00:00:00+00:00,AKAM,71.09,71.55,70.6,71.55,1694277,71.09,71.55,70.6,71.55,1694277,0.0,1.0
2015-03-06 00:00:00+00:00,AKAM,69.96,71.19,69.81,70.63,1544094,69.96,71.19,69.81,70.63,1544094,0.0,1.0
2015-03-09 00:00:00+00:00,AKAM,69.6,70.16,69.4,69.97,1581308,69.6,70.16,69.4,69.97,1581308,0.0,1.0
2015-03-10 00:00:00+00:00,AKAM,69.2,69.71,68.51,69.12,1830927,69.2,69.71,68.51,69.12,1830927,0.0,1.0
2015-03-11 00:00:00+00:00,AKAM,70.36,70.66,69.39,69.49,1661869,70.36,70.66,69.39,69.49,1661869,0.0,1.0
2015-03-12 00:00:00+00:00,AKAM,71.02,71.11,70.11,70.3,1444194,71.02,71.11,70.11,70.3,1444194,0.0,1.0
2015-03-13 00:00:00+00:00,AKAM,70.81,71.3,70.22,71.04,1364288,70.81,71.3,70.22,71.04,1364288,0.0,1.0
2015-03-16 00:00:00+00:00,AKAM,72.08,72.15,71.0,71.15,1448782,72.08,72.15,71.0,71.15,1448782,0.0,1.0
2015-03-17 00:00:00+00:00,AKAM,72.06,72.41,71.08,71.57,1162590,72.06,72.41,71.08,71.57,1162590,0.0,1.0
2015-03-18 00:00:00+00:00,AKAM,72.88,73.2,71.38,71.7,1281098,72.88,73.2,71.38,71.7,1281098,0.0,1.0
2015-03-19 00:00:00+00:00,AKAM,72.75,73.16,72.47,72.8,1138809,72.75,73.16,72.47,72.8,1138809,0.0,1.0
2015-03-20 00:00:00+00:00,AKAM,72.87,73.53,72.79,73.31,1693648,72.87,73.53,72.79,73.31,1693648,0.0,1.0
2015-03-23 00:00:00+00:00,AKAM,73.14,73.53,72.53,72.95,1216091,73.14,73.53,72.53,72.95,1216091,0.0,1.0
2015-03-24 00:00:00+00:00,AKAM,72.61,73.42,72.581,73.2,898696,72.61,73.42,72.581,73.2,898696,0.0,1.0
2015-03-25 00:00:00+00:00,AKAM,70.645,72.528,70.64,72.48,1362137,70.645,72.528,70.64,72.48,1362137,0.0,1.0
2015-03-26 00:00:00+00:00,AKAM,71.035,71.17,69.35,69.97,1593580,71.035,71.17,69.35,69.97,1593580,0.0,1.0
2015-03-27 00:00:00+00:00,AKAM,71.29,71.51,70.51,70.99,820693,71.29,71.51,70.51,70.99,820693,0.0,1.0
2015-03-30 00:00:00+00:00,AKAM,71.9,72.24,71.43,71.66,972550,71.9,72.24,71.43,71.66,972550,0.0,1.0
2015-03-31 00:00:00+00:00,AKAM,71.045,71.72,71.03,71.5,1329644,71.045,71.72,71.03,71.5,1329644,0.0,1.0
2015-04-01 00:00:00+00:00,AKAM,70.31,70.98,69.88,70.98,1210558,70.31,70.98,69.88,70.98,1210558,0.0,1.0
2015-04-02 00:00:00+00:00,AKAM,70.84,71.0,70.235,70.33,957433,70.84,71.0,70.235,70.33,957433,0.0,1.0
2015-04-06 00:00:00+00:00,AKAM,70.92,71.48,70.5,70.52,1445114,70.92,71.48,70.5,70.52,1445114,0.0,1.0
2015-04-07 00:00:00+00:00,AKAM,71.08,71.77,71.0,71.05,924042,71.08,71.77,71.0,71.05,924042,0.0,1.0
2015-04-08 00:00:00+00:00,AKAM,71.79,71.8896,71.01,71.01,831971,71.79,71.8896,71.01,71.01,831971,0.0,1.0
2015-04-09 00:00:00+00:00,AKAM,71.26,71.78,70.86,71.68,923507,71.26,71.78,70.86,71.68,923507,0.0,1.0
2015-04-10 00:00:00+00:00,AKAM,71.45,71.5,70.96,71.19,705845,71.45,71.5,70.96,71.19,705845,0.0,1.0
2015-04-13 00:00:00+00:00,AKAM,71.34,71.9,71.31,71.45,1033994,71.34,71.9,71.31,71.45,1033994,0.0,1.0
2015-04-14 00:00:00+00:00,AKAM,71.145,71.61,70.3702,71.21,961674,71.145,71.61,70.3702,71.21,961674,0.0,1.0
2015-04-15 00:00:00+00:00,AKAM,71.34,71.64,70.79,71.16,1136962,71.34,71.64,70.79,71.16,1136962,0.0,1.0
2015-04-16 00:00:00+00:00,AKAM,72.49,72.67,71.0,71.05,1358941,72.49,72.67,71.0,71.05,1358941,0.0,1.0
2015-04-17 00:00:00+00:00,AKAM,71.9,72.19,71.44,71.75,2009686,71.9,72.19,71.44,71.75,2009686,0.0,1.0
2015-04-20 00:00:00+00:00,AKAM,73.46,73.68,72.0,72.0,1600839,73.46,73.68,72.0,72.0,1600839,0.0,1.0
2015-04-21 00:00:00+00:00,AKAM,75.3,75.414,73.98,74.07,2200271,75.3,75.414,73.98,74.07,2200271,0.0,1.0
2015-04-22 00:00:00+00:00,AKAM,76.02,76.12,75.5,75.69,1605447,76.02,76.12,75.5,75.69,1605447,0.0,1.0
2015-04-23 00:00:00+00:00,AKAM,76.27,76.72,75.7,75.7,1190136,76.27,76.72,75.7,75.7,1190136,0.0,1.0
2015-04-24 00:00:00+00:00,AKAM,75.74,76.38,75.57,76.33,1196024,75.74,76.38,75.57,76.33,1196024,0.0,1.0
2015-04-27 00:00:00+00:00,AKAM,77.04,77.28,75.85,76.08,1882359,77.04,77.28,75.85,76.08,1882359,0.0,1.0
2015-04-28 00:00:00+00:00,AKAM,76.07,77.31,75.995,77.1,2694529,76.07,77.31,75.995,77.1,2694529,0.0,1.0
2015-04-29 00:00:00+00:00,AKAM,75.13,75.46,73.0,73.51,4749333,75.13,75.46,73.0,73.51,4749333,0.0,1.0
2015-04-30 00:00:00+00:00,AKAM,73.78,74.91,73.23,74.61,2280975,73.78,74.91,73.23,74.61,2280975,0.0,1.0
2015-05-01 00:00:00+00:00,AKAM,74.66,74.7,73.75,73.95,1365315,74.66,74.7,73.75,73.95,1365315,0.0,1.0
2015-05-04 00:00:00+00:00,AKAM,75.1,75.38,74.37,74.93,1024475,75.1,75.38,74.37,74.93,1024475,0.0,1.0
2015-05-05 00:00:00+00:00,AKAM,75.36,75.56,74.27,74.62,2157620,75.36,75.56,74.27,74.62,2157620,0.0,1.0
2015-05-06 00:00:00+00:00,AKAM,75.04,75.62,74.6,75.62,1524691,75.04,75.62,74.6,75.62,1524691,0.0,1.0
2015-05-07 00:00:00+00:00,AKAM,75.24,75.57,74.55,75.17,1169860,75.24,75.57,74.55,75.17,1169860,0.0,1.0
2015-05-08 00:00:00+00:00,AKAM,76.43,76.62,75.67,75.73,1334407,76.43,76.62,75.67,75.73,1334407,0.0,1.0
2015-05-11 00:00:00+00:00,AKAM,76.1,76.85,75.65,76.19,1326365,76.1,76.85,75.65,76.19,1326365,0.0,1.0
2015-05-12 00:00:00+00:00,AKAM,75.97,76.05,74.7,75.49,1146222,75.97,76.05,74.7,75.49,1146222,0.0,1.0
2015-05-13 00:00:00+00:00,AKAM,76.12,76.68,75.84,76.26,826134,76.12,76.68,75.84,76.26,826134,0.0,1.0
2015-05-14 00:00:00+00:00,AKAM,78.36,78.44,76.31,76.68,1532249,78.36,78.44,76.31,76.68,1532249,0.0,1.0
2015-05-15 00:00:00+00:00,AKAM,77.96,78.32,77.1801,78.2,2326856,77.96,78.32,77.1801,78.2,2326856,0.0,1.0
2015-05-18 00:00:00+00:00,AKAM,77.94,78.07,77.5,77.85,1298721,77.94,78.07,77.5,77.85,1298721,0.0,1.0
2015-05-19 00:00:00+00:00,AKAM,77.3,78.0,77.16,77.34,1138656,77.3,78.0,77.16,77.34,1138656,0.0,1.0
2015-05-20 00:00:00+00:00,AKAM,76.91,77.4899,76.56,77.47,869107,76.91,77.4899,76.56,77.47,869107,0.0,1.0
2015-05-21 00:00:00+00:00,AKAM,77.64,77.87,76.64,76.91,723213,77.64,77.87,76.64,76.91,723213,0.0,1.0
2015-05-22 00:00:00+00:00,AKAM,77.66,77.87,77.355,77.41,980290,77.66,77.87,77.355,77.41,980290,0.0,1.0
2015-05-26 00:00:00+00:00,AKAM,76.925,77.6,76.52,77.59,879771,76.925,77.6,76.52,77.59,879771,0.0,1.0
2015-05-27 00:00:00+00:00,AKAM,77.74,78.09,77.01,77.05,1201468,77.74,78.09,77.01,77.05,1201468,0.0,1.0
2015-05-28 00:00:00+00:00,AKAM,77.03,77.74,76.97,77.32,753931,77.03,77.74,76.97,77.32,753931,0.0,1.0
2015-05-29 00:00:00+00:00,AKAM,76.27,76.95,76.01,76.76,1791926,76.27,76.95,76.01,76.76,1791926,0.0,1.0
2015-06-01 00:00:00+00:00,AKAM,75.23,76.5,74.71,76.38,2269523,75.23,76.5,74.71,76.38,2269523,0.0,1.0
2015-06-02 00:00:00+00:00,AKAM,75.46,75.89,74.86,75.02,1753594,75.46,75.89,74.86,75.02,1753594,0.0,1.0
2015-06-03 00:00:00+00:00,AKAM,76.02,76.41,75.355,75.58,1203327,76.02,76.41,75.355,75.58,1203327,0.0,1.0
2015-06-04 00:00:00+00:00,AKAM,75.14,75.97,74.99,75.56,1067789,75.14,75.97,74.99,75.56,1067789,0.0,1.0
2015-06-05 00:00:00+00:00,AKAM,75.24,75.37,74.57,74.87,1792395,75.24,75.37,74.57,74.87,1792395,0.0,1.0
2015-06-08 00:00:00+00:00,AKAM,74.89,75.88,74.81,75.21,1368879,74.89,75.88,74.81,75.21,1368879,0.0,1.0
2015-06-09 00:00:00+00:00,AKAM,72.9,73.87,72.19,73.22,2616766,72.9,73.87,72.19,73.22,2616766,0.0,1.0
2015-06-10 00:00:00+00:00,AKAM,74.61,74.94,73.03,73.25,1517790,74.61,74.94,73.03,73.25,1517790,0.0,1.0
2015-06-11 00:00:00+00:00,AKAM,74.05,74.99,73.88,74.65,903162,74.05,74.99,73.88,74.65,903162,0.0,1.0
2015-06-12 00:00:00+00:00,AKAM,73.44,74.39,73.37,73.83,764851,73.44,74.39,73.37,73.83,764851,0.0,1.0
2015-06-15 00:00:00+00:00,AKAM,72.5,72.972,72.18,72.66,1116503,72.5,72.972,72.18,72.66,1116503,0.0,1.0
2015-06-16 00:00:00+00:00,AKAM,72.85,73.19,72.5,72.5,711312,72.85,73.19,72.5,72.5,711312,0.0,1.0
2015-06-17 00:00:00+00:00,AKAM,72.81,73.34,72.285,72.88,919481,72.81,73.34,72.285,72.88,919481,0.0,1.0
2015-06-18 00:00:00+00:00,AKAM,73.27,73.58,72.62,72.84,1121934,73.27,73.58,72.62,72.84,1121934,0.0,1.0
2015-06-19 00:00:00+00:00,AKAM,72.29,73.33,72.28,73.24,2028547,72.29,73.33,72.28,73.24,2028547,0.0,1.0
2015-06-22 00:00:00+00:00,AKAM,73.01,73.52,72.5501,72.73,1383550,73.01,73.52,72.5501,72.73,1383550,0.0,1.0
2015-06-23 00:00:00+00:00,AKAM,72.23,73.08,72.03,72.94,1441979,72.23,73.08,72.03,72.94,1441979,0.0,1.0
2015-06-24 00:00:00+00:00,AKAM,71.325,72.48,70.9,72.22,1509702,71.325,72.48,70.9,72.22,1509702,0.0,1.0
2015-06-25 00:00:00+00:00,AKAM,71.37,71.8,71.09,71.34,1462297,71.37,71.8,71.09,71.34,1462297,0.0,1.0
2015-06-26 00:00:00+00:00,AKAM,71.13,71.45,70.65,71.3,1390479,71.13,71.45,70.65,71.3,1390479,0.0,1.0
2015-06-29 00:00:00+00:00,AKAM,69.18,70.84,69.13,70.29,1165777,69.18,70.84,69.13,70.29,1165777,0.0,1.0
2015-06-30 00:00:00+00:00,AKAM,69.82,70.29,69.55,69.83,1678578,69.82,70.29,69.55,69.83,1678578,0.0,1.0
2015-07-01 00:00:00+00:00,AKAM,70.37,70.9125,70.01,70.3,962366,70.37,70.9125,70.01,70.3,962366,0.0,1.0
2015-07-02 00:00:00+00:00,AKAM,69.91,70.59,69.22,70.38,1142515,69.91,70.59,69.22,70.38,1142515,0.0,1.0
2015-07-06 00:00:00+00:00,AKAM,69.76,69.94,69.11,69.21,1005914,69.76,69.94,69.11,69.21,1005914,0.0,1.0
2015-07-07 00:00:00+00:00,AKAM,70.11,70.19,68.72,70.08,1244781,70.11,70.19,68.72,70.08,1244781,0.0,1.0
2015-07-08 00:00:00+00:00,AKAM,68.855,69.965,68.83,69.81,1171265,68.855,69.965,68.83,69.81,1171265,0.0,1.0
2015-07-09 00:00:00+00:00,AKAM,69.3,70.3552,69.14,69.58,1561087,69.3,70.3552,69.14,69.58,1561087,0.0,1.0
2015-07-10 00:00:00+00:00,AKAM,69.98,70.3,69.57,70.3,939669,69.98,70.3,69.57,70.3,939669,0.0,1.0
2015-07-13 00:00:00+00:00,AKAM,71.67,71.795,70.1,70.44,1106867,71.67,71.795,70.1,70.44,1106867,0.0,1.0
2015-07-14 00:00:00+00:00,AKAM,72.29,72.95,71.4,71.72,1138420,72.29,72.95,71.4,71.72,1138420,0.0,1.0
2015-07-15 00:00:00+00:00,AKAM,72.06,72.89,71.79,72.25,924564,72.06,72.89,71.79,72.25,924564,0.0,1.0
2015-07-16 00:00:00+00:00,AKAM,72.63,72.89,72.21,72.23,688206,72.63,72.89,72.21,72.23,688206,0.0,1.0
2015-07-17 00:00:00+00:00,AKAM,72.72,73.0,72.28,72.7,1070443,72.72,73.0,72.28,72.7,1070443,0.0,1.0
2015-07-20 00:00:00+00:00,AKAM,73.48,73.925,72.16,72.16,1068688,73.48,73.925,72.16,72.16,1068688,0.0,1.0
2015-07-21 00:00:00+00:00,AKAM,72.55,73.74,72.5,73.4,1059265,72.55,73.74,72.5,73.4,1059265,0.0,1.0
2015-07-22 00:00:00+00:00,AKAM,72.75,73.05,72.2825,72.64,1078127,72.75,73.05,72.2825,72.64,1078127,0.0,1.0
2015-07-23 00:00:00+00:00,AKAM,73.51,74.18,72.56,72.94,1030067,73.51,74.18,72.56,72.94,1030067,0.0,1.0
2015-07-24 00:00:00+00:00,AKAM,72.52,73.93,72.14,73.9,1237851,72.52,73.93,72.14,73.9,1237851,0.0,1.0
2015-07-27 00:00:00+00:00,AKAM,71.63,72.3788,71.04,72.21,1365871,71.63,72.3788,71.04,72.21,1365871,0.0,1.0
2015-07-28 00:00:00+00:00,AKAM,73.65,73.83,71.25,72.13,2524452,73.65,73.83,71.25,72.13,2524452,0.0,1.0
2015-07-29 00:00:00+00:00,AKAM,73.21,73.55,67.13,68.05,9972363,73.21,73.55,67.13,68.05,9972363,0.0,1.0
2015-07-30 00:00:00+00:00,AKAM,74.96,75.95,72.23,72.68,4404556,74.96,75.95,72.23,72.68,4404556,0.0,1.0
2015-07-31 00:00:00+00:00,AKAM,76.71,76.98,74.4,75.04,3480156,76.71,76.98,74.4,75.04,3480156,0.0,1.0
2015-08-03 00:00:00+00:00,AKAM,75.75,76.55,74.98,76.04,1987722,75.75,76.55,74.98,76.04,1987722,0.0,1.0
2015-08-04 00:00:00+00:00,AKAM,75.61,76.29,75.25,75.82,1414387,75.61,76.29,75.25,75.82,1414387,0.0,1.0
2015-08-05 00:00:00+00:00,AKAM,76.03,76.48,75.61,76.06,1655143,76.03,76.48,75.61,76.06,1655143,0.0,1.0
2015-08-06 00:00:00+00:00,AKAM,74.42,76.0,73.94,75.98,1241561,74.42,76.0,73.94,75.98,1241561,0.0,1.0
2015-08-07 00:00:00+00:00,AKAM,74.53,74.63,73.53,74.54,968695,74.53,74.63,73.53,74.54,968695,0.0,1.0
2015-08-10 00:00:00+00:00,AKAM,75.01,75.39,74.62,74.98,1087565,75.01,75.39,74.62,74.98,1087565,0.0,1.0
2015-08-11 00:00:00+00:00,AKAM,72.96,74.69,72.43,74.69,1969194,72.96,74.69,72.43,74.69,1969194,0.0,1.0
2015-08-12 00:00:00+00:00,AKAM,73.92,74.19,71.76,72.61,1429347,73.92,74.19,71.76,72.61,1429347,0.0,1.0
2015-08-13 00:00:00+00:00,AKAM,73.84,74.5,73.47,73.82,1129548,73.84,74.5,73.47,73.82,1129548,0.0,1.0
2015-08-14 00:00:00+00:00,AKAM,73.37,73.84,72.73,73.38,1328653,73.37,73.84,72.73,73.38,1328653,0.0,1.0
2015-08-17 00:00:00+00:00,AKAM,73.57,73.6,72.32,73.01,1027195,73.57,73.6,72.32,73.01,1027195,0.0,1.0
2015-08-18 00:00:00+00:00,AKAM,73.85,74.19,73.23,73.96,1222032,73.85,74.19,73.23,73.96,1222032,0.0,1.0
2015-08-19 00:00:00+00:00,AKAM,73.06,73.9,72.29,73.78,881900,73.06,73.9,72.29,73.78,881900,0.0,1.0
2015-08-20 00:00:00+00:00,AKAM,69.78,72.57,69.77,72.3,2107072,69.78,72.57,69.77,72.3,2107072,0.0,1.0
2015-08-21 00:00:00+00:00,AKAM,68.04,70.0,67.91,69.19,2310837,68.04,70.0,67.91,69.19,2310837,0.0,1.0
2015-08-24 00:00:00+00:00,AKAM,66.52,68.22,63.14,65.01,3784669,66.52,68.22,63.14,65.01,3784669,0.0,1.0
2015-08-25 00:00:00+00:00,AKAM,65.63,68.99,65.59,68.24,3113591,65.63,68.99,65.59,68.24,3113591,0.0,1.0
2015-08-26 00:00:00+00:00,AKAM,68.17,68.3,65.33,67.07,2242353,68.17,68.3,65.33,67.07,2242353,0.0,1.0
2015-08-27 00:00:00+00:00,AKAM,70.5,70.89,68.5311,69.09,2084185,70.5,70.89,68.5311,69.09,2084185,0.0,1.0
2015-08-28 00:00:00+00:00,AKAM,71.9,71.97,70.2,70.59,2371900,71.9,71.97,70.2,70.59,2371900,0.0,1.0
2015-08-31 00:00:00+00:00,AKAM,71.31,71.81,70.87,71.66,1767877,71.31,71.81,70.87,71.66,1767877,0.0,1.0
2015-09-01 00:00:00+00:00,AKAM,70.43,71.43,69.67,69.75,2411225,70.43,71.43,69.67,69.75,2411225,0.0,1.0
2015-09-02 00:00:00+00:00,AKAM,71.27,71.67,69.665,71.35,1673412,71.27,71.67,69.665,71.35,1673412,0.0,1.0
2015-09-03 00:00:00+00:00,AKAM,73.26,74.71,71.54,71.86,2381659,73.26,74.71,71.54,71.86,2381659,0.0,1.0
2015-09-04 00:00:00+00:00,AKAM,72.58,73.1689,71.71,71.71,1607118,72.58,73.1689,71.71,71.71,1607118,0.0,1.0
2015-09-08 00:00:00+00:00,AKAM,74.28,74.35,73.06,73.75,1417619,74.28,74.35,73.06,73.75,1417619,0.0,1.0
2015-09-09 00:00:00+00:00,AKAM,73.35,75.25,73.13,74.88,1276175,73.35,75.25,73.13,74.88,1276175,0.0,1.0
2015-09-10 00:00:00+00:00,AKAM,74.55,75.03,73.19,73.28,1410940,74.55,75.03,73.19,73.28,1410940,0.0,1.0
2015-09-11 00:00:00+00:00,AKAM,74.67,75.32,73.94,74.32,1372319,74.67,75.32,73.94,74.32,1372319,0.0,1.0
2015-09-14 00:00:00+00:00,AKAM,74.58,74.76,73.85,74.45,1010789,74.58,74.76,73.85,74.45,1010789,0.0,1.0
2015-09-15 00:00:00+00:00,AKAM,75.2,75.37,74.21,74.6,1077527,75.2,75.37,74.21,74.6,1077527,0.0,1.0
2015-09-16 00:00:00+00:00,AKAM,74.82,75.02,74.12,74.17,1381120,74.82,75.02,74.12,74.17,1381120,0.0,1.0
2015-09-17 00:00:00+00:00,AKAM,74.64,75.4,74.07,74.88,1704993,74.64,75.4,74.07,74.88,1704993,0.0,1.0
2015-09-18 00:00:00+00:00,AKAM,71.95,74.27,71.79,73.75,3906019,71.95,74.27,71.79,73.75,3906019,0.0,1.0
2015-09-21 00:00:00+00:00,AKAM,72.09,72.6,71.72,72.32,1729419,72.09,72.6,71.72,72.32,1729419,0.0,1.0
2015-09-22 00:00:00+00:00,AKAM,70.61,71.55,70.1101,71.44,1794181,70.61,71.55,70.1101,71.44,1794181,0.0,1.0
2015-09-23 00:00:00+00:00,AKAM,70.54,70.79,70.06,70.29,1762370,70.54,70.79,70.06,70.29,1762370,0.0,1.0
2015-09-24 00:00:00+00:00,AKAM,69.39,70.4,69.0155,70.28,1705277,69.39,70.4,69.0155,70.28,1705277,0.0,1.0
2015-09-25 00:00:00+00:00,AKAM,70.55,71.65,69.47,69.72,2835650,70.55,71.65,69.47,69.72,2835650,0.0,1.0
2015-09-28 00:00:00+00:00,AKAM,67.96,70.91,67.75,70.07,1885405,67.96,70.91,67.75,70.07,1885405,0.0,1.0
2015-09-29 00:00:00+00:00,AKAM,67.5,68.4,67.1,68.0,1344707,67.5,68.4,67.1,68.0,1344707,0.0,1.0
2015-09-30 00:00:00+00:00,AKAM,69.06,69.16,68.35,68.68,2155024,69.06,69.16,68.35,68.68,2155024,0.0,1.0
2015-10-01 00:00:00+00:00,AKAM,68.96,69.44,68.14,69.06,1453517,68.96,69.44,68.14,69.06,1453517,0.0,1.0
2015-10-02 00:00:00+00:00,AKAM,70.23,70.24,67.4444,68.18,1216240,70.23,70.24,67.4444,68.18,1216240,0.0,1.0
2015-10-05 00:00:00+00:00,AKAM,72.12,72.48,70.41,70.82,1363557,72.12,72.48,70.41,70.82,1363557,0.0,1.0
2015-10-06 00:00:00+00:00,AKAM,72.3,72.4,71.5,72.0,1094221,72.3,72.4,71.5,72.0,1094221,0.0,1.0
2015-10-07 00:00:00+00:00,AKAM,73.55,73.73,72.3,72.4,1420466,73.55,73.73,72.3,72.4,1420466,0.0,1.0
2015-10-08 00:00:00+00:00,AKAM,73.8,73.91,72.85,73.12,958054,73.8,73.91,72.85,73.12,958054,0.0,1.0
2015-10-09 00:00:00+00:00,AKAM,73.46,74.04,73.29,73.8,1109799,73.46,74.04,73.29,73.8,1109799,0.0,1.0
2015-10-12 00:00:00+00:00,AKAM,72.82,73.588,72.57,73.57,1085650,72.82,73.588,72.57,73.57,1085650,0.0,1.0
2015-10-13 00:00:00+00:00,AKAM,71.14,72.66,71.0,72.53,1295237,71.14,72.66,71.0,72.53,1295237,0.0,1.0
2015-10-14 00:00:00+00:00,AKAM,70.28,71.866,70.11,71.01,1307426,70.28,71.866,70.11,71.01,1307426,0.0,1.0
2015-10-15 00:00:00+00:00,AKAM,71.56,71.69,70.38,70.79,1075425,71.56,71.69,70.38,70.79,1075425,0.0,1.0
2015-10-16 00:00:00+00:00,AKAM,70.95,71.67,70.55,71.67,1279149,70.95,71.67,70.55,71.67,1279149,0.0,1.0
2015-10-19 00:00:00+00:00,AKAM,70.42,70.84,70.01,70.47,1691828,70.42,70.84,70.01,70.47,1691828,0.0,1.0
2015-10-20 00:00:00+00:00,AKAM,71.92,72.23,70.28,70.51,1284849,71.92,72.23,70.28,70.51,1284849,0.0,1.0
2015-10-21 00:00:00+00:00,AKAM,71.16,72.28,71.05,72.12,787291,71.16,72.28,71.05,72.12,787291,0.0,1.0
2015-10-22 00:00:00+00:00,AKAM,72.53,73.95,71.52,71.71,1504407,72.53,73.95,71.52,71.71,1504407,0.0,1.0
2015-10-23 00:00:00+00:00,AKAM,74.08,74.49,72.84,73.51,1402121,74.08,74.49,72.84,73.51,1402121,0.0,1.0
2015-10-26 00:00:00+00:00,AKAM,75.37,75.435,73.71,73.9,1909759,75.37,75.435,73.71,73.9,1909759,0.0,1.0
2015-10-27 00:00:00+00:00,AKAM,75.55,76.39,74.83,74.99,3750983,75.55,76.39,74.83,74.99,3750983,0.0,1.0
2015-10-28 00:00:00+00:00,AKAM,62.91,63.2,60.25,61.91,21769246,62.91,63.2,60.25,61.91,21769246,0.0,1.0
2015-10-29 00:00:00+00:00,AKAM,61.11,61.75,60.43,61.7,6395010,61.11,61.75,60.43,61.7,6395010,0.0,1.0
2015-10-30 00:00:00+00:00,AKAM,60.82,62.87,60.8,61.27,4006747,60.82,62.87,60.8,61.27,4006747,0.0,1.0
2015-11-02 00:00:00+00:00,AKAM,61.78,62.1,60.69,60.73,2383634,61.78,62.1,60.69,60.73,2383634,0.0,1.0
2015-11-03 00:00:00+00:00,AKAM,63.11,63.55,61.41,61.65,2789507,63.11,63.55,61.41,61.65,2789507,0.0,1.0
2015-11-04 00:00:00+00:00,AKAM,62.22,63.39,61.98,63.32,2043595,62.22,63.39,61.98,63.32,2043595,0.0,1.0
2015-11-05 00:00:00+00:00,AKAM,61.7,62.44,61.09,62.44,1521759,61.7,62.44,61.09,62.44,1521759,0.0,1.0
2015-11-06 00:00:00+00:00,AKAM,62.38,62.79,61.36,61.64,1580577,62.38,62.79,61.36,61.64,1580577,0.0,1.0
2015-11-09 00:00:00+00:00,AKAM,61.83,62.33,61.15,62.19,1832379,61.83,62.33,61.15,62.19,1832379,0.0,1.0
2015-11-10 00:00:00+00:00,AKAM,61.65,62.36,61.53,61.75,1707981,61.65,62.36,61.53,61.75,1707981,0.0,1.0
2015-11-11 00:00:00+00:00,AKAM,61.42,62.08,61.12,61.96,1269110,61.42,62.08,61.12,61.96,1269110,0.0,1.0
