date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,ALGN,57.24,57.36,55.82,56.36,814241,57.24,57.36,55.82,56.36,814241,0.0,1.0
2015-02-13 00:00:00+00:00,ALGN,56.9,57.32,56.72,57.05,704716,56.9,57.32,56.72,57.05,704716,0.0,1.0
2015-02-17 00:00:00+00:00,ALGN,57.63,58.16,56.4,56.9,776046,57.63,58.16,56.4,56.9,776046,0.0,1.0
2015-02-18 00:00:00+00:00,ALGN,56.54,57.665,55.85,57.65,1021890,56.54,57.665,55.85,57.65,1021890,0.0,1.0
2015-02-19 00:00:00+00:00,ALGN,56.81,57.095,56.09,56.57,657628,56.81,57.095,56.09,56.57,657628,0.0,1.0
2015-02-20 00:00:00+00:00,ALGN,56.81,57.25,56.4,56.85,569113,56.81,57.25,56.4,56.85,569113,0.0,1.0
2015-02-23 00:00:00+00:00,ALGN,56.535,56.77,56.08,56.37,649967,56.535,56.77,56.08,56.37,649967,0.0,1.0
2015-02-24 00:00:00+00:00,ALGN,56.56,56.82,56.18,56.55,560995,56.56,56.82,56.18,56.55,560995,0.0,1.0
2015-02-25 00:00:00+00:00,ALGN,56.16,57.14,55.99,56.78,493761,56.16,57.14,55.99,56.78,493761,0.0,1.0
2015-02-26 00:00:00+00:00,ALGN,56.43,56.64,55.63,55.72,877168,56.43,56.64,55.63,55.72,877168,0.0,1.0
2015-02-27 00:00:00+00:00,ALGN,57.35,57.53,55.8555,56.34,592072,57.35,57.53,55.8555,56.34,592072,0.0,1.0
2015-03-02 00:00:00+00:00,ALGN,57.76,58.1495,57.16,57.96,430144,57.76,58.1495,57.16,57.96,430144,0.0,1.0
2015-03-03 00:00:00+00:00,ALGN,56.97,57.87,56.78,57.75,442532,56.97,57.87,56.78,57.75,442532,0.0,1.0
2015-03-04 00:00:00+00:00,ALGN,57.15,57.32,56.6,57.0,456673,57.15,57.32,56.6,57.0,456673,0.0,1.0
2015-03-05 00:00:00+00:00,ALGN,57.89,58.13,56.93,57.15,453254,57.89,58.13,56.93,57.15,453254,0.0,1.0
2015-03-06 00:00:00+00:00,ALGN,57.09,58.16,56.76,57.77,576324,57.09,58.16,56.76,57.77,576324,0.0,1.0
2015-03-09 00:00:00+00:00,ALGN,56.49,57.29,56.23,57.03,615491,56.49,57.29,56.23,57.03,615491,0.0,1.0
2015-03-10 00:00:00+00:00,ALGN,56.86,57.42,56.35,56.44,833705,56.86,57.42,56.35,56.44,833705,0.0,1.0
2015-03-11 00:00:00+00:00,ALGN,56.93,57.68,56.5201,56.84,625494,56.93,57.68,56.5201,56.84,625494,0.0,1.0
2015-03-12 00:00:00+00:00,ALGN,56.99,57.21,56.34,57.0,519356,56.99,57.21,56.34,57.0,519356,0.0,1.0
2015-03-13 00:00:00+00:00,ALGN,55.98,57.22,55.4,56.98,621653,55.98,57.22,55.4,56.98,621653,0.0,1.0
2015-03-16 00:00:00+00:00,ALGN,56.34,56.675,55.91,56.11,813528,56.34,56.675,55.91,56.11,813528,0.0,1.0
2015-03-17 00:00:00+00:00,ALGN,56.19,56.42,55.4,56.0,1041037,56.19,56.42,55.4,56.0,1041037,0.0,1.0
2015-03-18 00:00:00+00:00,ALGN,56.38,56.71,55.71,56.12,699703,56.38,56.71,55.71,56.12,699703,0.0,1.0
2015-03-19 00:00:00+00:00,ALGN,58.32,58.39,56.186,56.3,741012,58.32,58.39,56.186,56.3,741012,0.0,1.0
2015-03-20 00:00:00+00:00,ALGN,57.18,58.52,56.78,58.52,1688688,57.18,58.52,56.78,58.52,1688688,0.0,1.0
2015-03-23 00:00:00+00:00,ALGN,56.33,57.16,56.3,57.09,617885,56.33,57.16,56.3,57.09,617885,0.0,1.0
2015-03-24 00:00:00+00:00,ALGN,55.48,56.61,55.36,56.44,669275,55.48,56.61,55.36,56.44,669275,0.0,1.0
2015-03-25 00:00:00+00:00,ALGN,54.69,56.13,54.65,55.42,681619,54.69,56.13,54.65,55.42,681619,0.0,1.0
2015-03-26 00:00:00+00:00,ALGN,54.58,54.92,53.15,54.4,775792,54.58,54.92,53.15,54.4,775792,0.0,1.0
2015-03-27 00:00:00+00:00,ALGN,54.04,54.645,52.14,54.19,1696201,54.04,54.645,52.14,54.19,1696201,0.0,1.0
2015-03-30 00:00:00+00:00,ALGN,54.595,55.02,53.98,54.4,844457,54.595,55.02,53.98,54.4,844457,0.0,1.0
2015-03-31 00:00:00+00:00,ALGN,53.785,54.95,53.74,54.48,834898,53.785,54.95,53.74,54.48,834898,0.0,1.0
2015-04-01 00:00:00+00:00,ALGN,52.45,53.87,52.28,53.67,1177808,52.45,53.87,52.28,53.67,1177808,0.0,1.0
2015-04-02 00:00:00+00:00,ALGN,52.75,53.3,52.29,52.29,1095982,52.75,53.3,52.29,52.29,1095982,0.0,1.0
2015-04-06 00:00:00+00:00,ALGN,53.07,53.41,52.26,52.62,924500,53.07,53.41,52.26,52.62,924500,0.0,1.0
2015-04-07 00:00:00+00:00,ALGN,52.55,53.74,52.5,53.35,986171,52.55,53.74,52.5,53.35,986171,0.0,1.0
2015-04-08 00:00:00+00:00,ALGN,52.72,53.16,51.65,52.71,2163556,52.72,53.16,51.65,52.71,2163556,0.0,1.0
2015-04-09 00:00:00+00:00,ALGN,52.72,53.0,52.27,52.63,921296,52.72,53.0,52.27,52.63,921296,0.0,1.0
2015-04-10 00:00:00+00:00,ALGN,54.29,54.68,52.95,53.0,1917238,54.29,54.68,52.95,53.0,1917238,0.0,1.0
2015-04-13 00:00:00+00:00,ALGN,53.82,54.86,53.8,54.3,828215,53.82,54.86,53.8,54.3,828215,0.0,1.0
2015-04-14 00:00:00+00:00,ALGN,53.15,54.34,53.01,53.86,457910,53.15,54.34,53.01,53.86,457910,0.0,1.0
2015-04-15 00:00:00+00:00,ALGN,52.86,53.57,52.75,53.3,721741,52.86,53.57,52.75,53.3,721741,0.0,1.0
