date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,ANSS,85.9,86.3,85.25,85.34,263271,85.9,86.3,85.25,85.34,263271,0.0,1.0
2015-02-13 00:00:00+00:00,ANSS,86.26,86.348,85.515,86.0,376568,86.26,86.348,85.515,86.0,376568,0.0,1.0
2015-02-17 00:00:00+00:00,ANSS,86.54,86.73,85.41,85.84,293809,86.54,86.73,85.41,85.84,293809,0.0,1.0
2015-02-18 00:00:00+00:00,ANSS,85.91,86.64,85.67,86.15,274699,85.91,86.64,85.67,86.15,274699,0.0,1.0
2015-02-19 00:00:00+00:00,ANSS,86.63,86.79,85.49,85.73,170551,86.63,86.79,85.49,85.73,170551,0.0,1.0
2015-02-20 00:00:00+00:00,ANSS,87.25,87.28,85.71,86.59,240584,87.25,87.28,85.71,86.59,240584,0.0,1.0
2015-02-23 00:00:00+00:00,ANSS,86.195,87.1,85.98,87.1,342454,86.195,87.1,85.98,87.1,342454,0.0,1.0
2015-02-24 00:00:00+00:00,ANSS,85.62,86.47,85.54,85.94,325594,85.62,86.47,85.54,85.94,325594,0.0,1.0
2015-02-25 00:00:00+00:00,ANSS,86.32,86.48,85.32,85.82,446973,86.32,86.48,85.32,85.82,446973,0.0,1.0
2015-02-26 00:00:00+00:00,ANSS,85.59,88.24,84.44,87.0,441456,85.59,88.24,84.44,87.0,441456,0.0,1.0
2015-02-27 00:00:00+00:00,ANSS,85.97,86.57,85.03,85.35,485328,85.97,86.57,85.03,85.35,485328,0.0,1.0
2015-03-02 00:00:00+00:00,ANSS,86.44,86.51,85.74,85.9,486816,86.44,86.51,85.74,85.9,486816,0.0,1.0
2015-03-03 00:00:00+00:00,ANSS,86.225,86.805,85.86,86.04,309903,86.225,86.805,85.86,86.04,309903,0.0,1.0
2015-03-04 00:00:00+00:00,ANSS,86.08,86.57,85.12,85.12,319377,86.08,86.57,85.12,85.12,319377,0.0,1.0
2015-03-05 00:00:00+00:00,ANSS,86.38,86.59,85.645,86.32,439613,86.38,86.59,85.645,86.32,439613,0.0,1.0
2015-03-06 00:00:00+00:00,ANSS,85.36,86.47,85.2,86.26,323107,85.36,86.47,85.2,86.26,323107,0.0,1.0
