date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,AWK,53.61,53.89,53.19,53.7,739669,48.4230301688,48.675939112,48.0436667539,48.5043223291,739669,0.0,1.0
2015-02-13 00:00:00+00:00,AWK,52.64,53.6223,52.38,53.58,1550864,47.5468813297,48.4341400974,47.312037311,48.395932782,1550864,0.0,1.0
2015-02-17 00:00:00+00:00,AWK,52.75,53.27,52.39,52.63,1757701,47.6462384145,48.115926452,47.3210697732,47.5378488674,1757701,0.0,1.0
2015-02-18 00:00:00+00:00,AWK,54.11,54.19,52.53,52.54,944061,48.8746532817,48.9469129798,47.4475242449,47.4565567071,944061,0.0,1.0
2015-02-19 00:00:00+00:00,AWK,53.8,54.3,53.62,54.15,956942,48.5946469517,49.0462700646,48.432062631,48.9107831308,956942,0.0,1.0
2015-02-20 00:00:00+00:00,AWK,53.94,54.02,53.36,53.68,536040,48.7211014233,48.7933611214,48.1972186123,48.4862574046,536040,0.0,1.0
2015-02-23 00:00:00+00:00,AWK,54.3,54.3,53.245,53.94,1896845,49.0462700646,49.0462700646,48.0933452963,48.7211014233,1896845,0.0,1.0
2015-02-24 00:00:00+00:00,AWK,54.2,54.41,53.625,54.24,1179897,48.9559454421,49.1456271495,48.4365788622,48.9920752911,1179897,0.0,1.0
2015-02-25 00:00:00+00:00,AWK,54.46,55.76,54.23,54.64,1226787,49.1907894608,50.3650095544,48.9830428288,49.3533737814,1226787,0.0,1.0
2015-02-26 00:00:00+00:00,AWK,53.64,54.575,53.4,54.55,850064,48.4501275556,49.2946627768,48.2333484614,49.2720816211,850064,0.0,1.0
2015-02-27 00:00:00+00:00,AWK,54.08,54.19,53.401,53.79,1095662,48.8475558949,48.9469129798,48.2342517076,48.5856144894,1095662,0.0,1.0
2015-03-02 00:00:00+00:00,AWK,53.27,53.99,52.49,53.99,1506824,48.115926452,48.7662637346,47.4113943958,48.7662637346,1506824,0.0,1.0
2015-03-03 00:00:00+00:00,AWK,53.61,53.8,53.03,53.25,897123,48.4230301688,48.5946469517,47.8991473578,48.0978615275,897123,0.0,1.0
2015-03-04 00:00:00+00:00,AWK,53.43,53.57,53.01,53.32,774687,48.2604458481,48.3869003198,47.8810824333,48.1610887633,774687,0.0,1.0
2015-03-05 00:00:00+00:00,AWK,53.92,54.276,53.62,53.63,1509875,48.7030364988,49.0245921552,48.432062631,48.4410950933,1509875,0.0,1.0
2015-03-06 00:00:00+00:00,AWK,52.28,53.63,52.0,53.5,1295086,47.2217126884,48.4410950933,46.9688037451,48.3236730839,1295086,0.0,1.0
2015-03-09 00:00:00+00:00,AWK,52.29,52.53,52.09,52.28,543906,47.2307451506,47.4475242449,47.0500959055,47.2217126884,543906,0.0,1.0
2015-03-10 00:00:00+00:00,AWK,52.26,52.54,51.97,52.0,453664,47.2036477639,47.4565567071,46.9417063584,46.9688037451,453664,0.0,1.0
