date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,BR,52.88,52.94,52.06,52.06,730193,48.2398803254,48.2946154392,47.4918337697,47.4918337697,730193,0.0,1.0
2015-02-13 00:00:00+00:00,BR,52.59,52.99,52.07,52.83,1157012,47.9753272752,48.3402280341,47.5009562886,48.1942677305,1157012,0.0,1.0
2015-02-17 00:00:00+00:00,BR,52.53,53.08,52.491,52.6,962056,47.9205921613,48.4223307048,47.8850143374,47.9844497942,962056,0.0,1.0
2015-02-18 00:00:00+00:00,BR,52.97,53.01,52.45,52.54,1064274,48.3219829961,48.358473072,47.8476120096,47.9297146803,1064274,0.0,1.0
2015-02-19 00:00:00+00:00,BR,52.9,53.05,52.79,52.97,597111,48.2581253633,48.3949631479,48.1577776546,48.3219829961,597111,0.0,1.0
2015-02-20 00:00:00+00:00,BR,53.81,53.86,52.69,52.82,734680,49.0882745898,49.1338871847,48.0665524649,48.1851452115,734680,0.0,1.0
2015-02-23 00:00:00+00:00,BR,53.54,53.84,53.28,53.75,555116,48.8419665775,49.1156421467,48.6047810843,49.033539476,555116,0.0,1.0
2015-02-24 00:00:00+00:00,BR,53.6,53.83,53.4,53.49,543434,48.8967016914,49.1065196277,48.7142513119,48.7963539827,543434,0.0,1.0
2015-02-25 00:00:00+00:00,BR,53.76,53.97,53.47,53.47,510634,49.0426619949,49.2342348934,48.7781089447,48.7781089447,510634,0.0,1.0
2015-02-26 00:00:00+00:00,BR,53.13,53.95,53.11,53.76,1016470,48.4679432997,49.2159898554,48.4496982617,49.0426619949,1016470,0.0,1.0
2015-02-27 00:00:00+00:00,BR,53.23,53.545,53.02,53.15,867893,48.5591684894,48.846527837,48.367595591,48.4861883376,867893,0.0,1.0
2015-03-02 00:00:00+00:00,BR,54.63,54.64,53.18,53.18,730793,49.8363211455,49.8454436645,48.5135558945,48.5135558945,730793,0.0,1.0
2015-03-03 00:00:00+00:00,BR,54.03,54.52,53.85,54.52,690008,49.2889700072,49.7359734368,49.1247646657,49.7359734368,690008,0.0,1.0
2015-03-04 00:00:00+00:00,BR,53.39,54.0,53.34,54.0,320713,48.705128793,49.2616024503,48.6595161981,49.2616024503,320713,0.0,1.0
2015-03-05 00:00:00+00:00,BR,53.44,53.63,53.24,53.56,525365,48.7507413878,48.9240692483,48.5682910084,48.8602116155,525365,0.0,1.0
2015-03-06 00:00:00+00:00,BR,52.96,53.43,52.67,53.29,490129,48.3128604772,48.7416188689,48.048307427,48.6139036032,490129,0.0,1.0
2015-03-09 00:00:00+00:00,BR,53.07,53.22,52.705,52.76,375606,48.4132081859,48.5500459704,48.0802362434,48.1304100977,375606,0.0,1.0
2015-03-10 00:00:00+00:00,BR,51.9,52.73,51.89,52.73,390503,47.3458734661,48.1030425408,47.3367509471,48.1030425408,390503,0.0,1.0
2015-03-11 00:00:00+00:00,BR,51.52,51.84,50.91,51.09,958035,47.2455257574,47.5389762279,46.6861357979,46.8512016876,958035,0.27,1.0
2015-03-12 00:00:00+00:00,BR,52.64,52.72,51.73,51.94,459597,48.2726024043,48.3459650219,47.4381026287,47.6306795,459597,0.0,1.0
2015-03-13 00:00:00+00:00,BR,51.86,52.545,51.76,52.51,663321,47.5573168824,48.1854842959,47.4656136103,48.1533881506,663321,0.0,1.0
2015-03-16 00:00:00+00:00,BR,52.88,52.9,52.05,52.17,560338,48.4926902572,48.5110309116,47.7315530992,47.8415970257,560338,0.0,1.0
2015-03-17 00:00:00+00:00,BR,53.13,53.22,52.67,52.82,505210,48.7219484373,48.8044813822,48.3001133859,48.437668294,505210,0.0,1.0
2015-03-18 00:00:00+00:00,BR,54.02,54.25,52.86,53.1,569328,49.5381075585,49.7490250842,48.4743496028,48.6944374557,569328,0.0,1.0
2015-03-19 00:00:00+00:00,BR,53.96,54.23,53.76,53.92,405947,49.4830855953,49.7306844298,49.2996790512,49.4464042865,405947,0.0,1.0
2015-03-20 00:00:00+00:00,BR,53.94,54.31,53.89,54.31,1105974,49.4647449409,49.8040470474,49.4188933049,49.8040470474,1105974,0.0,1.0
2015-03-23 00:00:00+00:00,BR,53.76,54.08,53.75,54.08,307274,49.2996790512,49.5931295217,49.290508724,49.5931295217,307274,0.0,1.0
2015-03-24 00:00:00+00:00,BR,53.34,53.71,53.31,53.61,391807,48.9145253086,49.2538274152,48.887014327,49.1621241431,391807,0.0,1.0
