date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CAG,36.42,36.42,35.96,36.01,1741570,24.5417997186,24.5417997186,24.2318264108,24.2655191616,2280400,0.0,1.0
2015-02-13 00:00:00+00:00,CAG,34.83,35.4,34.56,35.36,6902799,23.4703702416,23.8544676013,23.288429387,23.8275134006,9038480,0.0,1.0
2015-02-17 00:00:00+00:00,CAG,33.76,34.62,33.64,34.62,7358526,22.7493453734,23.328860688,22.6684827714,23.328860688,9635206,0.0,1.0
2015-02-18 00:00:00+00:00,CAG,33.57,33.89,33.45,33.65,6943795,22.6213129202,22.8369465256,22.5404503181,22.6752213215,9092160,0.0,1.0
2015-02-19 00:00:00+00:00,CAG,34.47,34.61,33.62,33.67,4992537,23.2277824355,23.3221221378,22.655005671,22.6886984219,6537195,0.0,1.0
2015-02-20 00:00:00+00:00,CAG,34.52,34.59,34.08,34.44,2769299,23.2614751863,23.3086450375,22.9649789788,23.207566785,3626102,0.0,1.0
2015-02-23 00:00:00+00:00,CAG,34.53,34.67,34.38,34.56,1859664,23.2682137365,23.3625534389,23.1671354839,23.288429387,2435032,0.0,1.0
2015-02-24 00:00:00+00:00,CAG,34.71,34.79,34.29,34.4,2830999,23.3895076395,23.4434160409,23.1064885324,23.1806125843,3706891,0.0,1.0
2015-02-25 00:00:00+00:00,CAG,34.74,34.86,34.54,34.74,2088558,23.40972329,23.4905858921,23.2749522867,23.40972329,2734744,0.0,1.0
2015-02-26 00:00:00+00:00,CAG,34.67,34.89,34.64,34.79,1610960,23.3625534389,23.5108015426,23.3423377883,23.4434160409,2109380,0.0,1.0
2015-02-27 00:00:00+00:00,CAG,34.98,35.07,34.66,34.69,2841434,23.5714484941,23.6320954457,23.3558148887,23.3760305392,3720555,0.0,1.0
2015-03-02 00:00:00+00:00,CAG,35.1,35.125,34.74,34.82,1633643,23.6523110962,23.6691574716,23.40972329,23.4636316914,2139081,0.0,1.0
2015-03-03 00:00:00+00:00,CAG,34.96,35.09,34.67,35.02,2071951,23.5579713938,23.645572546,23.3625534389,23.5984026948,2712999,0.0,1.0
2015-03-04 00:00:00+00:00,CAG,34.52,35.58,34.31,34.83,4231299,23.2614751863,23.9757615043,23.1199656327,23.4703702416,5540435,0.0,1.0
2015-03-05 00:00:00+00:00,CAG,34.86,34.92,34.36,34.65,1927744,23.4905858921,23.5310171931,23.1536583836,23.3490763385,2524175,0.0,1.0
2015-03-06 00:00:00+00:00,CAG,34.26,34.62,34.07,34.62,2578164,23.0862728819,23.328860688,22.9582404287,23.328860688,3375831,0.0,1.0
2015-03-09 00:00:00+00:00,CAG,34.34,34.45,34.16,34.33,1167221,23.1401812833,23.2143053351,23.0188873802,23.1334427331,1528351,0.0,1.0
2015-03-10 00:00:00+00:00,CAG,33.91,34.34,33.91,34.27,1754803,22.850423626,23.1401812833,22.850423626,23.0930114321,2297727,0.0,1.0
2015-03-11 00:00:00+00:00,CAG,33.58,33.9039,33.45,33.86,1785729,22.6280514703,22.8463131103,22.5404503181,22.8167308751,2338222,0.0,1.0
2015-03-12 00:00:00+00:00,CAG,34.17,34.21,33.65,33.68,1649514,23.0256259304,23.052580131,22.6752213215,22.695436972,2159863,0.0,1.0
2015-03-13 00:00:00+00:00,CAG,33.94,34.11,33.65,34.06,1768587,22.8706392765,22.9851946293,22.6752213215,22.9515018785,2315776,0.0,1.0
2015-03-16 00:00:00+00:00,CAG,34.43,34.44,34.01,34.07,1741691,23.2008282348,23.207566785,22.9178091276,22.9582404287,2280559,0.0,1.0
2015-03-17 00:00:00+00:00,CAG,34.49,34.6,34.17,34.3,1705347,23.2412595358,23.3153835877,23.0256259304,23.1132270826,2232970,0.0,1.0
2015-03-18 00:00:00+00:00,CAG,34.55,34.69,33.86,34.4,2922106,23.2816908368,23.3760305392,22.8167308751,23.1806125843,3826186,0.0,1.0
2015-03-19 00:00:00+00:00,CAG,34.36,34.59,34.3,34.51,1497149,23.1536583836,23.3086450375,23.1132270826,23.2547366361,1960357,0.0,1.0
2015-03-20 00:00:00+00:00,CAG,34.96,35.22,34.47,34.52,3134799,23.5579713938,23.7331736982,23.2277824355,23.2614751863,4104685,0.0,1.0
2015-03-23 00:00:00+00:00,CAG,35.05,35.33,34.88,34.92,1487001,23.6186183453,23.8072977501,23.5040629924,23.5310171931,1947069,0.0,1.0
2015-03-24 00:00:00+00:00,CAG,34.63,35.18,34.61,35.12,1504542,23.3355992382,23.7062194975,23.3221221378,23.6657881965,1970037,0.0,1.0
2015-03-25 00:00:00+00:00,CAG,34.94,35.27,34.77,34.92,4436980,23.5444942934,23.766866449,23.4299389406,23.5310171931,5809753,0.0,1.0
2015-03-26 00:00:00+00:00,CAG,34.75,35.55,33.92,35.53,5306461,23.4164618402,23.9555458538,22.8571621761,23.9420687535,6948245,0.0,1.0
2015-03-27 00:00:00+00:00,CAG,36.76,36.865,34.76,34.85,6659174,24.7709104244,24.8416652011,23.4232003904,23.4838473419,8719479,0.0,1.0
2015-03-30 00:00:00+00:00,CAG,36.9,36.98,36.31,36.74,4046914,24.8652501267,24.9191585281,24.4676756667,24.757433324,5299003,0.0,1.0
2015-03-31 00:00:00+00:00,CAG,36.53,37.12,36.51,36.85,3964808,24.6159237704,25.0134982305,24.6024466701,24.8315573759,5191494,0.0,1.0
2015-04-01 00:00:00+00:00,CAG,36.86,36.93,35.94,36.51,4478842,24.8382959261,24.8854657772,24.2183493104,24.6024466701,5864566,0.0,1.0
2015-04-02 00:00:00+00:00,CAG,37.82,37.92,36.788,36.99,5023418,25.4851967424,25.5525822441,24.7897783648,24.9258970783,6577631,0.0,1.0
2015-04-06 00:00:00+00:00,CAG,38.04,38.41,37.53,37.62,4106300,25.6334448461,25.8827712024,25.2897787874,25.350425739,5376762,0.0,1.0
2015-04-07 00:00:00+00:00,CAG,37.96,38.26,37.87,38.06,3582132,25.5795364447,25.7816929498,25.5188894932,25.6469219464,4690420,0.0,1.0
