date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CDNS,17.92,17.96,17.45,17.68,2739733,17.92,17.96,17.45,17.68,2739733,0.0,1.0
2015-02-13 00:00:00+00:00,CDNS,18.02,18.09,17.72,17.92,2401762,18.02,18.09,17.72,17.92,2401762,0.0,1.0
2015-02-17 00:00:00+00:00,CDNS,17.94,18.01,17.795,17.97,1553303,17.94,18.01,17.795,17.97,1553303,0.0,1.0
2015-02-18 00:00:00+00:00,CDNS,18.0,18.01,17.65,17.86,1476332,18.0,18.01,17.65,17.86,1476332,0.0,1.0
2015-02-19 00:00:00+00:00,CDNS,18.23,18.32,17.85,17.95,3575302,18.23,18.32,17.85,17.95,3575302,0.0,1.0
2015-02-20 00:00:00+00:00,CDNS,18.5,18.5,17.973,18.25,2344319,18.5,18.5,17.973,18.25,2344319,0.0,1.0
2015-02-23 00:00:00+00:00,CDNS,18.47,18.55,18.3,18.48,5138719,18.47,18.55,18.3,18.48,5138719,0.0,1.0
2015-02-24 00:00:00+00:00,CDNS,18.67,18.725,18.42,18.54,3188940,18.67,18.725,18.42,18.54,3188940,0.0,1.0
2015-02-25 00:00:00+00:00,CDNS,18.73,18.77,18.43,18.63,2536670,18.73,18.77,18.43,18.63,2536670,0.0,1.0
2015-02-26 00:00:00+00:00,CDNS,18.51,18.73,18.38,18.69,2493560,18.51,18.73,18.38,18.69,2493560,0.0,1.0
2015-02-27 00:00:00+00:00,CDNS,18.355,18.48,18.24,18.47,2473558,18.355,18.48,18.24,18.47,2473558,0.0,1.0
2015-03-02 00:00:00+00:00,CDNS,18.59,18.64,18.41,18.41,2015679,18.59,18.64,18.41,18.41,2015679,0.0,1.0
2015-03-03 00:00:00+00:00,CDNS,18.45,18.588,18.35,18.52,1275779,18.45,18.588,18.35,18.52,1275779,0.0,1.0
2015-03-04 00:00:00+00:00,CDNS,18.43,18.55,18.32,18.4,2419889,18.43,18.55,18.32,18.4,2419889,0.0,1.0
2015-03-05 00:00:00+00:00,CDNS,18.21,18.49,18.1,18.48,3766862,18.21,18.49,18.1,18.48,3766862,0.0,1.0
2015-03-06 00:00:00+00:00,CDNS,18.09,18.2,17.92,18.13,3005002,18.09,18.2,17.92,18.13,3005002,0.0,1.0
2015-03-09 00:00:00+00:00,CDNS,18.205,18.23,17.916,18.08,1792700,18.205,18.23,17.916,18.08,1792700,0.0,1.0
2015-03-10 00:00:00+00:00,CDNS,17.84,18.12,17.8,18.06,1663643,17.84,18.12,17.8,18.06,1663643,0.0,1.0
2015-03-11 00:00:00+00:00,CDNS,17.83,17.92,17.65,17.85,2228539,17.83,17.92,17.65,17.85,2228539,0.0,1.0
2015-03-12 00:00:00+00:00,CDNS,17.95,17.95,17.648,17.81,963314,17.95,17.95,17.648,17.81,963314,0.0,1.0
2015-03-13 00:00:00+00:00,CDNS,18.115,18.19,17.78,17.97,4622982,18.115,18.19,17.78,17.97,4622982,0.0,1.0
