date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CL,69.85,69.855,69.32,69.32,2829925,62.1485005443,62.1529492559,61.6769371186,61.6769371186,2829925,0.0,1.0
2015-02-13 00:00:00+00:00,CL,70.08,70.15,69.5,69.53,2554886,62.3531412762,62.4154232381,61.8370907348,61.8637830042,2554886,0.0,1.0
2015-02-17 00:00:00+00:00,CL,70.19,70.46,69.63,70.0,3342295,62.4510129306,62.6912433551,61.9527572355,62.2819618912,3342295,0.0,1.0
2015-02-18 00:00:00+00:00,CL,70.54,70.61,69.76,69.76,2771444,62.7624227401,62.824704702,62.0684237362,62.0684237362,2771444,0.0,1.0
2015-02-19 00:00:00+00:00,CL,70.21,70.79,69.92,70.36,3245543,62.4688077769,62.9848583183,62.2107825062,62.6022691238,3245543,0.0,1.0
2015-02-20 00:00:00+00:00,CL,70.24,70.35,69.57,70.13,2358930,62.4955000463,62.5933717007,61.8993726967,62.3976283919,2358930,0.0,1.0
2015-02-23 00:00:00+00:00,CL,70.68,71.01,70.46,71.01,2389109,62.8869866639,63.1806016271,62.6912433551,63.1806016271,2389109,0.0,1.0
2015-02-24 00:00:00+00:00,CL,71.01,71.22,70.475,70.86,2497140,63.1806016271,63.3674475127,62.7045894898,63.0471402802,2497140,0.0,1.0
2015-02-25 00:00:00+00:00,CL,71.01,71.17,70.77,71.05,602869,63.1806016271,63.3229603971,62.967063472,63.2161913196,602869,0.0,1.0
2015-02-26 00:00:00+00:00,CL,71.11,71.29,70.67,70.93,597143,63.2695758583,63.4297294746,62.8780892407,63.1094222421,597143,0.0,1.0
2015-02-27 00:00:00+00:00,CL,70.82,71.13,70.73,71.04,1997274,63.0115505877,63.2873707046,62.9314737795,63.2072938965,1997274,0.0,1.0
2015-03-02 00:00:00+00:00,CL,71.01,71.08,70.39,70.39,1787687,63.1806016271,63.242883589,62.6289613932,62.6289613932,1787687,0.0,1.0
2015-03-03 00:00:00+00:00,CL,70.68,71.0,70.29,71.0,2010323,62.8869866639,63.1717042039,62.5399871619,63.1717042039,2010323,0.0,1.0
2015-03-04 00:00:00+00:00,CL,70.68,70.76,70.23,70.48,2715885,62.8869866639,62.9581660489,62.4866026231,62.7090382013,2715885,0.0,1.0
2015-03-05 00:00:00+00:00,CL,71.46,71.56,70.79,70.97,3713320,63.5809856678,63.6699598991,62.9848583183,63.1450119346,3713320,0.0,1.0
2015-03-06 00:00:00+00:00,CL,69.25,70.98,69.14,70.83,3555221,61.6146551567,63.1539093577,61.5167835023,63.0204480108,3555221,0.0,1.0
2015-03-09 00:00:00+00:00,CL,69.59,69.8,69.06,69.12,2564545,61.917167543,62.1040134287,61.4456041172,61.498988656,2564545,0.0,1.0
2015-03-10 00:00:00+00:00,CL,68.4,69.3,68.4,69.28,2492617,60.8583741908,61.6591422723,60.8583741908,61.641347426,2492617,0.0,1.0
2015-03-11 00:00:00+00:00,CL,67.89,68.42,67.69,68.27,2643233,60.4046056113,60.8761690371,60.2266571488,60.7427076902,2643233,0.0,1.0
2015-03-12 00:00:00+00:00,CL,68.53,68.58,68.15,68.32,2456742,60.9740406915,61.0185278071,60.6359386127,60.7871948058,2456742,0.0,1.0
2015-03-13 00:00:00+00:00,CL,68.46,68.52,67.92,68.29,3451394,60.9117587296,60.9651432684,60.4312978807,60.7605025364,3451394,0.0,1.0
2015-03-16 00:00:00+00:00,CL,69.02,69.15,68.58,68.7,2969285,61.4100144247,61.5256809254,61.0185278071,61.1252968847,2969285,0.0,1.0
2015-03-17 00:00:00+00:00,CL,68.41,68.81,68.325,68.545,2843051,60.867271614,61.2231685391,60.7916435174,60.9873868262,2843051,0.0,1.0
2015-03-18 00:00:00+00:00,CL,68.33,68.74,66.88,68.25,5386912,60.796092229,61.1608865772,59.5059658755,60.7249128439,5386912,0.0,1.0
2015-03-19 00:00:00+00:00,CL,68.29,68.53,67.81,68.18,2881219,60.7605025364,60.9740406915,60.3334262263,60.662630882,2881219,0.0,1.0
2015-03-20 00:00:00+00:00,CL,69.56,69.615,68.52,68.65,4508245,61.8904752736,61.9394111008,60.9651432684,61.080809769,4508245,0.0,1.0
2015-03-23 00:00:00+00:00,CL,70.17,70.39,69.3,69.65,3123430,62.4332180844,62.6289613932,61.6591422723,61.9705520818,3123430,0.0,1.0
2015-03-24 00:00:00+00:00,CL,69.31,70.65,69.31,69.98,2849298,61.6680396954,62.8602943945,61.6680396954,62.264167045,2849298,0.0,1.0
2015-03-25 00:00:00+00:00,CL,68.89,69.91,68.82,69.71,3458498,61.2943479241,62.2018850831,61.2320659622,62.0239366205,3458498,0.0,1.0
2015-03-26 00:00:00+00:00,CL,68.74,69.21,68.48,68.72,2890579,61.1608865772,61.5790654642,60.9295535759,61.1430917309,2890579,0.0,1.0
2015-03-27 00:00:00+00:00,CL,68.75,69.09,68.42,68.91,2004158,61.1697840003,61.4722963866,60.8761690371,61.3121427703,2004158,0.0,1.0
2015-03-30 00:00:00+00:00,CL,69.29,69.495,68.54,68.75,1967169,61.6502448492,61.8326420233,60.9829381146,61.1697840003,1967169,0.0,1.0
2015-03-31 00:00:00+00:00,CL,69.34,69.735,68.84,68.86,4180377,61.6947319648,62.0461801783,61.2498608084,61.2676556547,4180377,0.0,1.0
