date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CMA,46.52,46.6,45.45,45.53,1760202,41.6339820212,41.7055795827,40.6763646359,40.7479621974,1760202,0.0,1.0
2015-02-13 00:00:00+00:00,CMA,46.42,47.0,46.23,46.59,1701226,41.5444850693,42.0635673903,41.3744408607,41.6966298875,1701226,0.0,1.0
2015-02-17 00:00:00+00:00,CMA,46.63,46.63,45.91,46.25,2080666,41.7324286682,41.7324286682,41.0880506146,41.392340251,2080666,0.0,1.0
2015-02-18 00:00:00+00:00,CMA,45.57,46.56,45.42,46.43,2101163,40.7837609782,41.6697808019,40.6495155503,41.5534347645,2101163,0.0,1.0
2015-02-19 00:00:00+00:00,CMA,45.44,45.56,44.47,45.17,1931602,40.6674149407,40.774811283,39.7992945073,40.4257731706,1931602,0.0,1.0
2015-02-20 00:00:00+00:00,CMA,45.83,45.86,44.7,45.21,1545555,41.0164530531,41.0433021387,40.0051374967,40.4615719514,1545555,0.0,1.0
2015-02-23 00:00:00+00:00,CMA,45.65,45.745,45.37,45.59,1380209,40.8553585397,40.940380644,40.6047670744,40.8016603685,1380209,0.0,1.0
2015-02-24 00:00:00+00:00,CMA,45.99,46.11,45.51,45.68,1232806,41.1596481761,41.2670445184,40.730062807,40.8822076253,1232806,0.0,1.0
2015-02-25 00:00:00+00:00,CMA,46.07,46.26,45.81,46.04,909158,41.2312457376,41.4012899462,40.9985536627,41.2043966521,909158,0.0,1.0
2015-02-26 00:00:00+00:00,CMA,45.96,46.18,45.63,45.99,785638,41.1327990906,41.3296923847,40.8374591493,41.1596481761,785638,0.0,1.0
2015-02-27 00:00:00+00:00,CMA,45.78,46.08,45.64,45.84,1069485,40.9717045771,41.2401954328,40.8464088445,41.0254027483,1069485,0.0,1.0
2015-03-02 00:00:00+00:00,CMA,46.14,46.22,45.55,45.9,1039883,41.293893604,41.3654911655,40.7658615878,41.0791009194,1039883,0.0,1.0
2015-03-03 00:00:00+00:00,CMA,45.7,46.27,45.51,45.81,1248248,40.9001070156,41.4102396414,40.730062807,40.9985536627,1248248,0.0,1.0
2015-03-04 00:00:00+00:00,CMA,45.68,45.815,45.22,45.42,2100638,40.8822076253,41.0030285103,40.4705216465,40.6495155503,2100638,0.0,1.0
2015-03-05 00:00:00+00:00,CMA,45.98,46.04,45.32,45.65,1076281,41.1506984809,41.2043966521,40.5600185984,40.8553585397,1076281,0.0,1.0
2015-03-06 00:00:00+00:00,CMA,47.1,47.94,45.99,46.11,2359772,42.1530643421,42.9048387381,41.1596481761,41.2670445184,2359772,0.0,1.0
2015-03-09 00:00:00+00:00,CMA,46.98,47.19,46.76,46.96,1137857,42.0456679999,42.2336115989,41.8487747057,42.0277686095,1137857,0.0,1.0
