date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CPRT,37.94,38.05,37.66,37.95,320148,18.97,19.025,18.83,18.975,640296,0.0,1.0
2015-02-13 00:00:00+00:00,CPRT,38.17,38.17,37.81,37.97,251612,19.085,19.085,18.905,18.985,503224,0.0,1.0
2015-02-17 00:00:00+00:00,CPRT,37.97,38.19,37.82,38.09,510052,18.985,19.095,18.91,19.045,1020104,0.0,1.0
2015-02-18 00:00:00+00:00,CPRT,38.04,38.06,37.73,37.98,558021,19.02,19.03,18.865,18.99,1116042,0.0,1.0
2015-02-19 00:00:00+00:00,CPRT,37.93,38.23,37.78,37.97,314457,18.965,19.115,18.89,18.985,628914,0.0,1.0
2015-02-20 00:00:00+00:00,CPRT,38.0,38.06,37.31,37.93,513575,19.0,19.03,18.655,18.965,1027150,0.0,1.0
2015-02-23 00:00:00+00:00,CPRT,37.52,38.1,37.44,37.84,512942,18.76,19.05,18.72,18.92,1025884,0.0,1.0
2015-02-24 00:00:00+00:00,CPRT,37.6,38.19,37.23,37.57,1188127,18.8,19.095,18.615,18.785,2376254,0.0,1.0
2015-02-25 00:00:00+00:00,CPRT,38.36,38.41,36.08,36.19,684874,19.18,19.205,18.04,18.095,1369748,0.0,1.0
2015-02-26 00:00:00+00:00,CPRT,37.92,38.5,37.86,38.3,322496,18.96,19.25,18.93,19.15,644992,0.0,1.0
2015-02-27 00:00:00+00:00,CPRT,37.42,38.03,37.39,37.81,336898,18.71,19.015,18.695,18.905,673796,0.0,1.0
2015-03-02 00:00:00+00:00,CPRT,38.09,38.11,37.37,37.37,403985,19.045,19.055,18.685,18.685,807970,0.0,1.0
2015-03-03 00:00:00+00:00,CPRT,37.87,38.21,37.79,38.09,310619,18.935,19.105,18.895,19.045,621238,0.0,1.0
2015-03-04 00:00:00+00:00,CPRT,37.27,37.87,37.13,37.87,257734,18.635,18.935,18.565,18.935,515468,0.0,1.0
2015-03-05 00:00:00+00:00,CPRT,37.27,37.32,36.978,37.24,228279,18.635,18.66,18.489,18.62,456558,0.0,1.0
