date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CVS,103.0,103.15,101.56,103.02,5279707,91.1606068311,91.2933649964,89.8861284444,91.1783079199,5279707,0.0,1.0
2015-02-13 00:00:00+00:00,CVS,102.63,103.13,102.23,102.85,4125558,90.8331366901,91.2756639077,90.479114916,91.0278486659,4125558,0.0,1.0
2015-02-17 00:00:00+00:00,CVS,103.55,103.56,101.79,102.22,5328499,91.6473867705,91.6562373149,90.0896909645,90.4702643717,5328499,0.0,1.0
2015-02-18 00:00:00+00:00,CVS,104.1,104.17,103.015,103.35,3860171,92.1341667099,92.1961205204,91.1738826477,91.4703758835,3860171,0.0,1.0
2015-02-19 00:00:00+00:00,CVS,102.62,104.2547,102.45,104.07,3578220,90.8242861458,92.2710846311,90.6738268918,92.1076150769,3578220,0.0,1.0
2015-02-20 00:00:00+00:00,CVS,102.7,102.72,101.87,102.36,4313365,90.8950905006,90.9127915893,90.1604953193,90.5941719926,4313365,0.0,1.0
2015-02-23 00:00:00+00:00,CVS,103.26,103.66,102.5,102.75,3619638,91.3907209843,91.7447427584,90.7180796135,90.9393432223,3619638,0.0,1.0
2015-02-24 00:00:00+00:00,CVS,103.36,103.55,102.72,103.49,3424341,91.4792264278,91.6473867705,90.9127915893,91.5942835044,3424341,0.0,1.0
2015-02-25 00:00:00+00:00,CVS,103.44,104.09,103.04,103.17,3655938,91.5500307827,92.1253161656,91.1960090086,91.3110660851,3655938,0.0,1.0
2015-02-26 00:00:00+00:00,CVS,104.17,104.48,103.47,103.5,3497576,92.1961205204,92.4704873953,91.5765824157,91.6031340488,3497576,0.0,1.0
2015-02-27 00:00:00+00:00,CVS,103.87,104.52,103.61,103.75,3808864,91.9306041898,92.5058895727,91.7004900367,91.8243976576,3808864,0.0,1.0
2015-03-02 00:00:00+00:00,CVS,104.19,104.84,104.01,104.1,3189254,92.2138216091,92.789106992,92.0545118108,92.1341667099,3189254,0.0,1.0
2015-03-03 00:00:00+00:00,CVS,103.45,104.38,102.96,104.17,4044684,91.558881327,92.3819819518,91.1252046537,92.1961205204,4044684,0.0,1.0
2015-03-04 00:00:00+00:00,CVS,103.08,103.445,102.77,103.06,3079494,91.231411186,91.5544560548,90.957044311,91.2137100973,3079494,0.0,1.0
2015-03-05 00:00:00+00:00,CVS,103.36,103.55,102.68,103.5,3619059,91.4792264278,91.6473867705,90.8773894119,91.6031340488,3619059,0.0,1.0
2015-03-06 00:00:00+00:00,CVS,101.9,102.6899,101.55,102.43,4639796,90.1870469524,90.8861514508,89.8772779,90.6561258031,4639796,0.0,1.0
2015-03-09 00:00:00+00:00,CVS,102.5,102.76,101.7854,102.09,4217182,90.7180796135,90.9481937667,90.0856197141,90.3552072951,4217182,0.0,1.0
2015-03-10 00:00:00+00:00,CVS,101.53,102.34,101.5,101.59,3951269,89.8595768113,90.5764709039,89.8330251783,89.9126800774,3951269,0.0,1.0
2015-03-11 00:00:00+00:00,CVS,101.56,102.15,101.51,101.93,3319946,89.8861284444,90.4083105612,89.8418757226,90.2135985854,3319946,0.0,1.0
2015-03-12 00:00:00+00:00,CVS,102.96,103.17,101.87,101.98,3731893,91.1252046537,91.3110660851,90.1604953193,90.2578513072,3731893,0.0,1.0
2015-03-13 00:00:00+00:00,CVS,103.26,103.92,102.74,103.11,4855400,91.3907209843,91.9748569116,90.930492678,91.257962819,4855400,0.0,1.0
2015-03-16 00:00:00+00:00,CVS,104.39,104.52,103.51,103.66,4873646,92.3908324962,92.5058895727,91.6119845931,91.7447427584,4873646,0.0,1.0
2015-03-17 00:00:00+00:00,CVS,103.02,104.04,103.02,103.95,4614021,91.1783079199,92.0810634438,91.1783079199,92.0014085446,4614021,0.0,1.0
2015-03-18 00:00:00+00:00,CVS,103.49,103.85,101.76,102.77,6695333,91.5942835044,91.9129031011,90.0631393314,90.957044311,6695333,0.0,1.0
2015-03-19 00:00:00+00:00,CVS,103.34,103.7271,103.12,103.58,3383463,91.4615253391,91.804129911,91.2668133634,91.6739384036,3383463,0.0,1.0
2015-03-20 00:00:00+00:00,CVS,103.86,104.69,103.49,104.0,9136414,91.9217536455,92.6563488267,91.5942835044,92.0456612664,9136414,0.0,1.0
2015-03-23 00:00:00+00:00,CVS,104.56,105.35,103.95,104.05,4167773,92.5412917501,93.240484754,92.0014085446,92.0899139882,4167773,0.0,1.0
2015-03-24 00:00:00+00:00,CVS,104.49,105.4599,104.37,104.63,3532748,92.4793379397,93.3377522364,92.3731314074,92.6032455606,3532748,0.0,1.0
2015-03-25 00:00:00+00:00,CVS,102.73,104.93,102.71,104.92,4073156,90.9216421336,92.8687618912,90.9039410449,92.8599113468,4073156,0.0,1.0
2015-03-26 00:00:00+00:00,CVS,101.99,102.89,101.7806,102.46,4265235,90.2667018515,91.0632508433,90.0813714528,90.6826774361,4265235,0.0,1.0
2015-03-27 00:00:00+00:00,CVS,102.5,102.95,101.91,101.97,4541556,90.7180796135,91.1163541094,90.1958974967,90.2490007628,4541556,0.0,1.0
2015-03-30 00:00:00+00:00,CVS,103.83,104.1,101.96,102.39,3978200,91.8952020124,92.1341667099,90.2401502185,90.6207236256,3978200,0.0,1.0
2015-03-31 00:00:00+00:00,CVS,103.21,104.3,103.14,103.82,3779375,91.3464682626,92.311177597,91.2845144521,91.8863514681,3779375,0.0,1.0
