date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,CVX,110.86,111.05,109.82,110.28,6618029,91.2800332932,91.43647571,90.4237169065,90.8024722314,6618029,1.07,1.0
2015-02-13 00:00:00+00:00,CVX,112.78,112.84,111.1,111.35,7494358,92.8609250839,92.9103279524,91.477644767,91.6834900523,7494358,0.0,1.0
2015-02-17 00:00:00+00:00,CVX,112.4,112.93,111.52,112.31,7094870,92.5480402503,92.9844322551,91.8234648462,92.4739359476,7094870,0.0,1.0
2015-02-18 00:00:00+00:00,CVX,110.44,111.65,110.37,111.25,6917707,90.9342132139,91.9305043946,90.8765765341,91.6011519382,6917707,0.0,1.0
2015-02-19 00:00:00+00:00,CVX,108.35,109.58,107.24,108.2,9721024,89.2133466292,90.2261054327,88.2993935627,89.0898394581,9721024,0.0,1.0
2015-02-20 00:00:00+00:00,CVX,108.6,108.87,107.5,108.43,7610556,89.4191919145,89.6415048225,88.5134726593,89.2792171205,7610556,0.0,1.0
2015-02-23 00:00:00+00:00,CVX,107.86,108.5,107.35,107.79,6723605,88.8098898701,89.3368538004,88.3899654882,88.7522531902,6723605,0.0,1.0
2015-02-24 00:00:00+00:00,CVX,107.96,108.24,107.34,107.89,5708397,88.8922279842,89.1227747037,88.3817316768,88.8345913043,5708397,0.0,1.0
2015-02-25 00:00:00+00:00,CVX,108.58,108.78,107.76,108.12,4806459,89.4027242916,89.5674005198,88.727551756,89.0239689668,4806459,0.0,1.0
2015-02-26 00:00:00+00:00,CVX,107.06,107.92,106.6,107.89,5901499,88.1511849573,88.8592927386,87.7724296324,88.8345913043,5901499,0.0,1.0
2015-02-27 00:00:00+00:00,CVX,106.68,107.73,106.57,107.52,6396479,87.8383001237,88.7028503218,87.7477281982,88.5299402822,6396479,0.0,1.0
2015-03-02 00:00:00+00:00,CVX,105.9,106.34,104.93,106.32,7339697,87.1960628337,87.5583505358,86.3973831269,87.5418829129,7339697,0.0,1.0
2015-03-03 00:00:00+00:00,CVX,105.16,106.215,104.8097,105.88,6900015,86.5867607894,87.4554278931,86.2983303757,87.1795952109,6900015,0.0,1.0
2015-03-04 00:00:00+00:00,CVX,105.16,105.64,104.44,105.64,5784826,86.5867607894,86.9819837371,85.9939263678,86.9819837371,5784826,0.0,1.0
2015-03-05 00:00:00+00:00,CVX,104.73,105.31,104.33,105.01,5156898,86.2327068987,86.7102679605,85.9033544423,86.4632536182,5156898,0.0,1.0
2015-03-06 00:00:00+00:00,CVX,103.55,104.52,103.165,104.22,7213295,85.2611171523,86.0597968591,84.944115413,85.8127825168,7213295,0.0,1.0
2015-03-09 00:00:00+00:00,CVX,103.95,105.63,103.5,103.6,7506197,85.5904696087,86.9737499256,85.2199480953,85.3022862094,7506197,0.0,1.0
2015-03-10 00:00:00+00:00,CVX,102.91,104.55,102.3301,103.79,10679023,84.7341532221,86.0844982933,84.2566744984,85.4587286262,10679023,0.0,1.0
2015-03-11 00:00:00+00:00,CVX,103.54,103.89,102.45,103.52,8435424,85.2528833409,85.5410667403,84.3553978972,85.2364157181,8435424,0.0,1.0
2015-03-12 00:00:00+00:00,CVX,102.42,104.51,102.3,104.22,5900575,84.330696463,86.0515630477,84.2318907261,85.8127825168,5900575,0.0,1.0
2015-03-13 00:00:00+00:00,CVX,101.62,101.84,100.66,101.84,8344541,83.6719915502,83.8531354012,82.8815456548,83.8531354012,8344541,0.0,1.0
2015-03-16 00:00:00+00:00,CVX,103.13,103.27,101.0,101.44,6780218,84.9152970731,85.0305704328,83.1614952427,83.5237829448,6780218,0.0,1.0
2015-03-17 00:00:00+00:00,CVX,103.17,103.545,102.1,102.3,7096620,84.9482323187,85.2570002466,84.0672144979,84.2318907261,7096620,0.0,1.0
2015-03-18 00:00:00+00:00,CVX,106.7,106.88,102.37,102.61,11054461,87.8547677465,88.0029763519,84.2895274059,84.4871388798,11054461,0.0,1.0
2015-03-19 00:00:00+00:00,CVX,104.75,105.4,104.65,105.1,7833574,86.2491745215,86.7843722632,86.1668364074,86.5373579209,7833574,0.0,1.0
2015-03-20 00:00:00+00:00,CVX,107.03,107.26,105.11,105.29,14064856,88.1264835231,88.3158611855,86.5455917323,86.6938003377,14064856,0.0,1.0
2015-03-23 00:00:00+00:00,CVX,105.92,107.69,105.92,107.51,6807643,87.2125304565,88.6699150761,87.2125304565,88.5217064708,6807643,0.0,1.0
2015-03-24 00:00:00+00:00,CVX,104.2,106.19,104.16,105.92,6674140,85.796314894,87.4348433646,85.7633796483,87.2125304565,6674140,0.0,1.0
2015-03-25 00:00:00+00:00,CVX,105.67,106.195,104.33,104.66,9168995,87.0066851713,87.4389602703,85.9033544423,86.1750702189,9168995,0.0,1.0
2015-03-26 00:00:00+00:00,CVX,105.25,106.52,104.16,106.28,7276811,86.6608650921,87.7065591411,85.7633796483,87.5089476673,7276811,0.0,1.0
2015-03-27 00:00:00+00:00,CVX,104.28,104.99,103.67,104.99,5829975,85.8621853853,86.4467859954,85.3599228892,86.4467859954,5829975,0.0,1.0
2015-03-30 00:00:00+00:00,CVX,106.9,107.21,104.97,104.97,7172401,88.0194439747,88.2746921284,86.4303183726,86.4303183726,7172401,0.0,1.0
2015-03-31 00:00:00+00:00,CVX,104.98,106.07,104.88,105.62,7253907,86.438552184,87.3360376277,86.3562140699,86.9655161142,7253907,0.0,1.0
2015-04-01 00:00:00+00:00,CVX,104.79,106.22,104.5,105.77,7347231,86.2821097672,87.4595447988,86.0433292363,87.0890232854,7347231,0.0,1.0
2015-04-02 00:00:00+00:00,CVX,105.28,105.6799,104.08,104.45,5123901,86.6855665263,87.0148366446,85.6975091571,86.0021601792,5123901,0.0,1.0
2015-04-06 00:00:00+00:00,CVX,106.92,107.86,105.22,106.03,6723809,88.0359115976,88.8098898701,86.6361636578,87.303102382,6723809,0.0,1.0
2015-04-07 00:00:00+00:00,CVX,108.54,109.09,106.62,106.97,8535846,89.369789046,89.8226486736,87.7888972552,88.0770806546,8535846,0.0,1.0
2015-04-08 00:00:00+00:00,CVX,106.66,108.92,106.52,108.86,7894791,87.8218325009,89.6826738796,87.7065591411,89.6332710111,7894791,0.0,1.0
2015-04-09 00:00:00+00:00,CVX,106.95,107.24,106.1801,106.8,5760463,88.0606130318,88.2993935627,87.4266918913,87.9371058606,5760463,0.0,1.0
2015-04-10 00:00:00+00:00,CVX,106.91,107.66,106.81,107.47,5012169,88.0276777861,88.6452136419,87.945339672,88.4887712251,5012169,0.0,1.0
2015-04-13 00:00:00+00:00,CVX,106.5,107.9,106.44,107.35,4307219,87.6900915183,88.8428251158,87.6406886499,88.3899654882,4307219,0.0,1.0
2015-04-14 00:00:00+00:00,CVX,108.84,109.0899,107.26,107.7,7262725,89.6168033883,89.8225663354,88.3158611855,88.6781488875,7262725,0.0,1.0
2015-04-15 00:00:00+00:00,CVX,110.41,110.69,109.38,109.59,6703965,90.9095117797,91.1400584992,90.0614292045,90.2343392441,6703965,0.0,1.0
2015-04-16 00:00:00+00:00,CVX,110.16,110.94,109.0,109.9,5904249,90.7036664945,91.3459037844,89.7485443709,90.4895873978,5904249,0.0,1.0
2015-04-17 00:00:00+00:00,CVX,109.11,109.69,108.26,109.36,6546417,89.8391162964,90.3166773582,89.1392423265,90.0449615816,6546417,0.0,1.0
2015-04-20 00:00:00+00:00,CVX,110.29,111.71,109.55,109.57,7148830,90.8107060428,91.979907263,90.2014039984,90.2178716213,7148830,0.0,1.0
2015-04-21 00:00:00+00:00,CVX,109.73,110.74,109.31,110.05,5674862,90.3496126038,91.1812275562,90.0037925246,90.6130945689,5674862,0.0,1.0
2015-04-22 00:00:00+00:00,CVX,109.5,110.44,109.21,110.05,5643072,90.1602349414,90.9342132139,89.9214544105,90.6130945689,5643072,0.0,1.0
2015-04-23 00:00:00+00:00,CVX,109.97,110.648,109.6,110.0,6940005,90.5472240777,91.1054764913,90.2425730555,90.5719255119,6940005,0.0,1.0
2015-04-24 00:00:00+00:00,CVX,109.87,110.04,109.03,109.67,4994970,90.4648859636,90.6048607575,89.7732458051,90.3002097354,4994970,0.0,1.0
2015-04-27 00:00:00+00:00,CVX,109.7,110.74,109.54,110.34,4858692,90.3249111696,91.1812275562,90.193170187,90.8518750998,4858692,0.0,1.0
2015-04-28 00:00:00+00:00,CVX,111.12,111.24,109.65,110.05,5321604,91.4941123898,91.5929181267,90.2837421125,90.6130945689,5321604,0.0,1.0
2015-04-29 00:00:00+00:00,CVX,111.73,111.99,110.68,110.82,5665796,91.9963748858,92.2104539825,91.1318246878,91.2470980475,5665796,0.0,1.0
2015-04-30 00:00:00+00:00,CVX,111.06,112.2,110.44,112.04,6666042,91.4447095214,92.3833640221,90.9342132139,92.2516230396,6666042,0.0,1.0
2015-05-01 00:00:00+00:00,CVX,109.04,110.8,108.3351,110.28,10362711,89.7814796165,91.2306304247,89.2010782502,90.8024722314,10362711,0.0,1.0
2015-05-04 00:00:00+00:00,CVX,108.32,109.41,107.99,109.38,7659575,89.188645195,90.0861306387,88.9169294184,90.0614292045,7659575,0.0,1.0
2015-05-05 00:00:00+00:00,CVX,108.0,109.93,108.0,109.24,6462646,88.9251632299,90.514288832,88.9251632299,89.9461558447,6462646,0.0,1.0
