date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-04-02 00:00:00+00:00,EFX,93.47,94.01,92.89,93.0,400260,88.0702461732,88.5790504199,87.5237527231,87.6273980326,400260,0.0,1.0
2015-04-06 00:00:00+00:00,EFX,93.81,94.65,92.76,92.96,630894,88.3906044026,89.1820776751,87.4012628119,87.5897088292,630894,0.0,1.0
2015-04-07 00:00:00+00:00,EFX,92.63,94.03,92.6,93.82,459425,87.2787729007,88.5978950216,87.2505059981,88.4000267034,459425,0.0,1.0
2015-04-08 00:00:00+00:00,EFX,92.86,93.25,92.09,92.54,554511,87.4954858205,87.8629555542,86.769968654,87.1939721929,554511,0.0,1.0
2015-04-09 00:00:00+00:00,EFX,92.94,93.05,92.02,92.86,312592,87.5708642274,87.6745095369,86.704012548,87.4954858205,312592,0.0,1.0
2015-04-10 00:00:00+00:00,EFX,93.41,93.44,92.44,92.95,377776,88.013712368,88.0419792706,87.0997491843,87.5802865283,377776,0.0,1.0
2015-04-13 00:00:00+00:00,EFX,93.5,93.95,93.2,93.32,376558,88.0985130758,88.5225166147,87.8158440499,87.9289116603,376558,0.0,1.0
2015-04-14 00:00:00+00:00,EFX,93.9,93.96,92.91,93.65,368525,88.4754051104,88.5319389155,87.5425973248,88.2398475888,368525,0.0,1.0
2015-04-15 00:00:00+00:00,EFX,93.83,94.35,93.33,93.9,284320,88.4094490043,88.8994086492,87.9383339611,88.4754051104,284320,0.0,1.0
2015-04-16 00:00:00+00:00,EFX,93.33,93.82,92.81,93.58,254615,87.9383339611,88.4000267034,87.4483743162,88.1738914827,254615,0.0,1.0
2015-04-17 00:00:00+00:00,EFX,91.84,93.42,91.61,93.03,267965,86.5344111324,88.0231346689,86.3176982126,87.6556649352,267965,0.0,1.0
2015-04-20 00:00:00+00:00,EFX,93.34,93.78,93.0,93.13,330130,87.947756262,88.3623375,87.6273980326,87.7498879439,330130,0.0,1.0
2015-04-21 00:00:00+00:00,EFX,94.48,94.56,93.46,93.79,478257,89.0218985605,89.0972769674,88.0608238724,88.3717598009,478257,0.0,1.0
2015-04-22 00:00:00+00:00,EFX,94.19,94.72,93.2,94.37,708526,88.7486518354,89.2480337812,87.8158440499,88.918253251,708526,0.0,1.0
2015-04-23 00:00:00+00:00,EFX,98.4,99.29,97.21,98.09,1147016,92.715440499,93.5540252759,91.5941866962,92.4233491723,1147016,0.0,1.0
2015-04-24 00:00:00+00:00,EFX,98.49,98.97,98.1,98.52,544963,92.8002412068,93.2525116483,92.4327714731,92.8285081094,544963,0.0,1.0
2015-04-27 00:00:00+00:00,EFX,98.06,99.12,97.99,98.5,559461,92.3950822697,93.3938461612,92.3291261636,92.8096635077,559461,0.0,1.0
2015-04-28 00:00:00+00:00,EFX,97.71,98.41,97.43,98.02,403614,92.0653017394,92.7248627999,91.8014773153,92.3573930662,403614,0.0,1.0
2015-04-29 00:00:00+00:00,EFX,97.41,97.91,97.13,97.62,603574,91.7826327135,92.2537477567,91.5188082893,91.9805010317,603574,0.0,1.0
2015-04-30 00:00:00+00:00,EFX,96.93,98.1,96.45,97.51,650866,91.3303622721,92.4327714731,90.8780918306,91.8768557222,650866,0.0,1.0
2015-05-01 00:00:00+00:00,EFX,98.27,98.34,97.3375,97.66,502390,92.5929505878,92.6589066939,91.7143210323,92.0181902351,502390,0.0,1.0
2015-05-04 00:00:00+00:00,EFX,99.78,100.21,98.67,98.93,615982,94.0157180182,94.4208769554,92.9698426224,93.2148224448,615982,0.0,1.0
2015-05-05 00:00:00+00:00,EFX,98.53,99.57,98.46,99.24,1001795,92.8379304103,93.8178497001,92.7719743042,93.5069137716,1001795,0.0,1.0
2015-05-06 00:00:00+00:00,EFX,98.54,99.0,97.9,98.53,708504,92.8473527111,93.2807785509,92.2443254558,92.8379304103,708504,0.0,1.0
2015-05-07 00:00:00+00:00,EFX,97.94,98.76,97.62,98.0,769553,92.2820146593,93.0546433301,91.9805010317,92.3385484645,769553,0.0,1.0
2015-05-08 00:00:00+00:00,EFX,98.89,99.68,98.14,98.57,417603,93.1771332414,93.9214950096,92.4704606766,92.8756196137,417603,0.0,1.0
2015-05-11 00:00:00+00:00,EFX,99.4,99.94,98.7,98.7,605598,93.6576705854,94.166474832,92.9981095249,92.9981095249,605598,0.0,1.0
2015-05-12 00:00:00+00:00,EFX,98.39,99.06,98.37,99.0,600795,92.7060181982,93.337312356,92.6871735964,93.2807785509,600795,0.0,1.0
2015-05-13 00:00:00+00:00,EFX,98.22,98.72,97.6,98.33,615999,92.5458390835,93.0169541267,91.9616564299,92.649484393,615999,0.0,1.0
2015-05-14 00:00:00+00:00,EFX,99.61,99.72,98.77,98.9,565725,93.8555389035,93.959184213,93.064065631,93.1865555422,565725,0.0,1.0
2015-05-15 00:00:00+00:00,EFX,98.9,100.19,98.74,99.74,609350,93.1865555422,94.4020323536,93.0357987284,93.9780288148,609350,0.0,1.0
2015-05-18 00:00:00+00:00,EFX,100.35,100.58,98.89,98.98,441537,94.5527891675,94.7695020873,93.1771332414,93.2619339491,441537,0.0,1.0
2015-05-19 00:00:00+00:00,EFX,100.22,100.38,99.93,100.38,381361,94.4302992562,94.58105607,94.1570525312,94.58105607,381361,0.0,1.0
2015-05-20 00:00:00+00:00,EFX,99.61,100.2,99.4,99.87,379601,94.1287856286,94.6863198473,93.9303412457,94.3744786741,379601,0.29,1.0
2015-05-21 00:00:00+00:00,EFX,100.05,100.11,99.12,99.24,355244,94.5445738595,94.6012722546,93.6657487351,93.7791455254,355244,0.0,1.0
2015-05-22 00:00:00+00:00,EFX,100.27,100.78,99.99,100.0,496608,94.7524679749,95.2344043334,94.4878754643,94.4973251969,496608,0.0,1.0
